"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","test_file_count","test_function_count","llm_test_count","clone_status","contributors","total_commits","commits_per_month"
"Haohao-end/openagent","https://github.com/Haohao-end/openagent","https://github.com/Haohao-end/openagent.git","main","AI Agent Development Platform - Supports multiple models (OpenAI/DeepSeek/Wenxin/Tongyi), knowledge base management, workflow automation, and enterprise-grade security. Built with Flask + Vue3 + LangChain, featuring one-click Docker deployment.","langchain, langgraph","743","70","Python","agent,ai,aiagent,celery,deepseek,docker,faiss-vector-database,flask,langchain,langgraph,llmops,nginx,postgresql,tailwindcss,vue,weaviate","37","39365","2025-06-20T02:04:17Z","2026-04-17T07:49:28Z","2026-04-16T04:15:52Z","","300","106","1157","0","ok","2","121","12.1"
"agentscope-ai/agentscope-runtime","https://github.com/agentscope-ai/agentscope-runtime","https://github.com/agentscope-ai/agentscope-runtime.git","main","A production-ready runtime framework for agent apps with secure tool sandboxing, Agent-as-a-Service APIs, scalable deployment, full-stack observability, and broad framework compatibility.","langgraph","739","140","Python","a2a,agent,agentscope,agno,deployment,docker,kubernetes,langgraph,mcp,modelstudio,runtime,sandbox,serverless","49","93908","2025-08-14T03:43:36Z","2026-04-17T15:25:53Z","2026-04-17T02:23:01Z","Apache-2.0","245","60","552","11","ok","36","282","34.53"
"langchain-ai/react-agent","https://github.com/langchain-ai/react-agent","https://github.com/langchain-ai/react-agent.git","main","LangGraph template for a simple ReAct agent","langgraph","716","679","Python","langgraph,langgraph-python,langgraph-template","18","2881","2024-08-21T19:57:32Z","2026-04-17T08:23:02Z","2026-04-17T01:45:25Z","MIT","603","2","4","0","ok","7","54","2.69"
"vstorm-co/pydantic-deepagents","https://github.com/vstorm-co/pydantic-deepagents","https://github.com/vstorm-co/pydantic-deepagents.git","main","Build Claude Code–style deep agents in Python: tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, and unlimited context — all on Pydantic AI.","pydantic-ai","688","74","Python","agent-framework,ai-agents,anthropic,claude-code,cli,coding-agent,deep-research,docker-sandbox,llms,mcp,playwright,pydantic,pydantic-ai,python,subagents,tui,vstorm","0","32787","2025-11-29T14:36:36Z","2026-04-18T04:33:58Z","2026-04-17T14:04:56Z","MIT","138","31","1377","0","ok","9","246","53.48"
"Shy2593666979/AgentChat","https://github.com/Shy2593666979/AgentChat","https://github.com/Shy2593666979/AgentChat.git","main","AgentChat 是一个基于 LLM 的智能体交流平台，内置默认 Agent 并支持用户自定义 Agent。通过多轮对话和任务协作，Agent 可以理解并协助完成复杂任务。项目集成 LangChain、Function Call、MCP 协议、RAG、Memory、HITL、Skill、Milvus 和 ElasticSearch 等技术，实现高效的知识检索与工具调用，使用 FastAPI 构建高性能后端服务。","langchain","657","80","Python","agent,agent-memory,agent-skills,human-in-the-loop,langchain,llm,mcp,mcp-client,mcp-server,mysql,redis","24","2564","2024-08-20T16:00:12Z","2026-04-17T13:19:33Z","2026-04-15T00:18:16Z","MIT","602","19","0","0","ok","8","525","26.16"
"xark-argo/argo","https://github.com/xark-argo/argo","https://github.com/xark-argo/argo.git","main","ARGO is an open-source AI Agent platform that brings Local Manus to your desktop. With one-click model downloads, seamless closed LLM integration, and offline-first RAG knowledge bases, ARGO becomes a DeepResearch powerhouse for autonomous thinking, task planning, and 100% of your data stays locally. Support Win/Mac/Docker.","langgraph","577","55","Python","agent,agentic-ai,ai,aigc,anthropic,artifacts,assistant,chatbot,deepresearch,deepseek,desktop,langgraph,llm,local,manus,mcp,mermaid,ollama,openai,rag","2","41141","2024-08-27T04:52:06Z","2026-04-18T02:24:57Z","2026-01-06T03:43:08Z","NOASSERTION","496","2","7","0","ok","3","162","9.8"
"langchain-ai/agent-protocol","https://github.com/langchain-ai/agent-protocol","https://github.com/langchain-ai/agent-protocol.git","main","","agent-protocol","568","47","Python","","17","326","2024-11-12T22:41:45Z","2026-04-17T13:09:04Z","2026-04-02T00:11:03Z","MIT","505","38","24","0","ok","12","143","8.5"
"zhongyu09/openchatbi","https://github.com/zhongyu09/openchatbi","https://github.com/zhongyu09/openchatbi.git","main","OpenChatBI is an intelligent chat-based BI tool powered by large language models, designed to help users query, analyze, and visualize data through natural language conversations. It uses LangGraph and LangChain to build chat agent and workflows that support natural language to SQL conversion and data analysis.","langchain, langgraph","547","70","Python","agent,ai,analytics,bi,database,datawarehouse,gpt,langchain,langgraph,llm,nlp,text2sql","2","8028","2025-09-09T02:08:10Z","2026-04-16T09:06:36Z","2026-03-02T04:12:06Z","MIT","174","23","295","0","ok","3","69","11.9"
"ag2ai/fastagency","https://github.com/ag2ai/fastagency","https://github.com/ag2ai/fastagency.git","main","The fastest way to bring multi-agent workflows to production.","autogen","536","63","Python","autogen,llm,mesop,multiagent","80","41324","2024-07-17T04:34:02Z","2026-04-17T23:48:13Z","2026-02-23T00:49:21Z","Apache-2.0","585","56","168","2","ok","10","321","16.46"
"aws/sagemaker-training-toolkit","https://github.com/aws/sagemaker-training-toolkit","https://github.com/aws/sagemaker-training-toolkit.git","master","Train machine learning models within a 🐳 Docker container using 🧠 Amazon SageMaker.","sage","535","140","Python","aws,deep-learning,docker,machine-learning,python,sagemaker,training","59","1096","2019-10-02T20:54:32Z","2026-04-04T09:48:09Z","2026-01-16T23:14:41Z","Apache-2.0","2298","26","194","1","ok","65","509","6.64"
"Undertone0809/promptulate","https://github.com/Undertone0809/promptulate","https://github.com/Undertone0809/promptulate.git","main","🚀Lightweight Large language model automation and Autonomous Language Agents development framework. Build your LLM Agent Application in a pythonic way!","autogen","530","41","Python","agent,autogen,chatgpt,gpt-4,langchain,language-agent,llm,pne,prompt,prompt-engineering,promptulate,python","17","9842","2023-03-18T13:02:45Z","2026-04-10T17:51:03Z","2026-04-07T00:02:51Z","Apache-2.0","1115","28","93","1","ok","10","786","21.15"
"langchain-ai/langgraph-bigtool","https://github.com/langchain-ai/langgraph-bigtool","https://github.com/langchain-ai/langgraph-bigtool.git","main","Build LangGraph agents with large numbers of tools","langgraph","529","43","Python","","12","422","2025-03-03T15:50:47Z","2026-04-15T06:51:39Z","2026-04-08T23:37:00Z","MIT","401","2","5","1","ok","4","49","3.67"
"astronomer/airflow-ai-sdk","https://github.com/astronomer/airflow-ai-sdk","https://github.com/astronomer/airflow-ai-sdk.git","main","An SDK for working with LLMs and AI Agents from Apache Airflow, based on Pydantic AI","pydantic-ai","525","40","Python","","12","541","2025-03-07T02:32:49Z","2026-04-15T07:54:32Z","2025-09-25T19:06:14Z","Apache-2.0","202","6","24","0","ok","6","36","5.35"
"thiswillbeyourgithub/wdoc","https://github.com/thiswillbeyourgithub/wdoc","https://github.com/thiswillbeyourgithub/wdoc.git","main","Summarize and query from a lot of heterogeneous documents. Any LLM provider, any filetype, advanced RAG, advanced summaries, scriptable, etc","langchain","516","41","Python","langchain,llm,news,parser,pdf,python,question-answering,rag,summarizer","2","6721","2023-06-24T12:38:41Z","2026-04-17T21:14:33Z","2026-04-14T07:52:46Z","AGPL-3.0","1024","3","28","3","ok","2","4801","140.65"
"ggozad/haiku.rag","https://github.com/ggozad/haiku.rag","https://github.com/ggozad/haiku.rag.git","main","Opinionated agentic RAG powered by LanceDB, Pydantic AI, and Docling","pydantic-ai","513","33","Python","ai,docling,lancedb,mcp,mcp-server,ml,pydantic-ai,rag","6","27452","2024-10-13T15:12:23Z","2026-04-18T01:42:52Z","2026-04-17T15:38:40Z","MIT","551","61","836","0","ok","6","1450","78.95"
"OTA-Tech-AI/web-agent-protocol","https://github.com/OTA-Tech-AI/web-agent-protocol","https://github.com/OTA-Tech-AI/web-agent-protocol.git","main","🌐Web Agent Protocol (WAP) - Record and replay user interactions in the browser with MCP support","agent-protocol","497","89","Python","ai-agents,ai-tools,browser-automation,browser-use,llm,mcp,mcp-server,modelcontextprotocol,playwright,python,record-replay,wap,web-agent-protocol,web-agents","11","5612","2025-05-17T17:47:15Z","2026-04-15T10:19:13Z","2025-06-19T04:03:18Z","MIT","32","1","1","0","ok","2","34","31.88"
"eidolon-ai/eidolon","https://github.com/eidolon-ai/eidolon","https://github.com/eidolon-ai/eidolon.git","main","The first AI Agent Server, Eidolon is a pluggable Agent SDK and enterprise ready, deployment server for Agentic applications","langchain","490","54","Python","agents,generative-ai,langchain,llama,llm,openai,python,services","140","75799","2023-11-10T20:42:00Z","2026-04-05T16:32:40Z","2026-04-18T02:19:56Z","Apache-2.0","889","0","0","0","failed","20","1446","48.8"
"victordibia/designing-multiagent-systems","https://github.com/victordibia/designing-multiagent-systems","https://github.com/victordibia/designing-multiagent-systems.git","main","Building LLM-Enabled Multi Agent Applications from Scratch","autogen","490","127","Python","agents,autogen,generative-ai,large-language-models,multiagent-systems","5","19328","2024-05-12T14:51:51Z","2026-04-18T02:52:40Z","2026-03-12T04:15:05Z","Apache-2.0","668","36","443","0","ok","2","172","7.72"
"Decade-qiu/CookHero","https://github.com/Decade-qiu/CookHero","https://github.com/Decade-qiu/CookHero.git","main","CookHero是一个基于 LLM + RAG + Agent + 多模态的智能饮食与烹饪管理平台，支持智能菜谱查询、个性化饮食计划、AI 饮食记录、营养分析、Web 搜索增强，以及可扩展的 ReAct Agent / Subagent 工具体系，帮助厨房新手轻松成为“烹饪英雄”。","langchain","450","72","Python","agent,ai-chatbot,cooking-assistant,langchain,mcp,milvus,rag,subagents,tool,web-search","28","39402","2025-11-29T08:52:43Z","2026-04-17T13:29:04Z","2026-04-17T01:13:31Z","Apache-2.0","138","1","3","0","ok","2","421","91.52"
"tomascupr/sandstorm","https://github.com/tomascupr/sandstorm","https://github.com/tomascupr/sandstorm.git","main","Run Claude agents in secure cloud sandboxes — via API, CLI, or Slack. One call. Full agent. Zero infrastructure.","agent-zero","431","43","Python","agent-sdk,ai,ai-agents,anthropic,claude,e2b,fastapi,llm,python,sandbox,slack-bot","0","681","2026-02-14T14:26:15Z","2026-04-17T23:32:20Z","2026-04-17T14:20:20Z","MIT","61","18","408","0","ok","5","75","36.89"
"grll/mcpadapt","https://github.com/grll/mcpadapt","https://github.com/grll/mcpadapt.git","main","Unlock 650+ MCP servers tools in your favorite agentic framework.","langchain, pydantic-ai","419","48","Python","langchain,llamaindex,modelcontextprotocol,pydantic-ai,smolagents,swarm","23","5599","2025-01-11T23:23:49Z","2026-04-08T16:54:51Z","2025-10-24T15:34:18Z","MIT","285","6","46","0","ok","15","134","14.11"
"camel-ai/crab","https://github.com/camel-ai/crab","https://github.com/camel-ai/crab.git","main","🦀️ CRAB: Cross-environment Agent Benchmark for Multimodal Language Model Agents. https://crab.camel-ai.org/","camel-ai","415","61","Python","gui-automation,language-model-agent,large-language-models,multi-agent-systems,visual-language-models","37","12278","2024-05-11T13:38:52Z","2026-04-17T14:29:35Z","2026-04-17T06:57:31Z","","705","13","30","0","ok","8","75","3.19"
"vintasoftware/django-ai-assistant","https://github.com/vintasoftware/django-ai-assistant","https://github.com/vintasoftware/django-ai-assistant.git","main","Integrate AI Assistants with Django to build intelligent applications","langchain","408","36","Python","ai,ai-agent,ai-assistant,chatgpt,django,gpt,langchain,openai","28","3980","2024-05-17T17:01:40Z","2026-04-15T20:31:36Z","2026-03-23T19:25:02Z","MIT","675","7","88","0","ok","13","607","26.98"
"skygazer42/pokemon-chat","https://github.com/skygazer42/pokemon-chat","https://github.com/skygazer42/pokemon-chat.git","develop","基于 LightRAG、LangGraph、MCP、RagFlow、微调LLMs宝可梦主题的智能聊天助手","langgraph","388","30","Python","agent,graphrag,langraph,lightrag,llms,mcp,pokemon,ragflow,vue","0","155920","2025-05-25T12:26:46Z","2026-04-16T15:25:10Z","2026-02-01T15:43:15Z","MIT","252","51","112","0","ok","3","347","41.31"
"TensorOpsAI/LLMstudio","https://github.com/TensorOpsAI/LLMstudio","https://github.com/TensorOpsAI/LLMstudio.git","main","Framework to bring LLM applications to production","langchain","379","40","Python","ai,langchain,llm,llmops,ml,mlflow,openai,prompt-engineering,vertex-ai","8","40374","2023-07-24T09:16:13Z","2026-04-17T14:09:52Z","2026-02-05T09:17:53Z","MPL-2.0","927","8","51","0","ok","13","648","20.97"
"langchain-ai/langchain-google","https://github.com/langchain-ai/langchain-google","https://github.com/langchain-ai/langchain-google.git","main","🦜🔗 LangChain interfaces to Google's suite of AI products (Gemini & Vertex AI)","langchain","364","419","Python","ai,gemini,gemini-api,langchain,langchain-python,llm,vertex-ai","134","11828","2024-02-06T18:29:51Z","2026-04-16T02:27:00Z","2026-04-17T01:22:46Z","MIT","800","84","855","57","ok","204","1099","41.21"
"microsoft/langchain-for-beginners","https://github.com/microsoft/langchain-for-beginners","https://github.com/microsoft/langchain-for-beginners.git","main","LangChain for Beginners Course","langchain","364","109","Python","","6","72546","2025-10-16T17:59:18Z","2026-04-17T14:15:46Z","2025-12-10T10:19:58Z","MIT","54","1","1","1","ok","4","55","30.56"
"MLT-OSS/open-assistant-api","https://github.com/MLT-OSS/open-assistant-api","https://github.com/MLT-OSS/open-assistant-api.git","main","The Open Assistant API is a ready-to-use, open-source, self-hosted agent/gpts orchestration creation framework, supporting customized extensions for LLM, RAG, function call, and tools capabilities. It also supports seamless integration with the openai/langchain sdk.","langchain","361","84","Python","agent,ai,assistants,assistants-api,chatgpt,gpt,gpt-4,gpts,langchain,llm,openai,openai-api,openai-assistants,openai-assistants-api,python,rag,self-hosted","12","1467","2024-01-03T09:57:54Z","2026-04-15T10:14:11Z","2025-06-24T05:17:23Z","MIT","537","3","3","0","ok","14","178","9.94"
"rokbenko/ai-playground","https://github.com/rokbenko/ai-playground","https://github.com/rokbenko/ai-playground.git","main","Code from tutorials presented on the ""Code AI with Rok"" YouTube channel","crewai, langgraph","321","81","Python","anthropic,crewai,exa,fetchai,gemini,langchain,langgraph,langsmith,llamaindex,milvus,mistral,openai,pgvector,postgresql,snowflake,spacy,tavily,vertexai","1","157321","2023-11-07T09:32:52Z","2026-04-08T09:24:51Z","2026-02-22T17:20:04Z","MIT","838","1","0","0","ok","3","681","24.38"
"langchain-ai/langchain-aws","https://github.com/langchain-ai/langchain-aws","https://github.com/langchain-ai/langchain-aws.git","main","Build LangChain Applications on AWS","langchain","317","278","Python","aws,generative-ai,langchain,langchain-python","96","8123","2024-03-06T21:29:00Z","2026-04-17T11:33:08Z","2026-04-17T11:33:05Z","MIT","771","100","2139","35","ok","130","664","25.84"
"getpatchwork/patchwork","https://github.com/getpatchwork/patchwork","https://github.com/getpatchwork/patchwork.git","main","Patchwork is a web-based patch tracking system designed to facilitate the contribution and management of contributions to an open-source project.","patchwork","307","91","Python","","117","4075","2015-09-14T00:46:39Z","2026-04-09T21:26:16Z","2026-01-26T23:10:19Z","GPL-2.0","3787","33","601","0","ok","90","2065","16.36"
"flepied/second-brain-agent","https://github.com/flepied/second-brain-agent","https://github.com/flepied/second-brain-agent.git","main","🧠 Second Brain AI agent","langchain","289","27","Python","artificial-intelligence,chatgpt,chatgpt-api,chatgpt-bot,langchain,langchain-python,personal-knowledge-management,pkm,second-brain","9","1476","2023-06-18T10:58:37Z","2026-04-17T04:15:25Z","2026-04-05T10:04:37Z","GPL-3.0","1021","2","23","0","ok","2","142","4.17"
"alireza787b/mavsdk_drone_show","https://github.com/alireza787b/mavsdk_drone_show","https://github.com/alireza787b/mavsdk_drone_show.git","main","All in one Drone Show and Smart Swarm Solutin for PX4","swarms","283","72","Python","drone,mavlinkk,mavsdk,px4,swarm,swarm-robotics","2","467888","2023-05-12T09:58:22Z","2026-04-18T02:55:37Z","2026-04-18T02:55:32Z","NOASSERTION","1071","115","1147","0","ok","8","3612","101.18"
"Evolutionary-Intelligence/pypop","https://github.com/Evolutionary-Intelligence/pypop","https://github.com/Evolutionary-Intelligence/pypop.git","main","[JMLR (CCF-A)] PyPop7: A Pure-PYthon LibrarY for POPulation-based Black-Box Optimization (BBO), especially *Large-Scale* algorithm variants (from evolutionary computation, swarm intelligence, statistics, operations research, machine learning, mathematical optimization, meta-heuristics, auto-control etc.). [https://jmlr.org/papers/v25/23-0386.html]","swarms","282","42","Python","black-box-optimization,consensus-based-optimization,continuous-optimization,derivative-free-optimization,differential-evolution,direct-search,estimation-of-distribution-algorithms,evolution-strategies,evolutionary-algorithms,genetic-algorithms,gradient-free-optimization,large-scale-optimization,numerical-optimization,particle-swarm-optimization,population-based-optimization,random-search,zeroth-order-optimization","9","1005823","2021-01-26T14:55:43Z","2026-04-14T08:24:09Z","2026-04-14T08:24:03Z","GPL-3.0","1903","94","233","0","ok","16","9326","147.02"
"shibing624/agentica","https://github.com/shibing624/agentica","https://github.com/shibing624/agentica.git","main","Agentica: Lightweight async-first Python framework for AI agents. 轻量级异步优先的AI Agent框架，支持工具调用、RAG、多智能体和MCP。","langchain","277","36","Python","actionflow,agent,agentica,agents,langchain,llm,multi-agent,workflows","0","12236","2024-06-03T12:07:51Z","2026-04-16T09:28:10Z","2026-04-16T09:28:06Z","Apache-2.0","681","73","1474","0","ok","4","599","26.39"
"dynamiqs/dynamiqs","https://github.com/dynamiqs/dynamiqs","https://github.com/dynamiqs/dynamiqs.git","main","High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers).","dynamiq","277","39","Python","","18","462539","2023-02-05T17:04:26Z","2026-04-16T19:37:40Z","2026-04-13T09:14:19Z","Apache-2.0","1162","35","231","0","ok","22","896","23.13"
"langchain-ai/langchain-postgres","https://github.com/langchain-ai/langchain-postgres","https://github.com/langchain-ai/langchain-postgres.git","main","LangChain abstractions backed by Postgres Backend","langchain","274","115","Python","langchain,langchain-python,postgres,postgresql","94","1615","2024-04-08T13:38:40Z","2026-04-15T15:17:25Z","2026-04-14T01:59:41Z","MIT","735","17","232","0","ok","30","134","5.47"
"aws/sagemaker-huggingface-inference-toolkit","https://github.com/aws/sagemaker-huggingface-inference-toolkit","https://github.com/aws/sagemaker-huggingface-inference-toolkit.git","main","","sage","271","61","Python","","48","3024","2021-06-04T16:52:15Z","2026-04-14T18:42:31Z","2026-04-07T20:01:19Z","Apache-2.0","1768","10","62","7","ok","24","182","3.09"
"aws/sagemaker-tensorflow-training-toolkit","https://github.com/aws/sagemaker-tensorflow-training-toolkit","https://github.com/aws/sagemaker-tensorflow-training-toolkit.git","tf-2","Toolkit for running TensorFlow training scripts on SageMaker. Dockerfiles used for building SageMaker TensorFlow Containers are at https://github.com/aws/deep-learning-containers. ","sage","270","162","Python","aws,docker,sagemaker,tensorflow","12","14788","2018-01-23T17:41:21Z","2026-04-01T10:18:06Z","2025-06-04T20:51:45Z","Apache-2.0","2689","9","34","0","ok","40","258","2.88"
"swarmzero/swarmzero","https://github.com/swarmzero/swarmzero","https://github.com/swarmzero/swarmzero.git","main","SwarmZero's SDK for building AI agents, swarms of agents and much more.","swarms","268","51","Python","agent-swarms,ai,ai-agent,ai-agent-framework,ai-agents,ai-swarm,ai-swarms,artificial-intelligence,decentralized-ai,gen-ai,gennerative-ai,large-language-models,llm,multi-agent-framework,multi-agent-systems,swarm,swarms","0","1213","2024-08-09T21:16:48Z","2026-04-08T16:54:34Z","2025-08-06T08:38:40Z","Apache-2.0","361","17","150","11","ok","7","59","4.9"
"langchain-ai/langchain-community","https://github.com/langchain-ai/langchain-community","https://github.com/langchain-ai/langchain-community.git","main","Community-maintained LangChain integrations","langchain","262","422","Python","","274","21549","2025-04-28T12:55:58Z","2026-04-18T03:34:27Z","2026-04-18T03:34:24Z","MIT","354","733","3193","620","ok","66","151","12.8"
"langchain-ai/new-langgraph-project","https://github.com/langchain-ai/new-langgraph-project","https://github.com/langchain-ai/new-langgraph-project.git","main","","langgraph","258","502","Python","langgraph,langgraph-python,langgraph-template","9","3007","2024-09-13T23:28:15Z","2026-04-17T19:25:38Z","2026-04-14T02:25:49Z","MIT","577","2","2","0","ok","9","46","2.39"
"Corpus-OS/corpusos","https://github.com/Corpus-OS/corpusos","https://github.com/Corpus-OS/corpusos.git","main","Open-source protocol suite standardizing LLM, Vector, Graph, and Embedding infrastructure across LangChain, LlamaIndex, AutoGen, CrewAI, Semantic Kernel, and MCP. 3,330+ conformance tests. One protocol. Any framework. Any provider.","autogen, crewai","257","7","Python","agents,ai-agents,ai-infrastructure,anthropic,autogen,chatgpt,crewai,enterprise,gemini,knowledge-graph,langchain,llamaindex,llm,mcp,multiagent,openai,python,rag,semantickernel,vector-database","5","8071","2025-10-30T17:02:15Z","2026-04-17T17:40:11Z","2026-04-14T03:04:32Z","Apache-2.0","165","91","2289","18","ok","3","2795","508.18"
"aws-samples/sagemaker-ssh-helper","https://github.com/aws-samples/sagemaker-ssh-helper","https://github.com/aws-samples/sagemaker-ssh-helper.git","main","A helper library to connect into Amazon SageMaker with AWS Systems Manager and SSH (Secure Shell)","sage","257","34","Python","amazon-sagemaker,aws,aws-systems-manager,machine-learning,pycharm,sagemaker,sagemaker-studio,ssh,vscode","7","8727","2022-10-14T17:56:45Z","2026-02-19T14:18:57Z","2025-07-07T15:48:59Z","MIT-0","996","21","115","37","ok","9","345","10.39"
"jaswinder9051998/zoofs","https://github.com/jaswinder9051998/zoofs","https://github.com/jaswinder9051998/zoofs.git","master","zoofs is a python library for performing feature selection using a variety of nature-inspired wrapper algorithms. The algorithms range from swarm-intelligence to physics-based to Evolutionary. It's easy to use , flexible and powerful tool to reduce your feature size.","swarms","254","47","Python","evolutionary-algorithms,feature-selection,genetic-algorithm,grey-wolf,grey-wolf-optimizer,machine-learning,machine-learning-algorithms,machinelearning,optimization,optimization-algorithms,optimization-methods,optimization-tools,particle-swarm,particle-swarm-optimization,python,subset-selection,supervised-learning","22","7083","2020-07-11T08:33:37Z","2026-04-07T08:55:27Z","2026-01-09T11:53:08Z","Apache-2.0","2008","7","30","0","ok","6","264","3.94"
"mfmezger/conversational-agent-langchain","https://github.com/mfmezger/conversational-agent-langchain","https://github.com/mfmezger/conversational-agent-langchain.git","main","FastAPI Backend for a Conversational Agent using Cohere, (Azure) OpenAI, Langchain & Langgraph and Qdrant as VectorDB","langchain, langgraph","248","40","Python","ai,cohere,fastapi,gemini,langchain,ollama,openai,qdrant,researchassistant,streamlit,vectordatabase","17","11285","2023-03-21T13:25:52Z","2026-03-28T08:15:13Z","2026-04-17T01:17:31Z","MIT","1122","13","58","1","ok","4","410","10.96"
"RapidAI/RapidRAG","https://github.com/RapidAI/RapidRAG","https://github.com/RapidAI/RapidRAG.git","main","QA based on local knowledge and LLM.","langchain","248","45","Python","chatglm,langchain,llm,local-knowledge,qa","0","5223","2023-04-18T00:20:31Z","2026-03-24T06:30:43Z","2026-01-16T08:34:42Z","Apache-2.0","1004","9","3","0","ok","5","102","3.05"
"DougTrajano/pydantic-ai-skills","https://github.com/DougTrajano/pydantic-ai-skills","https://github.com/DougTrajano/pydantic-ai-skills.git","main","This package implements Agent Skills (https://agentskills.io) support with progressive disclosure for Pydantic AI. Supports filesystem and programmatic skills.","pydantic-ai","245","20","Python","agent-framework,agent-skills,agentic-ai,ai-agents,claude-code,pydantic-ai,python","2","9480","2025-12-18T00:05:56Z","2026-04-17T23:20:12Z","2026-04-13T02:31:57Z","MIT","116","14","377","0","ok","4","125","32.33"
"KodyKendall/LlamaBot","https://github.com/KodyKendall/LlamaBot","https://github.com/KodyKendall/LlamaBot.git","main","An AI Coding Agent Powered by LangGraph","langgraph","243","52","Python","","2","3683","2024-08-28T20:08:01Z","2026-04-17T21:55:13Z","2026-03-26T14:02:26Z","AGPL-3.0","574","13","98","0","ok","8","738","38.57"
"CursorTouch/Web-Use","https://github.com/CursorTouch/Web-Use","https://github.com/CursorTouch/Web-Use.git","main","Web-Use is a CDP powered Browser Agent","langgraph","242","45","Python","agent,automation,gemini,groq,langgraph,llm-agent,ollama,web,web-agent,web-search","3","49067","2024-10-03T16:20:20Z","2026-04-18T04:40:57Z","2026-03-28T08:57:27Z","MIT","540","1","16","0","ok","4","273","15.17"
"ju-bezdek/langchain-decorators","https://github.com/ju-bezdek/langchain-decorators","https://github.com/ju-bezdek/langchain-decorators.git","main","syntactic sugar 🍭 for langchain","langchain","234","12","Python","langchain,llm,prompt-engineering","6","644","2023-06-09T22:25:08Z","2026-02-04T11:06:30Z","2025-11-27T10:36:55Z","MIT","901","10","88","10","ok","3","144","4.79"
"aws-samples/sagemaker-custom-project-templates","https://github.com/aws-samples/sagemaker-custom-project-templates","https://github.com/aws-samples/sagemaker-custom-project-templates.git","main","This repository contains guidance related to SageMaker AI Projects. SageMaker Projects help organizations set up and standardize developer environments for data scientists and CI/CD systems for MLOps engineers.","sage","233","168","Python","cicd,mlops,sagemaker,sagemaker-example","28","31388","2021-08-17T23:21:34Z","2026-04-17T19:07:05Z","2026-02-11T18:39:48Z","MIT-0","1638","0","0","0","failed","39","155","2.84"
"skygazer42/GustoBot","https://github.com/skygazer42/GustoBot","https://github.com/skygazer42/GustoBot.git","develop","五星大厨:全面Multi-Agent 的客服机器人，基于langraph实现，txt2sql ,txt2cypher, lightrag, 多模态 等","langchain, langgraph","228","24","Python","agent,graphrag,langchain,langgraph,lightrag,multi-agent,neo4j,text2cypher,text2sql","0","51830","2025-10-11T09:32:41Z","2026-04-17T17:50:33Z","2026-03-07T08:07:23Z","Apache-2.0","146","10","21","0","ok","3","151","31.03"
"ag2ai/build-with-ag2","https://github.com/ag2ai/build-with-ag2","https://github.com/ag2ai/build-with-ag2.git","main","Sample code and application showcases to get you going with AG2 (formally AutoGen)","autogen","227","70","Python","","7","69228","2024-11-11T21:15:39Z","2026-04-17T18:36:25Z","2026-03-29T19:31:38Z","Apache-2.0","502","1","3","0","ok","333","2291","136.91"
"kyaukyuai/gpt-all-star","https://github.com/kyaukyuai/gpt-all-star","https://github.com/kyaukyuai/gpt-all-star.git","main","🤖 AI-powered code generation tool for scratch development of web applications with a team collaboration of autonomous AI agents.","langgraph","225","28","Python","ai,autonomous-agent,codebase-generation,codegen,coding-assistant,developer-tools,gpt-4,gpt-4o,langchain,langgraph,research-project","16","4231","2023-12-20T13:05:04Z","2026-04-17T22:46:24Z","2026-04-16T20:33:30Z","MIT","848","3","13","0","ok","5","1862","65.87"
"redis-developer/langgraph-redis","https://github.com/redis-developer/langgraph-redis","https://github.com/redis-developer/langgraph-redis.git","main","Redis checkpointer and store for memory management in LangGraph","langchain, langgraph","213","40","Python","agents,ai,langchain,langgraph,memory,redis","2","2316","2025-01-03T17:31:03Z","2026-04-15T18:45:44Z","2026-04-15T18:47:14Z","MIT","467","91","801","13","ok","17","189","12.14"
"goruck/home-generative-agent","https://github.com/goruck/home-generative-agent","https://github.com/goruck/home-generative-agent.git","main","A home assistant generative agent integration based on langchain and langgraph.","langchain, langgraph","208","41","Python","generative-ai,home-assistant,langchain,langgraph,llms","6","10847","2024-08-09T12:02:17Z","2026-04-16T12:35:24Z","2026-04-18T00:14:38Z","MIT","616","42","739","0","ok","6","926","45.1"
"langchain-ai/langgraph-cua-py","https://github.com/langchain-ai/langgraph-cua-py","https://github.com/langchain-ai/langgraph-cua-py.git","main","An implementation of a computer use agent (CUA) using LangGraph","langgraph","205","47","Python","","6","251","2025-03-19T20:04:10Z","2026-04-02T10:50:04Z","2026-04-08T22:17:42Z","MIT","385","2","2","0","ok","4","95","7.4"
"aws/sagemaker-pytorch-training-toolkit","https://github.com/aws/sagemaker-pytorch-training-toolkit","https://github.com/aws/sagemaker-pytorch-training-toolkit.git","master","Toolkit for running PyTorch training scripts on SageMaker. Dockerfiles used for building SageMaker Pytorch Containers are at https://github.com/aws/deep-learning-containers.","sage","204","95","Python","aws,docker,pytorch,sagemaker","13","47034","2018-03-01T17:30:09Z","2026-03-18T15:18:02Z","2025-08-25T20:32:15Z","Apache-2.0","2734","9","32","0","ok","43","273","3.0"
