"category","full_name","github_url","matched_frameworks","frameworks_imported","zero_invoker_reason","stars","py_files","test_files","http_llm_files","cli_llm_files","total_functions","invokers_direct","nd_tests","description"
"5. imports a tracked framework, no call site matched","rileylemm/graphrag-hybrid","https://github.com/rileylemm/graphrag-hybrid","graphrag","langchain","framework_never_imported","38","21","1","0","0","140","0","0","Hybrid Neo4j/Qdrant retrieval system for structured Markdown documentation with YAML frontmatter. Combines graph relationships and vector search for enhanced document retrieval, with built-in MCP inte"
"5. imports a tracked framework, no call site matched","climateandtech/report-analyst","https://github.com/climateandtech/report-analyst","langchain_openai","langchain","framework_never_imported","36","135","51","0","0","1134","0","0","OpenSustainabilityAnalyst ReportAnalyst is an open-source / open-core framework for customizable research-driven end-to-end sustainability report analysis with AI"
"5. imports a tracked framework, no call site matched","singlestore-labs/singlestoredb-python","https://github.com/singlestore-labs/singlestoredb-python","langchain_openai","langchain_openai, langchain_aws","imports_fw_no_call_site","36","190","41","0","0","2552","0","0","Python SDK for the SingleStore database and workspace management APIs"
"5. imports a tracked framework, no call site matched","memgrafter/flatmachines","https://github.com/memgrafter/flatmachines","smolagents","litellm, smolagents","imports_fw_no_call_site","35","312","98","3","7","2826","0","0","Orchestrate agents with a peer network of state machines. Supports checkpoint/restore, persistence, and more. BYO cli, or agent, or use flatagents with API. Batteries included."
"5. imports a tracked framework, no call site matched","ZeroSumEval/ZeroSumEval","https://github.com/ZeroSumEval/ZeroSumEval","dspy","dspy, litellm","imports_fw_no_call_site","35","98","17","0","0","421","0","0","A framework for pitting LLMs against each other in an evolving library of games ⚔"
"5. imports a tracked framework, no call site matched","neo4j-graphacademy/workshop-genai","https://github.com/neo4j-graphacademy/workshop-genai","graphrag","langchain, langchain_core, openai","framework_never_imported","31","19","2","0","0","25","0","0",""
"5. imports a tracked framework, no call site matched","jeremiedecock/snippets","https://github.com/jeremiedecock/snippets","langchain_mistralai","langchain_core, langchain_openai, langchain_huggingface, langchain_mistralai, langchain_community, openai, langchain_google_genai, langchain_anthropic, langchain_cohere, mistralai","imports_fw_no_call_site","27","1389","26","2","0","1678","0","0","My collection of code snippets."
"5. imports a tracked framework, no call site matched","wi2trier/cbrkit","https://github.com/wi2trier/cbrkit","pydantic_ai","pydantic_ai, openai, cohere, ollama, anthropic, agents","imports_fw_no_call_site","25","130","9","0","0","807","0","0","Customizable Case-Based Reasoning (CBR) toolkit for Python with a built-in API and CLI"
"5. imports a tracked framework, no call site matched","dylibso/mcpx-py","https://github.com/dylibso/mcpx-py","pydantic_ai","pydantic_ai","imports_fw_no_call_site","25","7","1","2","0","27","0","0","Python client library for https://mcp.run - call portable & secure tools for your AI Agents and Apps"
"5. imports a tracked framework, no call site matched","mozilla-ai/mcpd-sdk-python","https://github.com/mozilla-ai/mcpd-sdk-python","any_agent","pydantic_ai, any_agent","imports_fw_no_call_site","23","19","5","0","0","245","0","0","Python SDK for mcpd"
"5. imports a tracked framework, no call site matched","vibeforge1111/spark-domain-chip-labs","https://github.com/vibeforge1111/spark-domain-chip-labs","dspy","dspy","imports_fw_no_call_site","22","189","82","0","0","2626","0","0","Meta-research lab for domain chip R&D, methodology improvement, and recursive self-improvement"
"5. imports a tracked framework, no call site matched","mozilla-ai/surf-spot-finder","https://github.com/mozilla-ai/surf-spot-finder","any_agent","any_agent, litellm, langchain_core","imports_fw_no_call_site","19","21","2","0","0","41","0","0",""
"5. imports a tracked framework, no call site matched","swarm-subnet/swarm","https://github.com/swarm-subnet/swarm","swarm","swarm","imports_fw_no_call_site","19","349","117","0","0","2486","0","0","Swarm — Autonomous Drone Navigation"
"5. imports a tracked framework, no call site matched","sahiee-dev/Tesserae","https://github.com/sahiee-dev/Tesserae","agentops","langchain_core, langchain, langchain_openai","exempt_framework_only","15","186","10","1","3","468","0","0","Cryptographically verifiable audit infrastructure for AI agents. AgentOps Replay produces tamper-evident, hash-chained event logs that prove what an agent did, in what order, with no possibility of po"
"5. imports a tracked framework, no call site matched","3D-Tech-Solutions/code-scalpel","https://github.com/3D-Tech-Solutions/code-scalpel","crewai","autogen, crewai, langgraph","imports_fw_no_call_site","15","1179","531","0","1","17176","0","0","Code Scalpel is the bridge between **Generative AI** and **Reliable Software Engineering**. It is an **MCP (Model Context Protocol) server** designed to be the primary toolset for AI agents (like Clau"
"5. imports a tracked framework, no call site matched","Harshit-J004/toolguard","https://github.com/Harshit-J004/toolguard","autogen_core, crewai, crewai_tools","langchain_core, autogen_core, crewai, swarm, langgraph, langchain_google_genai, langchain_community, smolagents","imports_fw_no_call_site","14","144","42","2","0","566","0","0","The ""Cloudflare for AI Agents"". 7-layer security interceptor, real-time observability dashboard, and automated reliability testing for MCP and AI tool chains. Prevent hallucinations, prompt injection,"
"5. imports a tracked framework, no call site matched","cloud-ru/evo-ai-agents-labs","https://github.com/cloud-ru/evo-ai-agents-labs","smolagents","phoenix, litellm, crewai, langchain, langchain_core, langchain_openai, smolagents, agents","imports_fw_no_call_site","12","68","2","0","0","197","0","0","Лабораторные работы AI Agents"
"5. imports a tracked framework, no call site matched","gapilongo/SOC","https://github.com/gapilongo/SOC","langgraph","langgraph, langchain_anthropic, langchain_google_genai, langchain_openai","imports_fw_no_call_site","11","167","8","0","0","822","0","0","Intelligent SOC automation framework powered by LangGraph multi-agent workflows for alert triage, correlation, and incident response"
"5. imports a tracked framework, no call site matched","neo4j-labs/neo4j-maf-provider","https://github.com/neo4j-labs/neo4j-maf-provider","agent_framework","agent_framework, openai","imports_fw_no_call_site","10","37","7","0","0","182","0","0","Neo4j Context Provider for Microsoft Agent Framework"
"5. imports a tracked framework, no call site matched","vishnupriyanpr/Cardiac-Care","https://github.com/vishnupriyanpr/Cardiac-Care","langchain_chroma, langchain_groq, langchain_openai","langchain, langchain_groq, groq, langchain_community, langchain_openai, openai","imports_fw_no_call_site","10","10","2","0","0","12977","0","0","Cardiac Care 🫀 is an AI-powered heart health suite with ECG analysis, smart chatbot, diet planner, report summarizer, patient records, and ambulance booking. Designed for patients, doctors & emergenci"
"5. imports a tracked framework, no call site matched","aws-solutions-library-samples/guidance-for-no-code-multi-agent-ai-orchestration-on-aws","https://github.com/aws-solutions-library-samples/guidance-for-no-code-multi-agent-ai-orchestration-on-aws","langchain, mem0","langchain, langchain_community, langchain_core","imports_fw_no_call_site","10","168","11","0","1","1193","0","0","This Guidance demonstrates how to overcome the complexity and lengthy development cycles of enterprise AI systems through a no-code multi-agent orchestration platform on AWS."
"5. imports a tracked framework, no call site matched","ark-forge/mcp-eu-ai-act","https://github.com/ark-forge/mcp-eu-ai-act","langchain, langchain_anthropic, langchain_core","openai, anthropic, langchain","imports_fw_no_call_site","10","40","21","0","1","814","0","0","MCP EU AI Act Compliance Scanner - Open source tool to detect EU AI Act violations in codebases"
