framework,pattern,receiver_root,calls
agno,.print_response,team_show_member_responses_false,1
agno,.run,_api_client,1
langchain_anthropic,.ainvoke,_agent,1
langgraph,.ainvoke,supervisor,1
langchain_anthropic,.invoke,agent,1
langgraph,.astream,streaming_agent,1
langgraph,.ainvoke,structured,1
langchain_core,.invoke,runtime,1
langgraph,.ainvoke,child_a,1
langgraph,.ainvoke,child_b,1
langgraph,.ainvoke,context_tool,1
langgraph,.invoke,criteria,1
langgraph,.invoke,parent,1
langgraph,.abatch,store,1
langgraph,.invoke,agent_with_sandbox,1
langchain,.stream,agent,1
langgraph,.abatch,super,1
langgraph,.batch,super,1
langgraph,.invoke,runnable,1
langchain,.invoke,read_tool,1
langgraph,.invoke,delete_tool,1
langgraph,.ainvoke,write_file_tool,1
langgraph,.ainvoke,configured_tool,1
langgraph,.invoke,configured_tool,1
langgraph,.astream,parent_agent,1
langchain,.arun,task_tool,1
langgraph,.ainvoke,runner,1
langchain_core,.ainvoke,_make_agent,1
anthropic,messages.batches.create,self,1
haystack,.run,asyncio,1
langgraph,.ainvoke,tools,1
langgraph,.ainvoke,reflect,1
langgraph,.ainvoke,recall_tool,1
autogen_ext,.create,self,1
langgraph,.invoke,ANALYZE_CHART_PROMPT,1
langgraph,.invoke,CALCULATE_ANSWER_PROMPT,1
langgraph,.invoke,CHECK_ANSWER_PROMPT,1
langgraph,.invoke,EXTRACT_DATA_PROMPT,1
langgraph,.invoke,REFINE_ANSWER_PROMPT,1
langgraph,.invoke,CHECK_QUERY_PROMPT,1
langgraph,.invoke,execute_query_tool,1
langgraph,.invoke,REWRITE_QUERY_PROMPT,1
langgraph,.invoke,WRITE_QUERY_PROMPT,1
anthropic,messages.create,a,1
langchain_core,.run,agent,1
langchain_core,.run,team,1
langchain_core,.invoke,get_schema_tool,1
langchain_core,.invoke,run_query_tool,1
autogen_ext,.create,client,1
langgraph,.invoke,st,1
langgraph,.invoke,list_dir,1
langgraph,.invoke,_llm,1
agno,.arun,serp_analysis_agent,1
agno,.arun,seo_editor_agent,1
agno,.arun,topic_extraction_agent,1
autogen,.initiate_chat,executor,1
agno,.run,multi_ai,1
pydantic_ai,.run,reviewer,1
pydantic_ai,.run,designer,1
openai,chat.completions.create,_nebius_client,1
langchain_openai,.invoke,tool_map,1
langchain_core,.invoke,convert_currency,1
agno,.run,newsletter_agent,1
agent_framework,.run,planner_agent,1
agent_framework,.run,critic_agent,1
agent_framework,.run,summarizer,1
semantic_kernel,.invoke,agent,1
autogen,.initiate_chat,user_proxy_agent,1
langchain_core,.invoke,Calculate,1
langchain_core,.invoke,CancelPendingOrder,1
langchain_core,.invoke,ExchangeDeliveredOrderItems,1
langchain_core,.invoke,FindUserIdByEmail,1
langchain_core,.invoke,FindUserIdByNameZip,1
langchain_core,.invoke,GetOrderDetails,1
langchain_core,.invoke,GetProductDetails,1
langchain_core,.invoke,GetUserDetails,1
langchain_core,.invoke,ListAllProductTypes,1
langchain_core,.invoke,ModifyPendingOrderAddress,1
langchain_core,.invoke,ModifyPendingOrderItems,1
langchain_core,.invoke,ModifyPendingOrderPayment,1
langchain_core,.invoke,ModifyUserAddress,1
langchain_core,.invoke,ReturnDeliveredOrderItems,1
langchain_core,.invoke,Think,1
langchain_core,.invoke,TransferToHumanAgents,1
langchain,.invoke,tool_model_agent,1
langchain,.invoke,tool_model,1
langchain,.invoke,duck_duck_go,1
langchain_community,.ainvoke,structured_model,1
langchain_community,.ainvoke,tool_model,1
langchain_community,.ainvoke,self,1
langchain_community,.apredict,self,1
langchain_community,.predict,self,1
openai,responses.stream,client,1
pydantic_ai,.run,test_model_agent,1
pydantic_ai,.run,native_tool_agent,1
pydantic_ai,.run_stream,wrapped_agent,1
langchain_community,.run,app,1
anthropic,messages.create,async_anthropic_bedrock_client,1
langgraph,.stream,chain,1
langchain_openai,.abatch,llm,1
langchain_openai,.batch,llm,1
langgraph,.ainvoke,langgraph,1
langgraph,.invoke,MockRetriever,1
openai,chat.completions.parse,openai_client,1
openai,chat.completions.create,deepseek_client,1
openai,chat.completions.create,mock_openai_client,1
openai,responses.parse,openai_client,1
openai,responses.parse,async_openai_client,1
openai,completions.create,openai_client,1
haystack,.run,doc_embedder,1
haystack,.run,basic_rag_pipeline,1
langchain_community,.run,mrkl,1
langchain_core,.invoke,joke_chain,1
langchain_core,.invoke,translation_chain,1
openai,chat.completions.create,open_ai_client,1
langgraph,.invoke,super,1
autogen,.initiate_chat,agent_1,1
dspy,.forward,agent_lm,1
haystack,.run,pipe1,1
haystack,.run,pipe2,1
langchain_openai,.stream,self,1
langchain,.stream,loaded_model,1
langchain,.ainvoke,loaded_model,1
langchain,.abatch,loaded_model,1
langchain,.astream,loaded_model,1
langchain,.ainvoke,chain,1
langchain,.invoke,model_with_tools,1
langchain,.stream,retrieval_chain,1
langchain,.invoke,native_model,1
langchain,.invoke,chain_with_history,1
langchain,.batch,runnable,1
langchain,.invoke,sequence,1
langchain_core,.atransform,parser,1
langchain_community,.invoke,chain_tool,1
langgraph,.invoke,inner_runnable,1
langchain_core,.predict,sklearn_knn_model,1
langchain_core,.predict,reloaded_model,1
pydantic_ai,.run_stream,simple_agent,1
pydantic_ai,.run_stream,agent_with_tool,1
semantic_kernel,.get_chat_message_content,chat_service,1
langchain,.predict,rf,1
pydantic_ai,.run,k,1
pydantic_ai,.run_sync,_get_personalization_synth_agent,1
pydantic_ai,.run,create_agent,1
pydantic_ai,.run,result,1
pydantic_ai,.run_stream,marvin,1
openai,chat.completions.create,agent,1
mem0,.add,deps,1
mem0,.add,updated_keys,1
langchain_aws,.acall,_create_graph_engine,1
openai,chat.completions.create,fallback_aclient,1
openai,chat.completions.create,cast,1
langchain_community,.run,runner,1
openai,chat.completions.create,service,1
autogen_ext,.create,Resource,1
crewai,.kickoff_async,opik_tracker,1
langchain_core,.stream,synopsis_chain,1
langchain_anthropic,.stream,synopsis_chain,1
langchain_anthropic,.invoke,synopsis_chain,1
langchain_aws,.ainvoke,synopsis_chain,1
langchain_aws,.astream,synopsis_chain,1
langchain_aws,.stream,synopsis_chain,1
langchain_aws,.invoke,synopsis_chain,1
langchain_groq,.invoke,synopsis_chain,1
langgraph,.ainvoke,compiled_graph,1
langgraph,.invoke,get_weather,1
langgraph,.invoke,tracked_graph_again,1
anthropic,completions.create,clients,1
langchain_openai,.predict,self,1
langchain_core,.predict,self,1
langchain_core,.generate,fix_output_format_prompt,1
langgraph,.invoke,planner,1
agno,.run,transcription_agent,1
openai,chat.completions.create,mock_minimax_instructor,1
langchain,.run,tool,1
swarm,.run,client,1
semantic_kernel,.invoke_prompt,self,1
langchain_core,.invoke,gated_tool,1
anthropic,messages.create,guarded,1
autogen_agentchat,.run,guarded,1
langchain_openai,.ainvoke,guarded,1
semantic_kernel,.invoke,guarded,1
autogen_core,.create,self,1
langchain_community,.invoke,app,1
langchain_google_genai,.invoke,graph,1
mem0,.add,init_memory,1
mem0,.search,init_memory,1
langchain,.ainvoke,fetch_tool,1
crewai,.kickoff,processing_crew,1
langchain_community,.run,_duckduckgo_search_run,1
langchain_mistralai,.invoke,executor,1
langchain_mistralai,.stream,executor,1
langchain_google_genai,.invoke,tool_node,1
langchain_google_genai,.invoke,agent,1
langchain_google_genai,.invoke,calculator,1
langchain_google_genai,.invoke,search_database,1
langchain_google_genai,.invoke,analysis_chain,1
langchain_google_genai,.invoke,response_chain,1
langchain_google_genai,.invoke,chain,1
langchain_google_genai,.stream,llm,1
langchain_google_genai,.invoke,app,1
pydantic_ai,.run_sync,coordinator,1
pydantic_ai,.run_sync,writing_agent,1
pydantic_ai,.run_sync,research_agent,1
pydantic_ai,.run_sync,self,1
langgraph,.invoke,echo_graph,1
langgraph,.stream,compiled,1
pydantic_ai,.run_sync,parent,1
pydantic_ai,.run_sync,child,1
dspy,.forward,ensemble,1
dspy,.forward,resolver,1
mem0,.add,seen_fingerprints,1
mem0,.add,participating_agents,1
agent_framework,.run,group_chat_workflow,1
langchain_openai,.run,explorer,1
langchain,.ainvoke,structured_model,1
langchain,.invoke,structured_model,1
langgraph,.astream_events,research_graph,1
langgraph,.invoke,support_graph,1
langchain,.invoke,daytona_stop,1
langchain,.run,daytona_stop,1
langchain_core,.invoke,tavily_search,1
langchain,.invoke,tavily_search,1
openai,chat.completions.create,gateway,1
openai,chat.completions.create,traced_openai,1
anthropic,messages.create,outer_client,1
anthropic,messages.create,inner_client,1
autogen_agentchat,.run_stream,assistant_agent,1
autogen_ext,.create_stream,openai_model_client,1
langchain_google_vertexai,.abatch,llm_chain,1
langchain_google_vertexai,.ainvoke,llm_chain,1
langchain_google_vertexai,.astream,llm_chain,1
langchain_google_vertexai,.stream,llm_chain,1
langchain_google_vertexai,.invoke,rag_chain,1
agno,.run,agent_team,1
agno,.arun,outer_workflow,1
agno,.arun,inner_workflow,1
autogen_agentchat,.on_messages_stream,self,1
crewai,.kickoff,tech_research_crew,1
crewai,.kickoff,tech_crew,1
crewai,.kickoff,ai_crew,1
crewai,.kickoff,SimpleFlow,1
crewai,.kickoff,CrewFlow,1
crewai,.kickoff,InternalFlow,1
crewai,.kickoff,UserFlow,1
crewai,.kickoff,OuterFlow,1
crewai,.kickoff,InnerFlow,1
haystack,.run,rag_pipeline,1
haystack,.run_async,rag_pipeline,1
haystack,.run_async,pipe,1
langchain_google_vertexai,.run,asyncio,1
langchain_google_vertexai,.ainvoke,rqa,1
langchain_google_vertexai,.stream,llm,1
langchain_google_vertexai,.ainvoke,sequence,1
langchain_google_vertexai,.ainvoke,runnable,1
langchain_google_vertexai,.invoke,RunnableLambda,1
langchain_google_vertexai,.invoke,ChatOpenAI,1
langchain_google_vertexai,.invoke,llm_with_tools,1
langchain_core,.invoke,parser,1
langchain_core,.invoke,StrOutputParser,1
langchain,.invoke,agent_executor,1
pydantic_ai,.run,support_agent,1
smolagents,.run,manager_agent,1
smolagents,.run,ctx,1
smolagents,.run,manager_code_agent,1
smolagents,.run,manager_toolcalling_agent,1
smolagents,.run,code_agent_non_stream,1
smolagents,.run,code_agent_stream,1
autogen_agentchat,.run,_agent1,1
autogen_agentchat,.run,agent1,1
crewai,.kickoff,setup_crew,1
crewai,.kickoff,analysis_crew,1
langchain_core,.ainvoke,langchain_tool,1
langchain_core,.invoke,langchain_tool,1
langchain_openai,.ainvoke,agent,1
langchain_openai,.invoke,tool_fn,1
langchain_openai,.ainvoke,tool_fn,1
langchain_core,.ainvoke,categorization_chain,1
langchain_core,.invoke,summarization_chain,1
langchain_core,.arun,maintenance_check_tool,1
langchain_core,.arun,categorizer_tool,1
langgraph,.ainvoke,llm_n_tools,1
langgraph,.invoke,llm_n_tools,1
langchain_core,.run,ansible_runner,1
langgraph,.astream,final_graph,1
langgraph,.ainvoke,classify_fn,1
langgraph,.ainvoke,research_fn,1
langgraph,.ainvoke,policy_fn,1
langgraph,.ainvoke,compliance_fn,1
langgraph,.ainvoke,sentiment_fn,1
langgraph,.ainvoke,draft_fn,1
langgraph,.ainvoke,review_fn,1
agno,.arun,planner,1
haystack,.run,indexing_pipeline,1
haystack,.run,splitter,1
langchain_core,.ainvoke,tavily_tool,1
langchain_core,.ainvoke,research,1
langgraph,.ainvoke,supervisor_chain_with_message_history,1
langgraph,.ainvoke,rag_tool,1
langgraph,.ainvoke,chitchat_agent,1
langgraph,.ainvoke,research_tool,1
semantic_kernel,.invoke,chat,1
langchain_core,.ainvoke,refinement_template,1
langchain_core,.ainvoke,planner,1
langchain_core,.ainvoke,editor,1
langchain_core,.ainvoke,scorer,1
langchain_core,.ainvoke,selector,1
langchain_core,.ainvoke,runnable_llm,1
langchain_core,.ainvoke,scoring_model,1
langchain_core,.ainvoke,scoring_template,1
langchain_core,.ainvoke,bound_llm,1
langchain_core,.ainvoke,llm_bound,1
langchain_core,.ainvoke,structured_llm,1
langgraph,.astream,runnable,1
langchain_core,.ainvoke,prompt_extension_template,1
langchain_openai,.ainvoke,graph,1
langchain_core,.astream,tool,1
langchain_core,.ainvoke,runnable_with_retries,1
langchain_core,.ainvoke,mock_inner_agent,1
langgraph,.ainvoke,base_agent,1
langgraph,.astream,mock_react_graph,1
langgraph,.ainvoke,mock_react_graph_no_raise,1
langgraph,.ainvoke,mock_tool_graph,1
langgraph,.ainvoke,mock_tool_graph_with_return_direct,1
langchain_core,.ainvoke,prompt,1
langchain_nvidia_ai_endpoints,.generate,rag,1
semantic_kernel,.get_chat_message_contents,client,1
langgraph,.invoke,aws_llm,1
langgraph,.invoke,chat_prompt,1
langgraph,.invoke,jira_create_tool,1
langgraph,.invoke,tools_by_name,1
langgraph,.invoke,azure_llm,1
langchain_core,.invoke,fetch_user_flight_information,1
agent_framework,.run,subprocess,1
agent_framework,.run,content_gen_agent,1
autogen_core,.publish_message,runtime,1
pydantic_ai,.run,calculator_agent,1
agent_framework,.run,workflow2,1
agent_framework,.run,wf,1
openai,chat.completions.create,clinet,1
langchain,.run,agent,1
agent_framework,.run,triage_agent,1
agent_framework,.run,threat_agent,1
agent_framework,.run,response_agent,1
agent_framework,.run,advisor_agent,1
agent_framework,.run,explainer_agent,1
langgraph,.ainvoke,langgraph_agent,1
autogen_agentchat,.run,self,1
agno,.run,agent_app,1
agent_framework,.run,get_verification_grader,1
openai,chat.completions.create,fresh_client,1
mem0,.add,memory_client,1
mem0,.search,memory_client,1
pydantic_ai,.run,chat_agent,1
anthropic,messages.create,cloud_registered_async_anthropic_client,1
anthropic,messages.stream,cloud_registered_async_anthropic_client,1
anthropic,messages.stream,cloud_registered_anthropic_client,1
langchain_aws,.ainvoke,cloud_registered_bedrock_client,1
langchain_aws,.astream,cloud_registered_bedrock_client,1
langchain_aws,.stream,cloud_registered_bedrock_client,1
anthropic,messages.create,unwrapped_client,1
langchain_aws,.invoke,unwrapped_client,1
langchain_aws,.invoke,wrapped_client,1
openai,responses.create,unwrapped_client,1
langchain_openai,.ainvoke,client,1
langchain_aws,.batch,collection,1
agno,.arun,selector_agent,1
agno,.run,_get_gateway_mcp_app,1
camel,.step,<expr>,1
camel,.step,p2p_agent,1
camel,.step,t2p_agent,1
camel,.step,audio_reasoning_agent,1
camel,.step,synthesis_agent,1
camel,.step,docstring_assistant,1
camel,.step,search_agent,1
camel,.step,session,1
langchain_openai,.ainvoke,super,1
langchain,.invoke,request,1
langchain_core,.invoke,_tool,1
mem0,.search,backend,1
langgraph,.astream,subagent,1
langchain,.ainvoke,compaction_model,1
langchain_core,.astream,graph,1
langchain_core,.ainvoke,orch,1
langchain_core,.run,clipped,1
langchain_core,.run,whole,1
autogen,.a_generate_reply,agent,1
langgraph,.astream,app,1
langchain,.arun,langchain_tool2,1
langchain,.run,langchain_tool,1
langchain,.run,langchain_tool2,1
langchain,.call,vs_ret_tool,1
langchain,.run,lc_tool,1
openai,chat.completions.create,konko,1
openai,completions.create,konko,1
openai,responses.create,mock_instance,1
pydantic_ai,.run,summary_agent,1
pydantic_ai,.run,calculator_tool,1
pydantic_ai,.run,first,1
pydantic_ai,.run,uvicorn,1
pydantic_ai,.run_stream,selected_agent,1
pydantic_ai,.run,worker,1
pydantic_ai,.run,state,1
pydantic_ai,.run_stream,state,1
pydantic_ai,.run_stream,native_agent,1
pydantic_ai,.run,agent_b,1
pydantic_ai,.run,tool,1
pydantic_ai,.run,agent_2,1
pydantic_ai,.run,creator,1
langchain_core,.ainvoke,mock_chain,1
langchain_core,.ainvoke,mock_retriever,1
langchain_core,.ainvoke,mock_prompt,1
mem0,.add,mock_client,1
langgraph,.astream,compiled,1
langchain,.ainvoke,retriever,1
mem0,.add,seen,1
mem0,.search,pattern,1
astrbot,.text_chat,retry_provider,1
astrbot,.text_chat,old_provider,1
astrbot,.text_chat,new_provider,1
astrbot,.text_chat,llm_provider,1
openai,chat.completions.create,instructor_client,1
autogen,.initiate_chat,user,1
langchain_groq,.invoke,retriever,1
langchain_groq,.invoke,chain,1
langchain_core,.call,self,1
langchain_core,.acall,llm,1
langchain,.invoke,rag_chain,1
crewai,.kickoff,train_crew,1
crewai,.kickoff_async,self,1
crewai,.call,agent,1
langchain_openai,.invoke,executor,1
crewai,.kickoff,sequential_crew,1
crewai,.call,llm1,1
crewai,.call,llm2,1
crewai,.kickoff,flow4,1
langchain_anthropic,.invoke,chat,1
langchain,.run,search,1
langchain_cohere,.invoke,chat,1
langchain_mistralai,.stream,client,1
langchain_mistralai,.invoke,client,1
langchain_together,.invoke,chat,1
langchain,.invoke,mock_chat_vertexai,1
mem0,.add,memory_instance,1
mem0,.add,mock_memory_client,1
mem0,.search,mock_memory_client,1
mem0,.add,chromadb_instance,1
mem0,.search,chromadb_instance,1
langgraph,.astream,compiled_subgraph,1
langgraph,.ainvoke,compiled_subgraph,1
crewai,.call,super,1
graphrag,drift_search,drift_search,1
graphrag,global_search,global_search,1
graphrag,basic_search,api,1
graphrag,drift_search,api,1
graphrag,global_search,api,1
graphrag,local_search,api,1
langchain_community,.invoke,agent,1
