clone_slug,imports
marcelo-earth_generative-manim,openai:8;anthropic:5;langchain_core:4;langchain_openai:3;langchain_community:3;litellm:2;langchain:1;langgraph:1;langchain_anthropic:1
SolaceLabs_solace-agent-mesh-core-plugins,solace_agent_mesh:46;litellm:2
packit_ai-workflows,beeai_framework:73
alibaizhanov_mengram,openai:5;crewai:5;langchain_core:5;anthropic:3;mem0:2;cohere:2;langchain_openai:2
hsliuping_TradingAgents-CN,langchain_core:45;langchain_openai:12;langchain_google_genai:8;langchain:4;langgraph:4;openai:3;dashscope:3;langchain_anthropic:2;langchain_community:1
zstar1003_ragflow-plus,graphrag:17;dashscope:6;openai:5;ollama:4;cohere:3;zhipuai:3;replicate:2;mistralai:2;groq:1;vertexai:1;anthropic:1
logamee_lin-cms-flask,
max2star_ragforge,graphrag:19;openai:8;dashscope:6;zhipuai:3;ollama:3;cohere:3;replicate:2;anthropic:2;mistralai:2;groq:1;vertexai:1
MGdaasLab_WHartTest,langchain_core:12;langgraph:4;langchain_openai:4;langchain:3;langchain_ollama:1;langchain_community:1;langchain_huggingface:1;langchain_deepseek:1
globocom_GloboNetworkAPI,
GoogleCloudPlatform_cloud-learning-platform,langchain:6;vertexai:3
modbender_skill-library-mcp,openai:63;anthropic:30;langchain_openai:12;agents:9;langchain_core:9;dashscope:7;litellm:6;langchain:5;langgraph:5;mistralai:4;honcho:4;ollama:3;mem0:2;zhipuai:2;groq:2;langchain_anthropic:2;replicate:1;vertexai:1;langchain_huggingface:1;langchain_community:1;ragas:1;langchain_google_genai:1;langchain_deepseek:1
GoogleCloudPlatform_terraform-genai-rag,langchain_core:7;langchain_google_vertexai:6;langchain:4;vertexai:3;langgraph:3;langchain_community:1
jxxghp_MoviePilot,langchain_core:35;langchain:17;langgraph:8;openai:3;langchain_aws:1;langchain_anthropic:1;langchain_deepseek:1;langchain_google_genai:1;langchain_openai:1
ai-bot-pro_achatbot,livekit:28;openai:9;langchain_core:7;langchain_community:6;langchain_openai:5;langchain:4;groq:2;together:2;mem0:2;litellm:2
theexperiencecompany_gaia,langchain_core:211;langgraph:105;langchain:23;langchain_google_genai:9;opik:5;langchain_openrouter:4;livekit:4;openai:1;litellm:1
aiteachme_AITeachMe,langgraph:11;litellm:2
SilvioBaratto_optimizer,
4teamwork_opengever.core,
ui-insight_vandalizer,pydantic_ai:24;openai:1
HKUSTDial_DeepEye,langchain_core:36;langgraph:11;langchain_openai:3;openai:2;langchain_community:2
Rvosy_Sakura,mem0:2
potpie-ai_potpie,pydantic_ai:4;openai:2
notadev-iamaura_OneRAG,langchain_core:19;openai:11;langchain:2;anthropic:1;langchain_community:1;langchain_experimental:1;ragas:1;langchain_google_genai:1
apache_burr,openai:24;langchain_core:6;langchain_community:5;haystack:3;langchain_experimental:3;langchain_openai:1;langgraph:1
basicmachines-co_basic-memory,mem0:1;litellm:1;openai:1
awslabs_llm-evaluation-system,openai:2;langgraph:1;langchain_aws:1;langchain_core:1;deepeval:1
cladius_agentic-ai,agno:30;langchain_groq:14;langgraph:14;langchain_core:11;pydantic_ai:11;langchain_community:4;langchain:4;vertexai:3;agents:2;langchain_huggingface:1
hpcaitech_ColossalAI,langchain:24;openai:3;langchain_experimental:1
dimagi_commcare-hq,openai:1
tendenci_tendenci,haystack:47
siddsachar_row-bot,langchain_core:100;langgraph:12;langchain_community:7;langchain_google_genai:6;langchain_ollama:3;langchain_openai:3;langchain_huggingface:2;ollama:2;anthropic:2;langchain_xai:1;langchain_anthropic:1;langchain_openrouter:1;openai:1
GrandComicsDatabase_gcd-django,haystack:7
THUIR_MemoryBench,mem0:136;langchain:54;openai:41;langchain_community:22;litellm:6;anthropic:5;ollama:5;langchain_openai:4;langchain_core:4;langchain_aws:3;agno:3;langchain_cohere:2;langchain_mistralai:2;langchain_nvidia_ai_endpoints:2;langchain_google_vertexai:2;agents:2;together:2;autogen:1;langchain_huggingface:1;langchain_anthropic:1;langchain_groq:1;langchain_together:1;langgraph:1;crewai:1;vertexai:1;groq:1
cognizant-ai-lab_neuro-san-studio,langchain_core:19;langchain:6;langchain_openai:5;langchain_community:5;langgraph:4;anthropic:4;openai:4;mem0:1;langchain_anthropic:1;crewai:1
modelscope_ms-agent,openai:3;mem0:3;anthropic:2
The-School-of-AI_Arcturus,agents:24;langchain_ollama:1;langchain_google_genai:1;langchain_google_vertexai:1;mem0:1
martinapugliese_askademic,pydantic_ai:14
Aggregate-Intellect_sherpa,langchain_core:39;langchain_openai:9;langchain_community:2;openai:2;langchain:1;agents:1
Gianthard-cyh_ValiRef,langchain_core:7;langchain_deepseek:5;langchain:1
agiresearch_Cerebrum,litellm:2;autogen:2;metagpt:2;camel:1;openai:1;langchain_community:1
OpenDataBox_Workspace-Bench,langchain_core:71;langchain:53;langgraph:49;langchain_anthropic:4;openai:3;agents:1
EvoAgentX_EvoAgentX,openai:9;dspy:4;litellm:3;ollama:1
flepied_second-brain-agent,langchain_community:2;langchain_huggingface:1
chatchat-space_Langchain-Chatchat,langchain:62;langchain_core:42;langchain_community:17;openai:14;langchain_openai:2;langchain_experimental:2;zhipuai:1
dimagi_open-chat-studio,langchain_core:63;openai:19;langchain:10;langchain_community:9;langgraph:7;langchain_openai:4;langchain_anthropic:3;langchain_google_genai:2;anthropic:2;langchain_google_vertexai:1
Clhikari_astrbot_plugin_office_assistant,astrbot:44
FlanChanXwO_astrbot_plugin_status,astrbot:6
qa296_astrbot_plugin_memora_connect,astrbot:17
1-20182_astrbot_plugin_phigros,astrbot:25
Renyus_astrbot_plugin_self_evolution,astrbot:26
0xNMLSS_astrbot_plugin_fishing,astrbot:62
NickCharlie_astrbot_plugin_self_learning,astrbot:162;mem0:1
lxfight_astrbot_plugin_mnemosyne,astrbot:20
InternLM_xtuner,lagent:12
kawayiYokami_astrbot_plugin_angel_heart,astrbot:21
pipecat-ai_pipecat,openai:21;livekit:4;langchain_core:3;anthropic:3;mistralai:2;langchain_openai:1;langchain_community:1;groq:1;mem0:1
vmoranv-reborn_astrbot_plugin_pixiv_reborn,astrbot:19
AstraSolis_astrbot_proactive_reply,astrbot:32
zouyonghe_astrbot_plugin_ebooks,astrbot:7
Heximiao_astrbot_plugin_atrifeed,astrbot:23
FlanChanXwO_astrbot_plugin_rsshub,astrbot:27
lxfight-s-Astrbot-Plugins_astrbot_plugin_livingmemory,astrbot:48
piexian_astrbot_plugin_gemini_image_generation,astrbot:36
kawayiYokami_astrbot_plugin_angel_memory,astrbot:39;openai:2
HSJ-BanFan_astrbot_plugin_telegram_forwarder,astrbot:25
diaomin66_astrbot_plugin_omnidraw,astrbot:10
exynos967_astrbot_plugin_memorix,astrbot:9;openai:2
Ayleovelle_astrbot_plugin_sylanne,astrbot:24
FlanChanXwO_astrbot_plugin_setu,astrbot:18
GEMILUXVII_astrbot_plugin_jm_cosmos,astrbot:6
Zhalslar_astrbot_plugin_parser,astrbot:16
muyouzhi6_astrbot_plugin_gitee_aiimg,astrbot:27;openai:3
storyAura_astrbot_plugin_biliVideo,astrbot:8
muyouzhi6_astrbot_plugin_life_scheduler,astrbot:3
muyouzhi6_Astrbot-desktop-assistant,
WhissleAI_PromptingNemo,openai:33;vertexai:5;langchain:3;langchain_community:2;langchain_openai:2;langchain_huggingface:1;anthropic:1
LearningCircuit_local-deep-research,langchain_core:132;langchain_community:17;langchain_ollama:15;openai:5;langchain_openai:5;langchain:3;langgraph:1;langchain_experimental:1;langchain_anthropic:1;anthropic:1;langchain_google_genai:1
hongbo-miao_hongbomiao.com,mem0:10;pydantic_ai:4;langgraph:1;openai:1;deepeval:1
xt765_LangChain-Chinese-Comment,langchain_core:921;langchain_community:860;langchain_openai:111;langchain:86;langgraph:56;langchain_anthropic:31;openai:22;langchain_ollama:17;langchain_huggingface:16;langchain_perplexity:15;langchain_fireworks:15;langchain_mistralai:11;langchain_xai:9;langchain_groq:8;anthropic:6;langchain_deepseek:5;ollama:5;langchain_cohere:2;langchain_google_vertexai:2;langchain_aws:2;langchain_google_genai:2;groq:2;langchain_experimental:1;langchain_together:1;langchain_nvidia_ai_endpoints:1;cohere:1;fireworks:1
Kasma-Inc_Sagi,autogen_core:35;autogen_agentchat:32;autogen_ext:15
allenai_agent-baselines,autogen_agentchat:5;autogen_core:4;autogen_ext:3;smolagents:3;openai:1
airblackbox_airblackbox,openai:10;langchain_openai:7;langchain:7;crewai:4;haystack:3;autogen:3;anthropic:3;langchain_community:2;langchain_core:2;autogen_agentchat:1;semantic_kernel:1;dspy:1;langgraph:1;vertexai:1
shihongDev_evalyn,langchain_core:5;langgraph:4;openai:3;anthropic:3;langchain_google_genai:1;autogen_core:1;autogen_agentchat:1;crewai:1;dspy:1;haystack:1;semantic_kernel:1
Tswoen_Paper-Agent,langgraph:2;anthropic:1;openai:1
microsoft_dstoolkit-text2sql-and-imageprocessing,autogen_agentchat:6;autogen_core:4;openai:3;semantic_kernel:3;autogen_ext:1
IBM_watsonx-developer-hub,langchain_core:23;langgraph:14;beeai_framework:7;langchain_community:4;crewai:3;autogen_agentchat:2;autogen_core:1;langchain_experimental:1
ltjed_multiagent-coaching,openai:2;autogen_ext:1;autogen_core:1;autogen_agentchat:1;anthropic:1
kfq20_AEGIS,smolagents:20;openai:10;autogen_ext:3;autogen_agentchat:3;anthropic:2;langchain:2;phoenix:1;langchain_community:1;langchain_huggingface:1
gabrielmoreira_agent-skills-mirror,anthropic:47;langchain_core:46;openai:38;langgraph:31;dspy:29;agno:27;langchain_openai:15;langchain:13;langchain_anthropic:12;litellm:9;agents:5;langchain_community:5;deepeval:3;pydantic_ai:2;langchain_ollama:2;langchain_aws:1;ollama:1;vertexai:1;crewai:1;smolagents:1;haystack:1;groq:1
hnuGraph_LLM4DBdesign,autogen_agentchat:9;autogen_ext:7;autogen_core:6;openai:3;zhipuai:1
davidmonterocrespo24_DaveAgent,autogen_core:7;autogen_ext:6;autogen_agentchat:5;openlit:1
Insight-Services-APAC_ingenious,openai:13;autogen_agentchat:10;autogen_core:9;autogen:4;autogen_ext:2;langchain_openai:1;langchain_core:1;langchain_experimental:1
PurCL_ASTRA,autogen_core:15;openai:11;agents:6;semantic_kernel:1;autogen_ext:1
unibaseio_aip-agent,autogen_core:18;openai:14;anthropic:2;cohere:1
solpbc_solstone-journal,openai:3
future-agi_traceAI,openai:53;anthropic:14;vertexai:14;langchain_core:13;pydantic_ai:13;mistralai:12;langgraph:11;langchain_openai:11;haystack:10;autogen_agentchat:9;autogen_ext:9;agents:9;agno:7;groq:7;beeai_framework:7;langchain:7;dspy:6;langchain_community:6;cohere:4;litellm:4;ollama:4;smolagents:4;together:4;crewai:3;livekit:3;langchain_cohere:2;autogen:1;langchain_experimental:1
davidmonterocrespo24_DaveLovable,autogen_core:9;autogen_agentchat:5;autogen_ext:2;openai:1
datamllab_ltsm,autogen_core:5;agents:1
raxe-ai_raxe-ce,openai:5;langchain:4;anthropic:3;crewai:3;litellm:2;autogen:2;langchain_openai:1;autogen_agentchat:1;dspy:1;langchain_core:1;vertexai:1
VincenzoManto_Doxa,autogen:2;agents:2;anthropic:1;autogen_core:1;autogen_ext:1
Harshit-J004_toolguard,langchain_core:7;autogen_core:5;crewai:5;swarm:5;langgraph:1;langchain_google_genai:1;langchain_community:1;smolagents:1
iAmGiG_AutoTrader-AgentEdge,autogen_core:23;autogen_ext:2;autogen_agentchat:1
vstorm-co_memv,openai:3;pydantic_ai:2;autogen_agentchat:1;autogen_ext:1;crewai:1;langgraph:1;langchain_openai:1;cohere:1
Corpus-OS_corpusos,langchain_core:10;semantic_kernel:8;autogen_core:8;crewai:8;langchain:3;autogen_ext:2
splx-ai_agentic-radar,agents:22;langgraph:13;crewai:8;langchain_community:6;openai:5;langchain_core:5;langchain_openai:5;autogen_agentchat:4;autogen_ext:4;autogen_core:4;langchain:4;langchain_anthropic:1;langchain_aws:1;langchain_huggingface:1
openagents-org_openagents,openai:4;langchain_openai:3;langchain_core:3;langchain:2;autogen_core:2;anthropic:2;crewai:1;pydantic_ai:1;litellm:1
huggingface_diffusers,
getsentry_sentry-python,agents:13;pydantic_ai:9;openai:8;anthropic:3;langchain_core:3;cohere:2;langchain:2;langchain_openai:2;langgraph:2;litellm:2;langchain_cohere:1;langchain_aws:1;langchain_mistralai:1;langchain_ollama:1;langchain_huggingface:1;langchain_google_vertexai:1;langchain_community:1;langchain_google_genai:1
Arvo-AI_aurora,langchain_core:42;langchain_openai:4;langchain:3;langgraph:3;langchain_google_genai:2;langchain_anthropic:1;langchain_aws:1;langchain_ollama:1
Azure_app-service-linux-docs,langchain:1
getmoto_moto,
DataDog_dd-trace-py,openai:24;anthropic:11;langchain_core:10;litellm:8;vertexai:7;langgraph:5;langchain:5;agents:4;pydantic_ai:4;langchain_openai:4;crewai:3;mistralai:3;deepeval:3;langchain_community:2;langchain_anthropic:2;langchain_google_genai:2;ragas:2;langchain_cohere:1
mlflow_mlflow,openai:52;langchain_core:42;dspy:27;langchain:23;litellm:21;langchain_openai:18;langchain_community:11;langgraph:11;pydantic_ai:8;anthropic:6;ragas:6;autogen:5;agno:5;groq:5;deepeval:5;semantic_kernel:5;crewai:4;mistralai:4;smolagents:4;phoenix:4;haystack:3;autogen_core:3;agents:3;autogen_ext:2;autogen_agentchat:2;livekit:1
NVIDIA_NVFlare,
Azure_plan-search-chatbot,semantic_kernel:9;langchain:7;openai:7;langchain_core:2
qcri_LLMeBench,openai:3;langchain:1;anthropic:1;vertexai:1
MigoXLab_dingo,openai:7;langchain:5;langchain_core:3;langchain_openai:2;litellm:1;langchain_community:1
imbue-ai_mngr,anthropic:2
truera_trulens,langchain_core:24;openai:12;langchain_community:11;langchain_openai:8;langchain:8;langgraph:8;litellm:8;agents:3;langchain_huggingface:1;langchain_experimental:1;anthropic:1
StellarCN_py-stellar-base,
ibm-granite-community_granite-playground-agents,beeai_framework:28;langchain_core:13;openai:1;langchain_openai:1;langchain_ollama:1;langchain_community:1
IBM_oic-i-agentic-ai-tutorials,langchain_core:8;langgraph:5;beeai_framework:4;langchain_openai:3;langchain_community:2;crewai:1;langchain:1;langchain_experimental:1;agents:1
fedora-copr_logdetective,beeai_framework:9;litellm:2;openai:1
deepsense-ai_db-ally,dspy:6;litellm:3;openai:2
Root-IO-Labs_open-agent-teams,langchain_core:60;langchain:47;langgraph:38;langchain_anthropic:3;langchain_openai:1
drussell23_JARVIS,anthropic:66;langgraph:12;langchain:6;agents:4;langchain_core:3;openai:3;langchain_community:3;metagpt:1
ProzorroUKR_openprocurement.api,
binance_binance-connector-python,
JJLibra_CC-Pan,
PostHog_posthog,langchain_core:166;openai:56;langgraph:34;anthropic:25;litellm:19;langchain_openai:8;langchain_anthropic:3;langchain:2;langchain_community:1
JohnnyFiv3r_Core-Memory,pydantic_ai:5;langchain_core:2
0ca_BoxPwnr,langchain_core:34;openai:4;langchain:2;langchain_anthropic:2;langchain_community:2;langchain_openai:2;anthropic:1
oracle-devrel_technology-engineering,langchain_core:51;langchain_community:40;langchain:27;openai:19;livekit:7;langgraph:6;crewai:4;agents:4;litellm:3
yfyang007_RealRestorer,
OpenSourceAGI_ai-broker-investing-agent,langchain_core:32;langgraph:5;langchain_google_genai:4;langchain_openai:2;ollama:1;langchain_groq:1;langchain_deepseek:1;langchain_xai:1;langchain_anthropic:1;langchain_ollama:1;langchain_community:1
agentbay-ai_wuying-agentbay-sdk,langchain_core:15;langchain_openai:12;langgraph:10;langchain:4;langchain_community:3;openai:2;langchain_anthropic:2;langchain_google_genai:2;mistralai:1
HeKun-NVIDIA_hackathon_aiqtoolkit,langchain_core:41;langgraph:7;langchain:6;langchain_community:4;agno:3;crewai:3;langchain_nvidia_ai_endpoints:3;litellm:2;langchain_openai:2;mem0:2;semantic_kernel:2;ragas:2;langchain_aws:1;phoenix:1;ragaai_catalyst:1
SkBlaz_py3plex,agents:1
rand_cc-polymath,dspy:15;openai:1
open-compass_opencompass,lagent:7;openai:6;anthropic:2;zhipuai:2;langchain:1;litellm:1;dashscope:1
gip-inclusion_les-emplois,
Upsonic_Upsonic,openai:40;mem0:6;anthropic:3;groq:3;cohere:2;mistralai:2;ollama:1
baserow_baserow,pydantic_ai:28;anthropic:1;openai:1
cytoflow_cytoflow,camel:1
PUITAR_DeepSlide,camel:16;openai:9;dashscope:3
guaardvark_guaardvark,ollama:19;anthropic:1
XinXU-USTC_Composition-RL,openai:8;vertexai:2;camel:1;together:1
aaronjmars_MiroShark,camel:10;openai:1
frostming_marko,
Kotti_Kotti,
tejoesperanto_pasportaservo,
areal-project_AReaL,openai:28;camel:5;litellm:3;agents:3;anthropic:2;langchain_openai:1;langchain:1
camelot-dev_camelot,
debnet_common-framework,
aliyun_aliyun-odps-python-sdk,
yazmolod_pynspd,
Leggin_dirigera,
ansible-collections_community.aws,
ansible-collections_amazon.aws,
OuyangWenyu_hydrodataset,
koldakov_futuramaapi,
altescy_colt,
MaxApiTeam_PyMax,
cctbx_cctbx_project,langchain_core:15;openai:4;anthropic:2;langchain_google_genai:2;langgraph:1;langchain_anthropic:1;langchain_openai:1;langchain_ollama:1
OuyangWenyu_torchhydro,
zscaler_zscaler-sdk-python,
invoice-x_invoice2data,
checkmarx-ts_checkmarx-python-sdk,
infobip-community_infobip-api-python-sdk,
edraj_dmart,
JuDFTteam_masci-tools,
HALFpipe_HALFpipe,
jst-seminar-rostlab-tum_personio-foundation-coachai,langchain:3;langchain_google_genai:2;langchain_community:2;openai:1;langchain_google_vertexai:1;langchain_openai:1;langchain_core:1
langwatch_scenario,litellm:31;openai:30;pydantic_ai:2
nbelle1_strategy-game-agents,agents:19;langchain_core:6;langchain_mistralai:5;langchain_openai:5;langchain_aws:5;langchain_community:4;langgraph:4;anthropic:1;mistralai:1;openai:1;langchain_anthropic:1
EfficientAI-tech_efficientAI,openai:17;litellm:4;livekit:4;anthropic:2;agents:1;langchain_core:1;groq:1;mem0:1
xtekky_gpt4free,openai:2;langchain_community:1;pydantic_ai:1
RBVI_ChimeraX,
memgrafter_flatmachines,litellm:4;smolagents:1
seanchatmangpt_dspygen,dspy:217;openai:6;ollama:2;groq:1
malue-ai_dazee-small,openai:5;anthropic:2;mem0:2
codemie-ai_codemie,langchain_core:292;langgraph:29;langchain_community:14;litellm:5;langchain_openai:4;openai:3;langchain_google_vertexai:2;langchain_aws:1;langchain_anthropic:1
MantisAI_sieves,dspy:48;langchain_openai:2;anthropic:1;litellm:1;langchain_core:1;pydantic_ai:1;openai:1
epam_statgpt-backend,langchain_core:63;openai:7;langchain_openai:2
endomorphosis_ipfs_kit_py,langchain:6
larksuite_oapi-sdk-python,
nfraxlab_ai-infra,langchain_core:48;openai:7;langgraph:6;langchain:2;langchain_openai:2;cohere:1;vertexai:1;replicate:1;anthropic:1;langchain_huggingface:1
coleam00_ottomator-agents,pydantic_ai:110;openai:47;agents:14;mem0:5;livekit:2;langgraph:2;langchain_huggingface:2;groq:1;ollama:1;together:1;langchain_core:1;langchain_anthropic:1;langchain_openai:1;langchain_community:1;langchain:1;smolagents:1;anthropic:1
ClairMeta_ClairMeta,
ninjahawk_hollow-agentOS,agents:48
dajiaji_python-cwt,
FanDongzhe123_RAGSearch,graphrag:285;openai:16;litellm:7;anthropic:5;zhipuai:1;ollama:1;cohere:1;mistralai:1
spurbey_agent-memory-orchestrator,
cvs-health_uqlm,langchain_core:33;langchain_openai:16
infinitywings_rka,litellm:3
JetAstra_SDAR,lagent:7;openai:5;anthropic:2;zhipuai:2;langchain:1;dashscope:1
rai-opensource_spot_wrapper,
Intelligent-Internet_CommonGround,
rapidpro_rapidpro,
DemonDamon_AgenticX,mem0:62;openai:21;agents:10;litellm:6;langchain:3;dashscope:2;langchain_community:2;ollama:2;together:2;vertexai:1;langchain_aws:1;anthropic:1;groq:1;langchain_core:1
perrette_papers,
claudlos_hermes-katana,openai:5;anthropic:3
hkust-nlp_LOCA-bench,anthropic:2
Lyellr88_MARM-Systems,
HolobiomicsLab_Perspicacite-AI,litellm:5
psi-oss_get-physics-done,
SiliconEinstein_Gaia,
Stage-11-Agentics_lattice,
IINemo_lm-polygraph,openai:3
MontrealAI_agialpha-first-real-loop,
canvas-medical_canvas-plugins,
noetl_noetl,
vertex-protocol_vertex-python-sdk,
MinBZK_poc-machine-law,anthropic:3;langchain_anthropic:3;langgraph:3;openai:2;langchain_core:2;langchain_community:1
JawadAminMSFT_WorkbenchIQ,openai:2
canonical_maas,
HKUDS_ClawTeam,
evalops_cognitive-dissonance-dspy,dspy:19;openai:1
zincware_ZnDraw,
agencyenterprise_draft-detective,langgraph:91;langchain_core:56;langchain:27;openai:2;langchain_openai:1;anthropic:1
s-nlp_AdaRAGUE,openai:15
ttlequals0_PixelProbe,
jpietek_PenguinBurner,
fathom-lab_styxx,openai:107;anthropic:22;langchain_core:4;langchain:4;crewai:3;langchain_openai:2;dspy:1;autogen:1
Haohao-end_openagent,langchain_core:113;langchain_community:19;langgraph:6;langchain_openai:6;openai:4;langchain:1;langchain_deepseek:1;langchain_google_genai:1;langchain_ollama:1
lossless-group_investment-memo-orchestrator,langchain_anthropic:19;openai:18;anthropic:16;langchain_core:12;langgraph:1;agents:1
opencord_voltha,
wsman_MY-DOGE-MICRO,openai:6
huygiatrng_AlpacaTradingAgent,langchain_core:16;langchain_openai:8;langgraph:5;openai:3;langchain_anthropic:1;langchain_google_genai:1
NForce-ai_SDRbot,langchain_core:64;langchain:8;langgraph:8;langchain_anthropic:2;langchain_google_genai:1;langchain_openai:1;langchain_aws:1;opik:1
langchain-ai_langchain-google,langchain_core:133;langchain_google_vertexai:58;langchain_google_genai:27;vertexai:14;langgraph:7;langchain:4;anthropic:4;langchain_community:2;langchain_openai:1;langchain_mistralai:1
Tencent_AI-Infra-Guard,deepeval:53;openai:9
Genshin-bots_gsuid_core,pydantic_ai:69;openai:1;anthropic:1
zjunlp_LightMem,mem0:69;openai:27;langchain_core:17;langgraph:10;litellm:7;langchain:7;ollama:5;langchain_aws:3;anthropic:2;langchain_community:2;langchain_openai:1;groq:1;together:1
the-omics-os_lobster,langchain_core:56;langgraph:46;langchain_aws:4;langchain_openai:3;langchain_anthropic:1;langchain_google_genai:1;langchain_ollama:1;openai:1;cohere:1
bytedance_Video-As-Prompt,
wshobson_maverick-mcp,langchain_core:7;langchain_anthropic:1;langchain_openai:1;langgraph:1
Altinity_clickhouse-regression,swarms:11
promptdriven_pdd,litellm:20;langchain_core:18;langchain_community:8;langchain:8;langchain_openai:3;openai:3;langchain_anthropic:2;anthropic:1;langchain_google_genai:1;langchain_ollama:1;langchain_groq:1;langchain_google_vertexai:1;langchain_fireworks:1;langchain_together:1;langchain_aws:1;langgraph:1
temporalio_samples-python,agents:57;langgraph:13;openai:12;langchain_core:11;langchain:3;litellm:2
brevia-ai_brevia,langchain_core:15;langchain_community:14;langchain:14;openai:3;langchain_openai:2;anthropic:1;ollama:1;cohere:1;langchain_ollama:1
blaxel-ai_sdk-python,pydantic_ai:6;agents:4;crewai:3;langchain_core:3;livekit:3;openai:2;cohere:2;langchain_anthropic:1;langchain_openai:1;langchain_cohere:1;langchain_xai:1;mistralai:1;anthropic:1;langgraph:1
langchain-ai_langchain-cohere,langchain_cohere:37;langchain_core:31;cohere:9;langchain_community:2;langchain:1;langgraph:1
skygazer42_GustoBot,langchain_core:48;langgraph:11;langchain_openai:6;openai:6;cohere:1
Edraak_edraak-platform,
lastmile-ai_mcp-agent,openai:6;anthropic:4;crewai:2;langchain_core:2;langchain_community:1;cohere:1
Azure_azure-sdk-for-python,openai:137;semantic_kernel:5;langgraph:3;langchain_core:3;agent_framework:2
assafelovic_gpt-researcher,langchain_community:12;langchain_core:11;langchain_openai:9;langchain_ollama:2;langchain_fireworks:2;langchain_cohere:2;langchain_google_vertexai:2;langchain_mistralai:2;langchain_huggingface:2;langchain_together:2;langchain_aws:2;langchain_google_genai:2;langgraph:2;langchain_groq:1;langchain_xai:1;langchain_anthropic:1;autogen:1;langchain:1
MemMachine_MemMachine,openai:21;cohere:3;langchain_aws:3;crewai:2;agents:1;langchain:1;litellm:1
memory-graph_memory-graph,
deepset-ai_haystack-core-integrations,haystack:736;openai:39;vertexai:16;anthropic:11;cohere:10;ollama:8;ragas:6;dspy:4;deepeval:3;mistralai:3;litellm:2;mem0:1
yusufkaraaslan_Skill_Seekers,openai:13;langchain:3;anthropic:3;haystack:2;langchain_openai:1;langchain_core:1
strands-agents_harness-sdk,openai:5;anthropic:2;litellm:2;ollama:2;langchain:1;langchain_aws:1;mistralai:1
wsargent_groundedllm,haystack:38
endomorphosis_ipfs_datasets_py,openai:5;anthropic:1;haystack:1;semantic_kernel:1
tigergraph_graphrag,langchain_core:29;langchain_community:11;graphrag:5;langchain_openai:4;langchain_experimental:2;langchain_google_vertexai:2;langchain_aws:2;langchain_google_genai:2;langchain_ollama:1;langchain_groq:1;langgraph:1;deepeval:1;langchain:1
Pylons_pyramid,
mattv8_ragtime,langchain_core:32;langchain_ollama:4;langchain_community:3;langchain_openai:3;langchain_anthropic:2;anthropic:1;openai:1;langchain:1
langflow-ai_langflow,langchain_core:206;langchain_community:54;langchain_openai:22;openai:19;crewai:17;langchain:12;langchain_anthropic:9;langchain_google_genai:6;langgraph:6;langchain_aws:4;langchain_nvidia_ai_endpoints:4;langchain_experimental:4;anthropic:3;langchain_ollama:3;langchain_cohere:3;cohere:2;smolagents:2;langchain_mistralai:2;langchain_google_vertexai:2;litellm:2;phoenix:1;opik:1;mem0:1;agents:1;langchain_groq:1;langchain_perplexity:1;groq:1
indexedlabs_pydantic-ai-gepa,pydantic_ai:62;openai:1
jupyter-naas_abi,langchain_openai:155;langchain_core:109;langchain_aws:15;langchain_anthropic:12;langgraph:7;langchain_ollama:7;langchain_perplexity:6;langchain_mistralai:3;openai:2;anthropic:1;langchain_google_genai:1;langchain_xai:1
open-edge-platform_edge-ai-libraries,langchain_core:6;openai:4;langchain_community:4;langchain_openai:2;langgraph:1;litellm:1;langchain_ollama:1;ollama:1;langchain_huggingface:1;openlit:1
WhitzardAgent_snowl,langchain:1;anthropic:1;openai:1
openonion_browser-agent,agents:2
posit-dev_py-shiny,langchain_openai:2
pipeshub-ai_pipeshub-ai,langchain_core:60;openai:10;langchain_openai:5;opik:3;langchain_anthropic:3;langchain_google_genai:3;langchain_mistralai:3;langchain_aws:3;anthropic:2;langchain_community:2;langchain:1;cohere:1;langchain_ollama:1;langchain_fireworks:1;langchain_groq:1;langchain_xai:1;langchain_cohere:1
DeytaHQ_khora,litellm:20;agents:7;langgraph:5;openai:2;crewai:1
IBM_ares,litellm:2
pathwaycom_pathway,openai:5;langchain_core:3;litellm:3;ragas:2;autogen:1;langchain_openai:1;langchain:1;cohere:1
NVIDIA-AI-Blueprints_aiq,langchain_core:57;langgraph:13;langchain:6;openai:2
ai-forever_giga_agent,langchain_core:141;langchain:55;langgraph:45;openai:5;langchain_openai:3;langchain_deepseek:2;langchain_community:1;phoenix:1
LangConfig_langconfig,langchain_core:47;langgraph:22;langchain:20;langchain_openai:8;langchain_anthropic:4;langchain_community:4;anthropic:3;langchain_google_genai:1;langchain_experimental:1;openai:1
elixir-luxembourg_daisy,haystack:3
tanimislam_howdy,patchwork:1
xunharry4-source_AnimoCerebro,dspy:3;openai:1;pydantic_ai:1;langgraph:1
inclusionAI_AWorld,openai:13;langchain_core:7;agents:4;langchain_openai:2;anthropic:1;together:1;langchain_experimental:1
kd-research_Techies,crewai:10;openai:5;litellm:4;agentops:2;langchain_community:1;langchain_core:1
peteromallet_Arnold,openai:8;honcho:2;anthropic:1
hybroai_a2a-adapter,langchain_openai:3;langchain_core:3;crewai:2;langgraph:2
ArchAI-Labs_code_explainer,crewai:6;langchain_community:1
