import_name,auto_bucket,reason,distinct_repos,kept_candidates,source_frameworks
media_fetchers,REVIEW,unclassified,1,0,openakita/openakita
media_inline,REVIEW,unclassified,1,0,openakita/openakita
murf_tts_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
nvidia_riva_tts_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
openai_gpt_image_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
oracle_asr_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
oracle_tts_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
pentestgpt_legacy,KEEP,matches_source_repo,1,0,GreyDGL/PentestGPT
protoface,REVIEW,unclassified,1,1,livekit/agents
quoted_message,REVIEW,unclassified,1,0,AstrBotDevs/AstrBot
simple_animation,REVIEW,unclassified,1,0,dot-agent/nextpy
tongyi_inline,REVIEW,unclassified,1,0,openakita/openakita
tool_server_lite,REVIEW,unclassified,1,0,polyuiislab/infiAgent
whisper_stt_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
xai_asr_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
xai_tts_python,REVIEW,unclassified,1,0,TEN-framework/ten-framework
agent_framework_hosting_telegram,KEEP,matches_source_repo,0,0,microsoft/agent-framework
agent_framework_meta,KEEP,matches_source_repo,0,0,microsoft/agent-framework
agentuniverse_connector,KEEP,matches_source_repo,0,0,agentuniverse-ai/agentUniverse
agentuniverse_extension,KEEP,matches_source_repo,0,0,agentuniverse-ai/agentUniverse
ai_attack_surface_scan,REVIEW,unclassified,0,0,samugit83/redamon
aio_http_server_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
aliyun_asr_bigmodel_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
anam_avatar_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
asr_guarder,REVIEW,unclassified,0,0,TEN-framework/ten-framework
assemblyai_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
audio_file_player_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
aws_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
azure_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
azure_mllm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
azure_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
beautiful_soup_web,REVIEW,unclassified,0,0,dot-agent/nextpy
bedrock_llm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
bingsearch_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
component_schema_gen,REVIEW,unclassified,0,0,microsoft/autogen
computer_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
cosy_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
coze_llm2_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
deepgram_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
deepgram_ws_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_asr_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_async_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_llm_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_mllm_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
default_tts_extension_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
demogpt_agenthub,KEEP,matches_source_repo,0,0,melih-unsal/DemoGPT
dify_llm2_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
dingtalk_bot_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
dubverse_tts,REVIEW,unclassified,0,0,TEN-framework/ten-framework
elevenlabs_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
elevenlabs_tts2_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
ezai_asr,REVIEW,unclassified,0,0,TEN-framework/ten-framework
faiss_impl,REVIEW,unclassified,0,0,AstrBotDevs/AstrBot
gemini_llm2_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
gemini_mllm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
generic_video_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
giskard_pypi_shim,REVIEW,unclassified,0,0,Giskard-AI/giskard-oss
gladia_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
glm_mllm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
glue_python_async,REVIEW,unclassified,0,0,TEN-framework/ten-framework
google_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
google_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
gradium_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
gradium_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
grok_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
groq_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
headroom_retrieve,KEEP,matches_source_repo,0,0,headroomlabs-ai/headroom
heygen_avatar_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
inworld_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
magentic_one_cli,REVIEW,unclassified,0,0,microsoft/autogen
mcp_client_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
message_collector2,REVIEW,unclassified,0,0,TEN-framework/ten-framework
multiturn_strategy,REVIEW,unclassified,0,0,patched-codes/patchwork
notte_llm,KEEP,matches_source_repo,0,0,nottelabs/notte
notte_mcp,KEEP,matches_source_repo,0,0,nottelabs/notte
obsidian_wiki,KEEP,matches_source_repo,0,0,Ar9av/obsidian-wiki
oceanbase_powerrag_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
olayer,REVIEW,unclassified,0,0,AstrBotDevs/AstrBot
openai_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
openai_image_generate_tool,REVIEW,unclassified,0,0,TEN-framework/ten-framework
openai_llm2_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
openai_mllm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
openclaw_gateway_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
outschool,REVIEW,unclassified,0,0,camel-ai/camel
partial_recon_modules,REVIEW,unclassified,0,0,samugit83/redamon
pcm_file_reader_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
pil_demo_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
playht_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
praisonai_platform,KEEP,matches_source_repo,0,0,MervinPraison/PraisonAI
queritsearch_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
qwen3_tts_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
readability_web,REVIEW,unclassified,0,0,dot-agent/nextpy
rime_http_tts,REVIEW,unclassified,0,0,TEN-framework/ten-framework
sam_rest_client,REVIEW,unclassified,0,0,SolaceLabs/solace-agent-mesh
sarvam_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
sarvam_http_tts,REVIEW,unclassified,0,0,TEN-framework/ten-framework
simple_echo_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
soniox_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
spatius_avatar_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
speechmatics_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
stepfun_mllm_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
streamid_adapter,REVIEW,unclassified,0,0,TEN-framework/ten-framework
superduper_anthropic,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_chromadb,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_cohere,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_jina,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_lance,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_llamacpp,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_mongodb,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_openai,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_pillow,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_qdrant,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_redis,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_sentence_transformers,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_sklearn,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_snowflake,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_sql,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_template,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_torch,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_transformers,KEEP,matches_source_repo,0,0,superduper-io/superduper
superduper_vllm,KEEP,matches_source_repo,0,0,superduper-io/superduper
ten_turn_detection,REVIEW,unclassified,0,0,TEN-framework/ten-framework
tencent_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
text_webhook,REVIEW,unclassified,0,0,TEN-framework/ten-framework
thymia_analyzer_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
trafilatura_web,REVIEW,unclassified,0,0,dot-agent/nextpy
trugen,REVIEW,unclassified,0,0,livekit/agents
tts_guarder,REVIEW,unclassified,0,0,TEN-framework/ten-framework
unstructured_web,REVIEW,unclassified,0,0,dot-agent/nextpy
vibevoice_tts_websocket_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
video_surfer,REVIEW,unclassified,0,0,microsoft/autogen
vision_analyze_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
vision_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
weatherapi_tool_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
websocket_server_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
wecom_ai_bot,REVIEW,unclassified,0,0,AstrBotDevs/AstrBot
xfyun_asr_bigmodel_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
xfyun_asr_dialect_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
xfyun_asr_python,REVIEW,unclassified,0,0,TEN-framework/ten-framework
