"full_name","clone_slug","matched_frameworks","stars","size_kb","contributors","pushed_at","description","real_ai_app","analyzed_scope","processed","clone_failed","llm_calls","llm_calls_raw","fp_dropped_calls","invokers_direct","invokers_transitive","nd_tests","nd_tests_direct","nd_tests_transitive","eval_calls","total_functions","pct_functions_direct","cg_source","graph_usable","graph_excluded_files","graph_coverage_pct","slice_status","slice_error","frameworks_imported","framework_suspect","framework_evidence","zero_invoker","zero_invoker_reason","imports_matched_fw","py_files","ipynb_files","test_files","http_llm_files","cli_llm_files","in_scope","notes"
"benseverndev-oss/goldenmatch","benseverndev-oss_goldenmatch","headroom","119","78677","4","2026-06-29","Zero-config entity resolution & record linkage. The zero-tuning Fellegi-Sunter path beats hand-tuned Splink head-to-head and scales from a CSV to a verified 100M-row dedupe in 9.2 min. Fuzzy/exact/pro","1","0","1","0","18","18","0","15","0","0","0","0","0","26734","0.06","none","False","10","0.0","ok","","openai, anthropic, graphrag","0","","0","","","","","","","","",""
"UiPath/uipath-langchain-python","UiPath_uipath-langchain-python","langchain_anthropic, langchain_openai, langgraph","71","16900","57","2026-06-29","Python SDK that enables developers to build and deploy LangGraph agents to the UiPath Cloud Platform","1","1","1","0","98","99","1","86","2083","1574","39","1535","0","3942","2.18","pyan_resilient","True","4","110.5","ok","","langchain_core, langgraph, langchain, langchain_anthropic, langchain_openai, openai, langchain_community, langchain_experimental, langchain_aws, langchain_google_genai, agents","0","","0","","","","","","","","0","framework, not an application: UiPath SDK extension for LangGraph agents (EXCLUSIONS §11)"
"snowsky/yourfinanceworks","snowsky_yourfinanceworks","langchain_anthropic","13","19481","4","2026-06-29","self-hosted finance books for developers and small businesses","1","1","1","0","7","7","0","5","5555","1975","0","1975","0","10064","0.05","pyan_resilient","True","5","120.9","ok","","litellm, langchain_community, langchain_ollama, langchain_core, langchain_openai, langchain_anthropic, ollama","0","","0","","","","","","","","",""
"cuga-project/cuga-agent","cuga-project_cuga-agent","langchain","825","96779","21","2026-06-29","CUGA is an open-source generalist agent harness for the enterprise, supporting complex task execution on web and APIs, OpenAPI/MCP integrations, composable architecture, reasoning modes, and policy-aw","1","1","1","0","191","196","5","140","4022","1954","70","1884","0","5923","2.36","pyan_resilient","True","2","119.7","ok","","langchain_core, langgraph, langchain_openai, langchain_groq, langchain_google_genai, litellm, openai, langchain, langchain_ollama, openlit","0","imported_by=1 as `cuga` (e.g. langflow-ai/langflow)","0","","","","","","","","0","framework, not an application: enterprise agent harness (EXCLUSIONS §12)"
"ascending-llc/jarvis-registry","ascending-llc_jarvis-registry","agno","1706","29467","30","2026-06-29","Connect any AI copilot or autonomous agent to your enterprise tools — through a single, secure MCP/Agent gateway with built-in identity, access control, and full observability.","1","1","1","0","18","18","0","18","73","58","9","49","0","5090","0.35","pyan_resilient","True","1","108.9","ok","","agno, langchain_core, langchain_aws","0","","0","","","","","","","","",""
"erfanzar/Xerxes-Agents","erfanzar_Xerxes-Agents","honcho","24","21592","2","2026-06-27","Agents for intelligence and coordination","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","none","False","0","0.0","absent","","","0","","1","no_python_files","","0","0","0","0","0","",""
"Larens94/codedna","Larens94_codedna","agno","142","107254","3","2026-05-02","A lightweight annotation standard that helps AI agents navigate codebases faster, with fewer file reads and tool calls","1","1","1","0","9","9","0","8","32","2","0","2","0","2584","0.31","pyan","True","0","100.5","ok","","agno, openai, anthropic, litellm","0","","0","","","","","","","","",""
"fwornle/agentic-ai-nano","fwornle_agentic-ai-nano","agno, crewai, pydantic_ai","12","54819","2","2026-05-02","nano-degree in Agentic AI","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","not_processed","","langchain, langgraph, crewai, agno, langchain_openai, pydantic_ai, ragas, langchain_core, langchain_experimental, agents","0","","1","clone_failed","agno, crewai, pydantic_ai","266","0","8","0","0","",""
"neatlogs/neatlogs","neatlogs_neatlogs","agno","45","3975","11","2026-06-25","AI agent debugging, collaboration, and trace observability. Built for teams using CrewAI, OpenAI, and more.","1","1","1","0","165","167","2","134","31","68","68","0","0","1415","9.47","pyan","True","0","126.9","ok","","crewai, openai, langchain_core, langchain_openai, agents, langgraph, anthropic, langchain_community, dspy, litellm, langchain_google_genai, agno, pydantic_ai, langchain_cohere, langchain_aws, langchain","0","","0","","","","","","","","",""
"ezyang/codemcp","ezyang_codemcp","agno","1611","1648","9","2025-12-25","Coding assistant MCP for Claude Desktop","1","1","1","0","2","2","0","1","1","0","0","0","0","283","0.35","pyan","True","0","124.0","ok","","agno","0","","0","","","","","","","","",""
"mindroom-ai/mindroom","mindroom-ai_mindroom","agno, mem0","37","25609","3","2026-06-29","Your AI is trapped in apps. We set it free.","1","1","1","0","41","45","4","41","0","21","21","0","0","26535","0.15","none","False","5","0.0","ok","","agno, openai, anthropic, livekit, mem0","0","","0","","","","","","","","",""
"Shubhamsaboo/awesome-llm-apps","Shubhamsaboo_awesome-llm-apps","agno, langchain_openai","116052","209258","85","2026-06-15","100+ AI Agent & RAG apps you can actually run — clone, customize, ship.","1","1","1","0","279","280","1","181","76","3","0","3","0","1940","9.33","pyan_resilient","True","1","100.8","ok","","agno, agents, openai, langchain, langchain_core, langchain_openai, langchain_community, langgraph, mem0, autogen, anthropic, langchain_google_genai, pydantic_ai, crewai, langchain_ollama, ollama, litellm, langchain_anthropic, together, agency_swarm, groq, headroom, dspy, langchain_cohere, cohere","0","","0","","","","","","","","",""
"Sumanth077/Hands-On-AI-Engineering","Sumanth077_Hands-On-AI-Engineering","agno, crewai, haystack, smolagents","2538","186971","9","2026-06-29","A curated collection of practical AI projects implementing OCR systems, RAG, AI agents, and other AI use cases.","1","1","1","0","47","48","1","44","30","1","0","1","0","895","4.92","pyan_resilient","True","56","99.3","ok","","langchain_core, openai, agno, mistralai, langchain_community, crewai, agents, langchain_mistralai, langgraph, langchain_openai, langchain, langchain_google_genai, haystack, autogen, smolagents, mem0, ollama, langchain_ollama, cohere","0","","0","","","","","","","","",""
"NVIDIA/NeMo-Agent-Toolkit","NVIDIA_NeMo-Agent-Toolkit","agno, autogen_core, autogen_ext, crewai, haystack, langchain_exa, langchain_huggingface","2460","92263","91","2026-06-26","The NVIDIA NeMo Agent toolkit is an open-source library for efficiently connecting and optimizing teams of AI agents.","1","1","1","0","120","163","43","100","152","134","33","101","4","12437","0.8","pyan","True","0","121.5","ok","","langchain_core, langgraph, langchain_community, litellm, haystack, semantic_kernel, autogen_core, ragas, agno, openai, langchain_nvidia_ai_endpoints, crewai, langchain_openai, autogen_agentchat, autogen_ext, langchain_huggingface, mem0, phoenix, langchain_aws","0","","0","","","","","","","","",""
"gabrielmoreira/agent-skills-mirror","gabrielmoreira_agent-skills-mirror","agno, dspy","11","780308","3","2026-06-29","Periodically refreshed mirror of agents, skills, prompts and instruction files from public repositories.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","not_processed","","anthropic, langchain_core, openai, langgraph, dspy, agno, langchain_openai, langchain, langchain_anthropic, litellm, agents, langchain_community, deepeval, pydantic_ai, langchain_ollama, langchain_aws, ollama, vertexai, crewai, smolagents, haystack, groq","0","","1","clone_failed","agno, dspy","13593","31","1069","196","169","",""
"manthanguptaa/water","manthanguptaa_water","agno","293","665","4","2026-03-24","The production-ready agent harness framework for Python","1","1","1","0","20","20","0","20","0","0","0","0","0","2292","0.87","pyan","True","0","110.9","ok","","openai, anthropic, agno, crewai, langchain, langchain_openai","0","","0","","","","","","","","",""
"GetBindu/Bindu","GetBindu_Bindu","agno, dspy, notte, notte_sdk","7191","49316","77","2026-06-29","Bindu: The identity, communication, and payments layer for AI agents.","1","1","1","0","34","35","1","34","5","0","0","0","0","2146","1.58","pyan","True","0","108.3","ok","","agno, langchain_openai, autogen, langchain_core, langgraph, dspy, agents","0","","0","","","","","","","","",""
"ValueCell-ai/valuecell","ValueCell-ai_valuecell","agno","10877","22133","17","2026-03-09","ValueCell is a community-driven, multi-agent platform for financial applications.","1","1","1","0","12","12","0","12","373","126","0","126","0","1533","0.78","pyan","True","0","129.4","ok","","agno","0","","0","","","","","","","","",""
"mongodb/motor","mongodb_motor","agno","2530","3976","62","2026-06-29","Motor - the async Python driver for MongoDB and Tornado or asyncio","1","1","1","0","0","0","0","0","0","0","0","0","0","880","0.0","pyan","True","0","114.1","absent","","","1","imported_by=22 as `motor` (e.g. AgentToolkit/agent-mentor, Azure-Samples/autoauth-solution-accelerator, BG8CFB/TradingAgents-CN)","1","framework_never_imported","","76","0","37","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"justinlietz93/Cogito","justinlietz93_Cogito","agno","16","6190","2","2025-11-23","Cogito: Computational framework employing a Syncretic Catalyst (synthesis) & rigorous Critique System (analysis) autonomously. Deeply accelerates your expert research on scientific literature via LLMs","1","1","1","0","4","4","0","3","587","387","0","387","0","1603","0.19","pyan","True","0","121.6","ok","","agno, anthropic, openai","0","","0","","","","","","","","",""
"Rimuwu/DinoGochi","Rimuwu_DinoGochi","agno","47","284270","6","2026-06-29","Игровой тамагочи бот для Telegram!","1","1","1","0","4","4","0","4","7","0","0","0","0","2282","0.18","pyan_resilient","True","2","121.8","ok","","openai","0","","0","","","","","","","","0","real LLM app, but imports only openai — outside the top-20, not measured; not an agentic application (EXCLUSIONS §17b): matched `agno` but every direct invoker came from raw provider SDK patterns only (openai 4); imports no agentic framework"
"MemoriLabs/Memori","MemoriLabs_Memori","agno","15495","30119","43","2026-06-15","Memori is agent-native memory infrastructure. A LLM-agnostic layer that turns agent execution and conversation into structured, persistent state for production systems.","1","1","1","0","278","278","0","236","0","222","222","0","0","2199","10.73","pyan","True","0","112.8","ok","","openai, agno, langchain_core, anthropic, langchain_google_genai, langchain_aws, langchain_openai, litellm, langchain_community, langchain_google_vertexai","1","imported_by=5 as `memori` (e.g. Arindam200/awesome-ai-apps, agno-agi_agno, modbender/skill-library-mcp)","0","","","","","","","","",""
"sunnypilot/sunnypilot","sunnypilot_sunnypilot","agno","1997","4027249","745","2026-06-29","sunnypilot is an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 350 supported car makes and models with modified behaviors of driving assist enga","1","1","1","0","0","0","0","0","0","0","0","0","0","5437","0.0","none","False","0","0.0","absent","","","0","ambiguous_name=openpilot","1","framework_never_imported","","769","6","101","0","0","",""
"NuGuardAI/nuguard","NuGuardAI_nuguard","agno, crewai, langgraph","10","106366","12","2026-06-26","opensource repo for NuGuard","1","1","1","0","18","18","0","17","226","162","0","162","0","6726","0.25","pyan","True","0","129.6","ok","","langchain_core, langchain_openai, vertexai, litellm, langgraph, agents, langchain_anthropic, crewai, openai, langchain, langchain_community, autogen","0","","0","","","","","","","","",""
"bibinprathap/VeritasGraph","bibinprathap_VeritasGraph","agno","293","63471","3","2026-06-29","VeritasGraph — open-source Knowledge Graph & GraphRAG framework on GitHub. Build multi-hop reasoning, ontology-aware retrieval, and verifiable attribution over your own data. Nodes, edges, RDF, linked","1","1","1","0","15","15","0","14","5812","2646","0","2646","0","8609","0.16","pyan_resilient","True","17","116.1","ok","","openai, agno, graphrag, ollama, litellm, groq, anthropic","0","","0","","","","","","","","",""
"conveyordata/data-product-portal","conveyordata_data-product-portal","agno","201","32084","22","2026-06-29","Data Product Portal created by Dataminded","1","1","1","0","0","0","0","0","0","0","0","0","0","5152","0.0","pyan","True","0","104.3","absent","","agno","0","","1","imports_fw_no_call_site","agno","1028","0","75","0","0","",""
"BluePilotDev/bluepilot","BluePilotDev_bluepilot","agno","124","1866231","753","2026-06-27","","1","1","1","0","0","0","0","0","0","0","0","0","0","8353","0.0","none","False","0","0.0","absent","","","0","ambiguous_name=openpilot","1","framework_never_imported","","1283","6","165","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"AdventurePilotDev/AdventurePilot","AdventurePilotDev_AdventurePilot","agno","13","378969","749","2026-06-29","","1","1","1","0","0","0","0","0","0","0","0","0","0","7377","0.0","none","False","0","0.0","absent","","","0","ambiguous_name=openpilot","1","framework_never_imported","","1091","6","158","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"dhruv-ahuja/backend_burger","dhruv-ahuja_backend_burger","agno","10","283","2","2025-08-17","Demo application to learn and solidify my knowledge of backend and infra; now extending to be a practical project","1","1","1","0","0","0","0","0","0","0","0","0","0","153","0.0","pyan","True","0","119.6","absent","","","0","","1","framework_never_imported","","52","0","4","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"braintrustdata/braintrust-sdk-python","braintrustdata_braintrust-sdk-python","agno, crewai, dspy, langchain_openai, pydantic_ai","14","54557","67","2026-06-29","Python Tracing & Evals library for Braintrust","1","1","1","0","176","176","0","153","0","135","135","0","0","4887","3.13","none","False","0","0.0","ok","","openai, langchain_core, anthropic, litellm, pydantic_ai, agno, dspy, crewai, langchain_openai, agents, autogen_agentchat, cohere, langchain_anthropic, mistralai, autogen_ext, livekit, autogen_core, langgraph, langchain","0","","0","","","","","","","","",""
"accelero-cloud/appkernel","accelero-cloud_appkernel","agno","163","767","5","2026-04-12","API development made easy: a smart Python 3 API framework","1","1","1","0","0","0","0","0","0","0","0","0","0","1159","0.0","pyan_resilient","True","2","101.1","absent","","","0","","1","framework_never_imported","","52","0","27","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"alibaba/loongsuite-python","alibaba_loongsuite-python","agno, crewai","110","34173","440","2026-06-29","","1","1","1","0","156","165","9","147","25","136","124","12","0","12028","1.22","pyan_resilient","True","2","107.7","ok","","langchain_core, openai, litellm, dashscope, agents, langchain_openai, anthropic, vertexai, crewai, langchain, langgraph, agno, agent_framework, mem0, langchain_google_genai, langchain_aws, langchain_community","0","","0","","","","","","","","",""
"semantica-agi/semantica","semantica-agi_semantica","agno","1334","40254","19","2026-06-29","Semantica 🧠 • Build AI systems that can explain, trace, and justify every decision. Knowledge graphs, context graphs, reasoning engines, provenance, and governance for production AI.","1","1","1","0","13","13","0","12","7317","3578","0","3578","0","9971","0.12","pyan_resilient","True","7","115.1","ok","","agno, openai, litellm, ollama, groq, anthropic","0","","0","","","","","","","","0","framework, not an application: graph infrastructure for AI systems (EXCLUSIONS §12)"
"adafruit/Adafruit_Blinka","adafruit_Adafruit_Blinka","agno","534","2777","165","2026-06-24","Add CircuitPython hardware API and libraries to MicroPython & CPython devices","1","1","1","0","0","0","0","0","0","0","0","0","0","857","0.0","pyan","True","0","111.7","absent","","","0","","1","framework_never_imported","","446","0","5","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"chattermate/chattermate.chat","chattermate_chattermate.chat","agno","68","10184","2","2026-06-29","A new age AI chat agent , build from scratch to work seamless with the LLM","1","1","1","0","11","11","0","11","243","166","0","166","0","5279","0.21","pyan","True","0","112.5","ok","","agno, agents","0","","0","","","","","","","","",""
"hasanmehediii/CSE-2216-Project","hasanmehediii_CSE-2216-Project","agno","13","36375","4","2026-02-11","LangMastero, A Simple designed language learning app for beginners. If you want to learn basics of a language like Spanish or Chinese, can try this app. Also can test your progress with exams","1","1","1","0","0","0","0","0","0","0","0","0","0","32","0.0","pyan","True","0","131.2","absent","","","0","","1","framework_never_imported","","17","0","0","0","0","0","HELD 2026-08-27 (EXCLUSIONS §16): Queue B, needs file-level review before a decision; token collision (EXCLUSIONS §17): matched `agno` (agnostic); student language-learning app, no LLM code"
"uriyyo/fastapi-pagination","uriyyo_fastapi-pagination","agno","1670","10932","61","2026-06-29","FastAPI pagination 📖 ","1","1","1","0","0","0","0","0","0","0","0","0","0","563","0.0","pyan","True","0","141.0","absent","","","1","imported_by=4 as `fastapi_pagination` (e.g. THUIR/MemoryBench, koldakov/futuramaapi, langflow-ai/langflow)","1","framework_never_imported","","95","0","27","0","0","0","token collision (EXCLUSIONS §16): matched `agno`, which tokenizes onto `agnostic`; clone imports no tracked framework, 0 LLM calls"
"soliplex/soliplex","soliplex_soliplex","pydantic_ai","15","26510","13","2026-06-29","An AI-powered Retrieval-Augmented Generation (RAG) system with a modern web interface.","1","1","1","0","27","27","0","23","7","19","16","3","0","2641","0.87","pyan","True","0","93.2","ok","","pydantic_ai","0","","0","","","","","","","","",""
"ggozad/haiku.rag","ggozad_haiku.rag","pydantic_ai","541","76306","8","2026-06-29","Opinionated agentic RAG powered by LanceDB, Pydantic AI, and Docling","1","1","1","0","18","18","0","17","402","357","7","350","0","3079","0.55","pyan_resilient","True","1","122.5","ok","","pydantic_ai, cohere, anthropic","0","","0","","","","","","","","",""
"TencentBlueKing/bk-aidev-agent","TencentBlueKing_bk-aidev-agent","langgraph","22","16389","30","2026-06-29","","1","1","1","0","152","153","1","125","437","425","102","323","0","4483","2.79","pyan","True","0","116.6","ok","","langchain_core, langgraph, openai, langchain_openai, langchain","0","","0","","","","","","","","",""
"Serverless-Devs/agentrun-sdk-python","Serverless-Devs_agentrun-sdk-python","langchain_deepseek, langchain_openai","28","2292","14","2026-06-26","Python SDK for AgentRun: Build and deploy AI Agents with Serverless runtime, sandbox execution, and enterprise-grade observability","1","1","1","0","47","47","0","41","16","20","13","7","0","6724","0.61","pyan","True","0","118.5","ok","","langchain_core, langchain, litellm, langchain_openai, langgraph, crewai, openai, langchain_deepseek, pydantic_ai","0","","0","","","","","","","","",""
"Wh1isper/ya-mono","Wh1isper_ya-mono","pydantic_ai","16","6237","2","2026-06-29","Yet Another Agent SDK, CLI, Claw, Agent Platform","1","1","1","0","75","75","0","74","1791","742","64","678","0","7751","0.95","pyan_resilient","True","1","117.3","ok","","pydantic_ai, openai, anthropic","0","","0","","","","","","","","",""
"agentscope-ai/agentscope","agentscope-ai_agentscope","mem0","27300","61415","72","2026-06-29","Build and run agents you can see, understand and trust.","1","1","1","0","8","8","0","8","4","1","0","1","0","4993","0.16","pyan","True","0","124.7","ok","","openai, dashscope, mem0, ollama, anthropic","1","imported_by=8 as `agentscope` (e.g. Serverless-Devs/agentrun-sdk-python, af-74413592/DeepWerewolf, agentbay-ai/wuying-agentbay-sdk)","0","","","","","","","","",""
"gizmax/Sandcastle","gizmax_Sandcastle","mem0","78","46028","3","2026-06-15","Describe what you want. Go home. Sandcastle ships it. 6 AI providers, EU data residency, smart failover, cost intelligence, 20 step types, 236 templates. European-built, open source. pip install sandc","1","1","1","0","2","5","3","2","954","872","0","872","0","17247","0.01","pyan_resilient","True","1","102.9","ok","","anthropic, mem0","0","","0","","","","","","","","",""
"YasodGinige/AutoPentester","YasodGinige_AutoPentester","pentestgpt","71","92403","26","2026-04-07","This repository contains a tool that can be used for automated pentesting tasks.","0","0","1","0","2","2","0","2","0","0","0","0","0","175","1.14","pyan","True","0","94.9","ok","","openai, langchain, langchain_openai, langchain_community, langchain_core, anthropic","0","upstream_name?=pentestgpt","0","","","","","","","","",""
"hepai-lab/hepai","hepai-lab_hepai","autogen_agentchat, autogen_ext","11","9199","6","2025-09-08","This is High energy AI Framework (HAI) for models, datasets and applications","1","1","1","0","40","40","0","35","5","19","18","1","0","3297","1.06","pyan_resilient","True","1","136.5","ok","","openai, anthropic, autogen_agentchat, autogen_core, autogen_ext","0","","0","","","","","","","","",""
"mpfaffenberger/code_puppy","mpfaffenberger_code_puppy","pydantic_ai","626","11967","63","2026-06-29","Agentic AI for writing code","1","1","1","0","14","14","0","13","7577","4779","3","4776","0","11496","0.11","pyan_resilient","True","3","106.1","ok","","pydantic_ai, anthropic, openai","0","","0","","","","","","","","","reviewed 2026-08-25: AI code-agent CLI APPLICATION — KEEP (EXCLUSIONS §12)"
"EDEAI/NexusAI","EDEAI_NexusAI","langchain_classic, langchain_huggingface, langchain_mistralai, langchain_text_splitters","190","105844","17","2025-12-30","","1","1","1","0","15","15","0","12","21","0","0","0","0","3811","0.31","pyan_resilient","True","1","154.5","ok","","openai, langchain_core, langchain_community, zhipuai, agents, langchain_openai, anthropic, langchain_huggingface, langchain_groq, langchain_nvidia_ai_endpoints, langchain_aws, langchain_anthropic, langchain_google_genai, langchain_mistralai, langchain_cohere, dashscope, mistralai","0","","0","","","","","","","","",""
"Cisco-Talos/PEAK-Assistant","Cisco-Talos_PEAK-Assistant","autogen_agentchat, autogen_core, autogen_ext","54","2878","4","2026-06-01","An AI-backed threat hunting assistant that aligns to the PEAK framework.","1","1","1","0","24","24","0","14","88","6","6","0","0","524","2.67","pyan","True","0","102.9","ok","","autogen_agentchat, autogen_core, autogen_ext, anthropic, openai","0","","0","","","","","","","","",""
"mutx-dev/mutx-dev","mutx-dev_mutx-dev","dspy","19","122871","10","2026-06-17","Developer tools, CLI, SDK, and documentation for MUTX & PicoMUTX","1","1","1","0","38","42","4","27","149","40","5","35","0","6774","0.4","pyan_resilient","True","7","110.1","ok","","langchain_core, openai, langchain_openai, langchain, autogen, crewai, langchain_ollama, anthropic, langchain_anthropic, langchain_huggingface, dspy","0","","0","","","","","","","","",""
"ccbogel/QualCoder","ccbogel_QualCoder","langchain_text_splitters","639","170393","44","2026-06-28","Qualitative data analysis for text, images, audio, video. Cross platform. Python 3.12 or newer and PyQt6.","0","0","1","0","2","2","0","2","8","0","0","0","0","3470","0.06","pyan_resilient","True","4","97.4","ok","","langchain_core, langchain_community, langchain_openai, openai","0","","0","","","","","","","","",""
"maseval/MASEval","maseval_MASEval","langgraph, smolagents","36","4560","4","2026-05-31","Multi-Agent LLM Evaluation Docs: https://maseval.readthedocs.io/","1","1","1","0","57","58","1","46","18","45","32","13","0","4156","1.11","pyan","True","0","116.4","ok","","smolagents, langchain_core, langgraph, openai, litellm, anthropic, langchain_google_genai, camel, langchain_openai","0","","0","","","","","","","","",""
"wandb/weave","wandb_weave","autogen_ext, dspy, smolagents","1105","1630102","118","2026-06-29","Weave is a toolkit for developing AI-powered applications, built by Weights & Biases.","1","1","1","0","111","111","0","102","7899","3758","93","3665","0","9979","1.02","pyan_resilient","True","4","143.7","ok","","openai, litellm, agents, langchain_core, dspy, anthropic, autogen_ext, cohere, crewai, groq, mistralai, vertexai, autogen_core, autogen_agentchat, langchain_google_genai, langchain_google_vertexai, langchain_cohere, langchain_community, langchain_anthropic, langchain_openai, langchain, langchain_nvidia_ai_endpoints, smolagents","1","imported_by=14 as `weave` (e.g. BioGeMT/agentomics-ml, HeKun-NVIDIA/hackathon_aiqtoolkit, MervinPraison/PraisonAI-Tools)","0","","","","","","","","0","framework, not an application: observability toolkit (agentops precedent, EXCLUSIONS §2), imported by 14 corpus repos (EXCLUSIONS §12)"
"mycustomai/ACES","mycustomai_ACES","langchain_anthropic","22","2001","4","2026-02-14","A sandbox environment for studying how AI agents shop online, featuring controllable e-commerce experiments with vision-language models","1","1","1","0","6","6","0","4","25","3","0","3","0","711","0.56","pyan","True","0","113.6","ok","","langchain_core, anthropic, openai, langchain_google_genai, langchain_anthropic, langchain_openai, langchain_aws, langchain_huggingface, langchain","0","","0","","","","","","","","",""
"open-jarvis/OpenJarvis","open-jarvis_OpenJarvis","dspy","7207","98284","44","2026-06-29","Personal AI, On Personal Devices","1","1","1","0","30","30","0","26","6955","4540","0","4540","0","11965","0.22","pyan","True","0","119.1","ok","","openai, anthropic, mistralai, litellm, dspy","0","","0","","","","","","","","","reviewed 2026-08-25: assistant APPLICATION (thin README, doc links only) — KEEP (EXCLUSIONS §12)"
"vertelab/odoo-ai","vertelab_odoo-ai","langchain_classic, langchain_core, langchain_deepseek, langchain_fireworks, langchain_mistralai, langchain_openai, langchain_perplexity, langchain_text_splitters, langchain_xai, langgraph, langgraph_sdk","26","97508","13","2026-06-21","AI Orchestration for Odoo","1","1","1","0","39","40","1","39","30","0","0","0","0","2238","1.74","pyan","True","0","103.7","ok","","langchain_core, langchain_community, langchain, langgraph, langchain_openai, langchain_anthropic, langchain_mistralai, openai, anthropic, langchain_ollama, mistralai","0","","0","","","","","","","","",""
"microsoft/semanticworkbench","microsoft_semanticworkbench","semantic_kernel","402","35535","10","2026-04-01","A versatile tool designed to help prototype intelligent assistants, agents and multi-agentic systems ","1","1","1","0","42","42","0","36","430","72","2","70","0","2999","1.2","pyan_resilient","True","1","140.2","ok","","openai, semantic_kernel, anthropic, smolagents, pydantic_ai","0","","0","","","","","","","","",""
"wenhaochai/aurora","wenhaochai_aurora","dspy, lagent","145","26558","6","2025-06-04","[ICLR 2025] AuroraCap: Efficient, Performant Video Detailed Captioning and a New Benchmark","1","1","1","0","30","30","0","27","1250","47","7","40","0","6896","0.39","pyan_resilient","True","4","110.0","ok","","openai, anthropic, lagent, dashscope, dspy, litellm, vertexai","0","","0","","","","","","","","",""
"gptme/gptme","gptme_gptme","dspy","4344","64350","37","2026-06-29","Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web. Make your own persistent autonomous agent on top!","1","1","1","0","9","9","0","8","9788","7073","0","7073","0","14941","0.05","pyan_resilient","True","4","110.9","ok","","anthropic, openai, dspy","0","imported_by=1 as `gptme` (e.g. gptme/gptme-contrib)","0","","","","","","","","","reviewed 2026-08-25: terminal AI assistant APPLICATION — KEEP (EXCLUSIONS §12)"
"iii-org/akasha","iii-org_akasha","langchain_text_splitters","30","7303","11","2026-03-31","","0","0","1","0","38","39","1","34","229","55","3","52","0","735","4.63","pyan_resilient","True","1","111.7","ok","","langchain_core, langchain_community, langchain, langchain_openai, langchain_huggingface, anthropic, openai, langchain_anthropic, langchain_google_genai, langchain_ollama, langgraph, langchain_experimental","0","","0","","","","","","","","",""
"PostHog/posthog","PostHog_posthog","langchain_core","35226","5418130","524","2026-06-29","🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data","1","1","1","0","371","372","1","347","0","237","237","0","0","161716","0.21","none","False","1","0.0","failed","OutOfMemoryError","langchain_core, openai, langgraph, anthropic, litellm, langchain_openai, langchain_anthropic, langchain, langchain_community","0","ambiguous_name=posthog","0","","","","","","","","",""
"FreedomIntelligence/OpenClaw-Medical-Skills","FreedomIntelligence_OpenClaw-Medical-Skills","langchain_openai","2779","77630","9","2026-06-18","The largest open-source medical AI skills library for OpenClaw🦞.","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","","not_processed","","langchain_core, langchain_openai, langgraph, langchain_anthropic, openai, langchain_community, agents, anthropic, langchain, litellm, pydantic_ai, langchain_aws, langchain_ollama","0","","1","clone_failed","langchain_openai","1150","50","127","16","6","",""
"ggozad/oterm","ggozad_oterm","pydantic_ai","2403","36518","26","2026-06-08","the terminal client for LLMs","1","1","1","0","2","2","0","2","0","2","2","0","0","798","0.25","pyan","True","0","126.4","ok","","pydantic_ai, ollama, openai, mistralai, anthropic, cohere","0","","0","","","","","","","","",""
"hsliuping/TradingAgents-CN","hsliuping_TradingAgents-CN","tradingagents","29346","76512","19","2026-04-20","基于多智能体LLM的中文金融交易框架 - TradingAgents中文增强版","0","0","1","0","82","87","5","66","1188","305","28","277","0","5073","1.3","pyan_resilient","True","2","102.4","ok","","langchain_core, langchain_openai, langchain_google_genai, langchain, langgraph, openai, dashscope, langchain_anthropic, langchain_community","0","ambiguous_name=tradingagents","0","","","","","","","","",""
"mozilla-ai/agent-factory","mozilla-ai_agent-factory","any_agent","93","5666","15","2025-10-20","Generate agents by simply describing your task in natural language","1","0","1","0","0","0","0","0","0","0","0","0","0","214","0.0","pyan","True","0","84.6","absent","","any_agent, litellm, openai","0","","1","imports_fw_no_call_site","any_agent","73","1","16","0","0","uncovered","real LLM app, but imports only any_agent, litellm, openai — outside the top-20, not measured"
