"rank","score","band","full_name","github_url","imported_by","imported_as","importer_examples","declares_package","stage1_framework","owner_matches","desc_keyword","stars","contributors","total_functions","llm_calls","invokers_direct","nd_tests","nd_tests_direct","frameworks_imported","in_scope","framework_suspect","pypi","description","score_breakdown"
"160","2","weak","dustland/vibex-py","https://github.com/dustland/vibex-py","0","","","vibex","0","","framework","20","2","1454","5","5","0","0","litellm, mem0","","0","","A opnionated Multi-agent Framework.","declares_own_package:+1; desc:framework:+1"
"161","2","weak","dylibso/mcpx-py","https://github.com/dylibso/mcpx-py","0","","","mcpx_py","0","","client library","25","2","27","0","0","0","0","pydantic_ai","","0","","Python client library for https://mcp.run - call portable & secure tools for your AI Agents and Apps","declares_own_package:+1; desc:client library:+1"
"162","2","weak","endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py","1","ipfs_datasets_py","endomorphosis/ipfs_kit_py","ipfs_datasets_py","0","","","22","10","166526","1","1","0","0","openai, anthropic, haystack, semantic_kernel","","0","","a decentralized dataset generator and manipulator.","imported_by==1:+1; declares_own_package:+1"
"163","2","weak","endomorphosis/ipfs_kit_py","https://github.com/endomorphosis/ipfs_kit_py","1","ipfs_kit_py","endomorphosis/ipfs_datasets_py","ipfs_kit_py","0","","","19","10","47184","5","3","0","0","langchain","","0","","A decentralized virtual filesystem with low latency caching.","imported_by==1:+1; declares_own_package:+1"
"164","2","weak","fedora-copr/logdetective","https://github.com/fedora-copr/logdetective","0","","","logdetective","0","","template","39","13","471","0","0","0","0","beeai_framework, litellm, openai","uncovered","0","","Analyze logs using Language Model (LLM) and Drain template miner.","declares_own_package:+1; desc:template:+1"
"165","2","weak","frostming/marko","https://github.com/frostming/marko","1","marko","cel-ai/celai","marko","0","","","460","30","438","0","0","0","0","","","0","","A markdown parser with high extensibility.","imported_by==1:+1; declares_own_package:+1"
"166","2","weak","getpatchwork/patchwork","https://github.com/getpatchwork/patchwork","0","","","","0","patchwork","","313","92","1235","0","0","0","0","patchwork","uncovered","1","","Patchwork is a web-based patch tracking system designed to facilitate the contribution and management of contributions to an open-source project.","owner_matches:+2"
"167","2","weak","getsentry/sentry","https://github.com/getsentry/sentry","1","sentry","temporalio/samples-python","sentry","0","","","44190","1060","63999","0","0","0","0","honcho","uncovered","0","","Developer-first error tracking and performance monitoring","imported_by==1:+1; declares_own_package:+1"
"168","2","weak","huggingface/screenenv","https://github.com/huggingface/screenenv","0","","","screenenv","0","","library","452","5","104","0","0","0","0","smolagents","","0","","A powerful Python library for creating and managing isolated desktop environments using Docker containers.","declares_own_package:+1; desc:library:+1"
"169","2","weak","langchain-ai/langchain-meta","https://github.com/langchain-ai/langchain-meta","0","","","","0","langchain_tests","","10","5","123","0","0","0","0","langchain_core, langchain_openai, openai","","1","","Build LangChain applications with Meta","owner_matches:+2"
"170","2","weak","lupantech/AgentFlow","https://github.com/lupantech/AgentFlow","1","agentflow","10xHub/Agentflow","agentflow","0","","","1940","4","442","26","11","0","0","openai, agentops, litellm, anthropic, dashscope, ollama, together, autogen_ext","","0","","AgentFlow: In-the-Flow Agentic System Optimization","imported_by==1:+1; declares_own_package:+1"
"171","2","weak","lxfight-s-Astrbot-Plugins/astrbot_plugin_livingmemory","https://github.com/lxfight-s-Astrbot-Plugins/astrbot_plugin_livingmemory","0","","","","0","astrbot","","272","21","1566","1","1","0","0","astrbot","","1","","一个拥有动态生命周期的智能长期记忆插件。","owner_matches:+2"
"172","2","weak","niceberginc/agentipy","https://github.com/niceberginc/agentipy","0","","","agentipy","0","","framework","250","8","975","2","2","0","0","langchain, openai, langgraph, langchain_openai, langchain_community, langchain_core","","0","","The #Python framework for connecting AI agents to any onchain app on  @solana-labs  🤖🐍","declares_own_package:+1; desc:framework:+1"
"173","2","weak","pettingllms-ai/PettingLLMs","https://github.com/pettingllms-ai/PettingLLMs","0","","","pettingllms","0","","framework","196","6","2831","14","13","0","0","openai, autogen_ext, autogen_agentchat, autogen, vertexai, anthropic, langchain_openai, autogen_core, langchain_core","","0","","[ICLR'26] Stronger-MAS: A RL Framework for multi LLM agent system; [arxiv] MetaAgent-X:  End-to-End Reinforcement Learning Automatic Multi-Agent Systems","declares_own_package:+1; desc:framework:+1"
"174","2","weak","rai-opensource/spot_wrapper","https://github.com/rai-opensource/spot_wrapper","0","","","spot_wrapper","0","","wrapper","26","62","469","0","0","0","0","","0","0","","Wrapper for Boston Dynamics Spot SDK","declares_own_package:+1; desc:wrapper:+1"
"175","2","weak","rasbt/mlxtend","https://github.com/rasbt/mlxtend","0","","","mlxtend","0","","library","5152","121","1189","0","0","0","0","","","0","","A library of extension and helper modules for Python's data analysis and machine learning libraries.","declares_own_package:+1; desc:library:+1"
"176","2","weak","responsibleai/ASSERT","https://github.com/responsibleai/ASSERT","1","assert_ai","Azure/agentops","assert_ai","0","","","174","17","3421","39","29","0","0","litellm, langchain_core, langgraph, openai, langchain_openai, phoenix, anthropic, autogen_agentchat, autogen_ext, crewai, dspy, groq, haystack, mistralai, agents, pydantic_ai, smolagents","","0","","Requirement-driven evaluation harness for AI agents and LLM applications. Generate behavior-specific test cases, run them against any target (hosted models, callable wrappers, OTel-traced agents), and","imported_by==1:+1; declares_own_package:+1"
"177","2","weak","rysweet/amplihack","https://github.com/rysweet/amplihack","0","","","amplihack","0","","framework","67","26","0","0","0","0","0","anthropic, agent_framework","","0","","Framework for agentic coding supporting many popular agent coding tools.","declares_own_package:+1; desc:framework:+1"
"178","2","weak","sunholo-data/sunholo-py","https://github.com/sunholo-data/sunholo-py","0","","","sunholo","0","","library","17","4","1273","2","2","0","0","vertexai, langchain, langchain_community, langchain_google_genai, litellm, agents, langchain_core, langchain_experimental, langchain_openai, langchain_anthropic, langchain_google_vertexai, ollama","","0","","A python library to enable GenAI and LLMOps within Google Cloud Platform","declares_own_package:+1; desc:library:+1"
"179","2","weak","swarm-subnet/swarm","https://github.com/swarm-subnet/swarm","0","","","","0","swarm","","19","6","2486","0","0","0","0","swarm","","1","","Swarm — Autonomous Drone Navigation","owner_matches:+2"
"180","2","weak","vertex-protocol/vertex-python-sdk","https://github.com/vertex-protocol/vertex-python-sdk","0","","","vertex_protocol","0","","sdk","22","6","359","0","0","0","0","","0","0","","Vertex Python SDK","declares_own_package:+1; desc:sdk:+1"
"181","2","weak","vipshop/cache-dit","https://github.com/vipshop/cache-dit","1","cache_dit","sands-lab/FOCUS","cache_dit","0","","","1215","15","2350","0","0","0","0","","","0","","A PyTorch-native inference engine with cache, parallelism, quantization and cpu offload for DiTs.","imported_by==1:+1; declares_own_package:+1"
"182","2","weak","wi2trier/cbrkit","https://github.com/wi2trier/cbrkit","0","","","cbrkit","0","","toolkit","25","9","807","0","0","0","0","pydantic_ai, openai, cohere, ollama, anthropic, agents","","0","","Customizable Case-Based Reasoning (CBR) toolkit for Python with a built-in API and CLI","declares_own_package:+1; desc:toolkit:+1"
"183","1","weak","NorthlandPositronics/Cogtrix","https://github.com/NorthlandPositronics/Cogtrix","0","","","cogtrix","0","","","21","4","15775","113","112","6532","93","langchain_core, langgraph, langchain_community, langchain_openai, langchain_ollama, langchain_anthropic, langchain_google_genai","","0","","About Modular AI assistant — 60 built-in tools, multi-provider LLM support (Ollama, OpenAI, Anthropic, Gemini), hybrid memory, WhatsApp/Telegram daemon mode","declares_own_package:+1"
"184","1","weak","mpfaffenberger/code_puppy","https://github.com/mpfaffenberger/code_puppy","0","","","code_puppy","0","","","626","63","11496","14","13","4779","3","pydantic_ai, anthropic, openai","","0","","Agentic AI for writing code","declares_own_package:+1"
"185","1","weak","TheodoreGalanos/aec-bench","https://github.com/TheodoreGalanos/aec-bench","0","","","aec_bench","0","","","31","2","18584","6","5","4577","0","pydantic_ai, agents","","0","","","declares_own_package:+1"
"186","1","weak","open-jarvis/OpenJarvis","https://github.com/open-jarvis/OpenJarvis","0","","","openjarvis","0","","","7207","44","11965","30","26","4540","0","openai, anthropic, mistralai, litellm, dspy","","0","","Personal AI, On Personal Devices","declares_own_package:+1"
"187","1","weak","jwwelbor/AgentMap","https://github.com/jwwelbor/AgentMap","0","","","agentmap","0","","","11","4","9472","16","15","4408","7","langgraph, langchain_core, langchain, langchain_community, openai, langchain_openai, anthropic, langchain_google_genai, langchain_anthropic","","0","","AgentMap: Build and deploy LangGraph workflows from CSV files. Create complex LLM agent graphs without coding, convert simple spreadsheets into powerful AI agents, and orchestrate multi-agent systems","declares_own_package:+1"
"188","1","weak","massgen/MassGen","https://github.com/massgen/MassGen","0","","","massgen","0","","","1070","33","14121","38","31","3961","0","openai, anthropic, litellm, mem0, autogen, dspy, langgraph, langchain_openai, langchain_core, smolagents","","0","","🚀 MassGen is an open-source multi-agent scaling system that runs in your terminal, autonomously orchestrating frontier models and agents to collaborate, reason, and produce high-quality results. | Joi","declares_own_package:+1"
"189","1","weak","fabceolin/the_edge_agent","https://github.com/fabceolin/the_edge_agent","0","","","","0","","framework","27","4","9056","24","14","3596","3","openai, opik, dspy, langchain, crewai, litellm, anthropic, mem0, langchain_community","","0","","Neurosymbolic AI agent framework - LLM + Prolog reasoning for small models. Single binary, runs offline or cloud-ready. Python & Rust.","desc:framework:+1"
"190","1","weak","semantica-agi/semantica","https://github.com/semantica-agi/semantica","0","","","semantica","0","","","1334","19","9971","13","12","3578","0","agno, openai, litellm, ollama, groq, anthropic","","0","","Semantica 🧠 • Build AI systems that can explain, trace, and justify every decision. Knowledge graphs, context graphs, reasoning engines, provenance, and governance for production AI.","declares_own_package:+1"
"191","1","weak","vladkesler/initrunner","https://github.com/vladkesler/initrunner","0","","","initrunner","0","","","39","2","8172","34","31","3358","3","pydantic_ai, langchain, openai, langchain_openai, langchain_community, langchain_anthropic, langgraph","","0","","Define AI agent roles in YAML and run them anywhere: CLI, API server, or autonomous daemon","declares_own_package:+1"
"192","1","weak","msu-denver/bili-core","https://github.com/msu-denver/bili-core","0","","","","0","","framework","14","8","5519","274","246","3303","215","langchain_core, langgraph, langchain, langchain_community, langchain_aws, langchain_anthropic, langchain_openai, langchain_google_vertexai, langchain_huggingface, langchain_cohere, langchain_deepseek, openai, langchain_google_genai, langchain_groq, langchain_mistralai, langchain_ollama, langchain_xai","","0","","Open-source framework for building and testing LLM-powered applications: IRIS (single-agent orchestration), AETHER (declarative multi-agent systems), and AEGIS (adversarial security testing). Develope","desc:framework:+1"
"193","1","weak","pipecat-ai/pipecat","https://github.com/pipecat-ai/pipecat","0","","","","0","","framework","13092","288","10537","12","9","2968","0","openai, livekit, langchain_core, anthropic, mistralai, langchain_openai, langchain_community, groq, mem0","","0","","Open Source framework for voice and multimodal conversational AI","desc:framework:+1"
"194","1","weak","SuperagenticAI/superqode","https://github.com/SuperagenticAI/superqode","0","","","superqode","0","","","21","2","13514","11","10","2768","0","agents, litellm, pydantic_ai, mem0","","0","","Agent-Native Coding harness for agentic quality engineering","declares_own_package:+1"
"195","1","weak","marieai/marie-ai","https://github.com/marieai/marie-ai","0","","","","0","","framework","93","12","18280","21","21","2585","0","openai, langchain, haystack, autogen, mem0, semantic_kernel, langchain_community, langchain_anthropic, agents","","0","","Complex data extraction and orchestration framework designed for processing unstructured documents. It integrates AI-powered document pipelines (GenAI, LLM, VLLM) into your applications, supporting va","desc:framework:+1"
"196","1","weak","yusufkaraaslan/Skill_Seekers","https://github.com/yusufkaraaslan/Skill_Seekers","0","","","skill_seekers","0","","","14314","43","7081","5","4","2268","0","openai, langchain, anthropic, haystack, langchain_openai, langchain_core","","0","","Convert documentation websites, GitHub repositories, and PDFs into Claude AI skills with automatic conflict detection","declares_own_package:+1"
"197","1","weak","chaosblade-io/chaosblade","https://github.com/chaosblade-io/chaosblade","0","","","","0","","toolkit","6358","53","6017","62","37","2267","7","langchain_core, langgraph, openai, langchain_openai","","0","","An easy to use and powerful chaos engineering experiment toolkit.（阿里巴巴开源的一款简单易用、功能强大的混沌实验注入工具）","desc:toolkit:+1"
"198","1","weak","notadev-iamaura/OneRAG","https://github.com/notadev-iamaura/OneRAG","0","","","","0","","framework","122","4","6935","10","10","2188","0","langchain_core, openai, langchain, anthropic, langchain_community, langchain_experimental, ragas, langchain_google_genai","","0","","Production-ready RAG Framework (Python/FastAPI). 1-line config swaps: 6 Vector DBs (Weaviate, Pinecone, Qdrant, ChromaDB, pgvector, MongoDB), 5 LLMs (Gemini, OpenAI, Claude, Ollama, OpenRouter). OpenA","desc:framework:+1"
"199","1","weak","redis-applied-ai/redis-sre-agent","https://github.com/redis-applied-ai/redis-sre-agent","0","","","redis_sre_agent","0","","","10","6","8295","79","59","1964","42","langchain_core, langgraph, openai, langchain_openai, langchain_anthropic","","0","","LangGraph-based Redis SRE Agent for infrastructure monitoring and incident response","declares_own_package:+1"
"200","1","weak","oracle/accelerated-data-science","https://github.com/oracle/accelerated-data-science","0","","","","0","","sdk","126","50","8171","10","8","1943","4","langchain, langchain_core, autogen, openai, langchain_community, langchain_openai","","0","","ADS is the Oracle Data Science Cloud Service's python SDK supporting, model ops (train/eval/deploy), along with running workloads on Jobs and Pipeline resources.","desc:sdk:+1"
"201","1","weak","EvoScientist/EvoScientist","https://github.com/EvoScientist/EvoScientist","0","","","evoscientist","0","","","3901","22","6412","38","31","1793","13","langchain_core, langgraph, langchain, langchain_openai, anthropic, langchain_openrouter, openai, langchain_nvidia_ai_endpoints, langchain_deepseek, langchain_anthropic","","0","","🔬 Harness Vibe Research with Self-evolving AI Scientists","declares_own_package:+1"
"202","1","weak","SponsioLabs/Sponsio","https://github.com/SponsioLabs/Sponsio","0","","","sponsio","0","","","464","5","3808","12","11","1270","0","langchain_core, langgraph, openai, agents, crewai, langchain_google_genai, anthropic","","0","","Deterministic safety solutions for probabilistic AI agents","declares_own_package:+1"
"203","1","weak","hidai25/eval-view","https://github.com/hidai25/eval-view","0","","","evalview","0","","","118","15","4177","26","24","1227","0","openai, anthropic, crewai, pydantic_ai, langgraph, langchain_openai, langchain_core, cohere, mistralai, ollama","","0","","Regression testing for AI agents. Snapshot behavior,diff tool calls,catch regressions in CI. Works with LangGraph, CrewAI, OpenAI, Anthropic.","declares_own_package:+1"
"204","1","weak","szczyglis-dev/py-gpt","https://github.com/szczyglis-dev/py-gpt","0","","","pygpt_net","0","","","1836","4","12848","61","28","1204","0","agents, openai, anthropic, langchain_core, mistralai, ollama","","0","","Desktop AI Assistant powered by GPT-5, GPT-4, o1, o3, Gemini, Claude, Ollama, DeepSeek, Perplexity, Grok, Bielik, chat, vision, voice, RAG, image and video generation, agents, tools, MCP, plugins, spe","declares_own_package:+1"
"205","1","weak","Qredence/fleet-rlm","https://github.com/Qredence/fleet-rlm","0","","","fleet_rlm","0","","","48","7","4369","2","2","1175","2","dspy, litellm","","0","","DSPy's Recursive Language Model (RLM) with Daytona Sandbox for secure cloud-based code execution","declares_own_package:+1"
"206","1","weak","gizmax/Sandcastle","https://github.com/gizmax/Sandcastle","0","","","","0","","pip install","78","3","17247","2","2","872","0","anthropic, mem0","","0","","Describe what you want. Go home. Sandcastle ships it. 6 AI providers, EU data residency, smart failover, cost intelligence, 20 step types, 236 templates. European-built, open source. pip install sandc","desc:pip install:+1"
"207","1","weak","kvyb/opentulpa","https://github.com/kvyb/opentulpa","0","","","opentulpa","0","","","38","2","4914","36","32","806","27","langchain_core, langgraph, langchain, langchain_openai, langchain_openrouter, openai","","0","","Self-hosted personal AI agent and employee for workflow automation in your DMs. It writes code, runs tools, schedules jobs, saves workflows, and remembers context.","declares_own_package:+1"
"208","1","weak","multimindlab/multimind-sdk","https://github.com/multimindlab/multimind-sdk","0","","","","0","","sdk","92","6","7420","62","59","796","37","openai, anthropic, crewai, autogen_core, langchain_core, cohere, superagi, langchain, semantic_kernel","","0","","Your SDK solves all of this. One interface. Unified logic. Local + hosted models. Fine-tuning. Agent tools. Enterprise-ready. Hybrid RAG.Star 🌟 if you like it!","desc:sdk:+1"
"209","1","weak","NVIDIA-AI-Blueprints/aiq","https://github.com/NVIDIA-AI-Blueprints/aiq","0","","","aiq_agent","0","","","759","21","5009","198","169","780","147","langchain_core, langgraph, langchain, openai","","0","","The AI-Q NVIDIA Blueprint is an open reference example for building intelligent AI agents that connect to your enterprise data, reason using state-of-the-art models, and deliver trusted business insig","declares_own_package:+1"
"210","1","weak","veritasfuji-japan/veritas_os","https://github.com/veritasfuji-japan/veritas_os","0","","","veritas_os","0","","","34","4","13639","2","1","774","0","openai","uncovered","0","","VERITAS OS is an AI agent governance runtime for decision control, policy enforcement, approval workflows, audit trails, and replayable evidence before real-world actions.","declares_own_package:+1"
"211","1","weak","SarthakJariwala/sqlsaber","https://github.com/SarthakJariwala/sqlsaber","0","","","sqlsaber","0","","","15","2","2420","19","17","773","11","pydantic_ai","","0","","Agentic SQL assistant","declares_own_package:+1"
"212","1","weak","Wh1isper/ya-mono","https://github.com/Wh1isper/ya-mono","0","","","","0","","sdk","16","2","7751","75","74","742","64","pydantic_ai, openai, anthropic","","0","","Yet Another Agent SDK, CLI, Claw, Agent Platform","desc:sdk:+1"
"213","1","weak","mattv8/ragtime","https://github.com/mattv8/ragtime","0","","","ragtime","0","","","33","3","7777","33","26","685","9","langchain_core, langchain_ollama, langchain_community, langchain_openai, langchain_anthropic, anthropic, openai, langchain","","0","","","declares_own_package:+1"
"214","1","weak","blaxel-ai/sdk-python","https://github.com/blaxel-ai/sdk-python","0","","","blaxel","0","","","27","10","5214","17","17","592","6","pydantic_ai, agents, crewai, langchain_core, livekit, openai, cohere, langchain_anthropic, langchain_openai, langchain_cohere, langchain_xai, mistralai, anthropic, langgraph","","0","","","declares_own_package:+1"
"215","1","weak","epam/statgpt-backend","https://github.com/epam/statgpt-backend","0","","","statgpt","0","","","24","13","3963","36","34","523","12","langchain_core, openai, langchain_openai","","0","","StatGPT Backend","declares_own_package:+1"
"216","1","weak","phil65/agentpool","https://github.com/phil65/agentpool","0","","","agentpool","0","","","170","4","4685","121","104","456","67","pydantic_ai, openai, anthropic","","0","","A unified agent orchestration hub that lets you configure and manage multiple AI agents (native, ACP, AGUI, Claude Code) via YAML, and exposes them through standardized protocols (ACP/OpenCode Server)","declares_own_package:+1"
"217","1","weak","justinlietz93/Cogito","https://github.com/justinlietz93/Cogito","0","","","","0","","framework","16","2","1603","4","3","387","0","agno, anthropic, openai","","0","","Cogito: Computational framework employing a Syncretic Catalyst (synthesis) & rigorous Critique System (analysis) autonomously. Deeply accelerates your expert research on scientific literature via LLMs","desc:framework:+1"
"218","1","weak","NVIDIA/SkillSpector","https://github.com/NVIDIA/SkillSpector","0","","","skillspector","0","","","11415","35","2730","23","17","384","8","langchain_core, langchain_openai, langchain_anthropic, langgraph, openai, anthropic, langchain_aws","","0","","Security scanner for AI agent skills. Detect vulnerabilities, malicious patterns, and security risks.","declares_own_package:+1"
"219","1","weak","MervinPraison/PraisonAI-Tools","https://github.com/MervinPraison/PraisonAI-Tools","0","","","praisonai_tools","0","","","32","6","2823","12","10","382","0","openai, litellm, anthropic, agentops, phoenix, openlit, opik, mem0, replicate","","0","","","declares_own_package:+1"
"220","1","weak","the-omics-os/lobster","https://github.com/the-omics-os/lobster","0","","","","0","","framework","35","2","14423","77","65","375","59","langchain_core, langgraph, langchain_aws, langchain_openai, langchain_anthropic, langchain_google_genai, langchain_ollama, openai, cohere","","0","","The self-evolving agentic framework for bioinformatics","desc:framework:+1"
"221","1","weak","InternScience/InternAgent","https://github.com/InternScience/InternAgent","0","","","","0","","framework","1339","9","8255","143","127","340","0","camel, openai, agentops, agents, litellm, mistralai, anthropic, cohere, ollama, ragas, mem0","","0","","InternAgent-1.5: A Unified Agentic Framework for Long-Horizon Autonomous Scientific Discovery","desc:framework:+1"
"222","1","weak","Root-IO-Labs/open-agent-teams","https://github.com/Root-IO-Labs/open-agent-teams","0","","","","0","","framework","10","3","3736","152","133","325","113","langchain_core, langchain, langgraph, langchain_anthropic, langchain_openai","","0","","OAT is a framework for running teams of AI coding agents that collaborate on a shared codebase.","desc:framework:+1"
"223","1","weak","GrafeoDB/grafeo-memory","https://github.com/GrafeoDB/grafeo-memory","0","","","grafeo_memory","0","","","11","2","822","10","10","322","0","pydantic_ai, openai, mistralai","","0","","AI memory layer powered by Grafeo, an embedded graph database with native vector search.","declares_own_package:+1"
"224","1","weak","arm/metis","https://github.com/arm/metis","0","","","metis","0","","","757","22","1945","19","18","300","8","langchain_core, langgraph, langchain_openai, langchain_anthropic, langchain_google_genai, langchain_aws, anthropic","","0","","Metis is an open-source, AI-driven tool for deep security code review","declares_own_package:+1"
"225","1","weak","mann1x/claude-hooks","https://github.com/mann1x/claude-hooks","0","","","claude_hooks","0","","","25","6","8808","40","34","272","29","langgraph, langchain_core","","0","","Cross-platform Claude Code hooks for deterministic memory recall (Qdrant + Memory KG, pgvector, sqlite-vec) with HyDE, attention decay, dedup, instinct extraction, and OpenWolf integration","declares_own_package:+1"
"226","1","weak","Azure/azure-sdk-for-python","https://github.com/Azure/azure-sdk-for-python","0","","","","0","","sdk","5568","941","287486","421","331","269","269","openai, semantic_kernel, langgraph, langchain_core, agent_framework","","0","","This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://learn.microsoft.com/python/azure/ or our vers","desc:sdk:+1"
"227","1","weak","getagentseal/agentseal","https://github.com/getagentseal/agentseal","0","","","","0","","toolkit","288","4","1747","4","2","247","0","anthropic, openai","uncovered","0","","Security toolkit for AI agents. Scan your machine for dangerous skills and MCP configs, monitor for supply chain attacks, test prompt injection resistance, and audit live MCP servers for tool poisonin","desc:toolkit:+1"
"228","1","weak","borealBytes/dokploy-wizard","https://github.com/borealBytes/dokploy-wizard","0","","","dokploy_wizard","0","","","36","2","4327","2","2","223","0","mem0","","0","","","declares_own_package:+1"
"229","1","weak","RHEcosystemAppEng/sast-ai-workflow","https://github.com/RHEcosystemAppEng/sast-ai-workflow","0","","","sast_agent_workflow","0","","","18","10","1709","8","8","204","0","langchain_core, langchain_openai, langgraph, langchain_community, langchain_nvidia_ai_endpoints, ragas, langchain","","0","","Review static code vulnerabilities with the power of Gen-AI ⚡🤖","declares_own_package:+1"
"230","1","weak","AzulClaw/AzulClaw-Core","https://github.com/AzulClaw/AzulClaw-Core","0","","","","0","","framework","13","2","1355","9","10","199","0","agent_framework, openai","","0","","Secure hybrid AI assistant brain reinvented from OpenClaw, combining Microsoft Agent Framework + Azure OpenAI with zero-trust MCP sandboxed desktop tools.","desc:framework:+1"
"231","1","weak","coredipper/operon","https://github.com/coredipper/operon","0","","","operon_ai","0","","","31","3","4838","12","10","196","1","langchain_core, openai, langgraph, langchain_openai, anthropic","","0","","Biologically Inspired Architectures for EpiAgentic Control","declares_own_package:+1"
"232","1","weak","dog-qiuqiu/invincat","https://github.com/dog-qiuqiu/invincat","0","","","invincat_cli","0","","","151","3","5423","20","18","193","13","langchain_core, langgraph, langchain, langchain_openai","","0","","A native Python agent CLI built on DeepAgents CLI, featuring an independent memory Agent that captures learnings after each task and delivers efficient AI coding assistance through hierarchical memory","declares_own_package:+1"
"233","1","weak","tisu19021997/langclaw","https://github.com/tisu19021997/langclaw","0","","","langclaw","0","","","74","4","1295","16","15","190","0","langchain_core, langgraph, langchain, langchain_community, langchain_openai","","0","","Langchain + Openclaw = Langclaw","declares_own_package:+1"
"234","1","weak","EPFLiGHT/mmore","https://github.com/EPFLiGHT/mmore","0","","","mmore","0","","","227","29","1318","27","22","189","6","langchain_core, langgraph, dspy, langchain_huggingface, langchain_community, langchain_cohere, langchain_mistralai, langchain_openai, ragas, langchain_anthropic, langchain_aws","","0","","Ever needed to take 8000 PDFs, 2000 videos, and 500 spreadsheets and feed them to an LLM as a knowledge base? Well, mmore is here to help you! mmore is a scalable multimodal pipeline for processing, i","declares_own_package:+1"
"235","1","weak","tjni/langgraph-checkpoint-mysql","https://github.com/tjni/langgraph-checkpoint-mysql","0","","","","0","","library","146","5","439","657","175","175","175","langgraph, langchain_core","","0","","Library with a MySQL implementation of LangGraph checkpoint saver.","desc:library:+1"
"236","1","weak","zhongyu09/openchatbi","https://github.com/zhongyu09/openchatbi","0","","","openchatbi","0","","","589","4","1276","32","24","166","9","langchain_core, langgraph, langchain_openai","","0","","OpenChatBI is an intelligent chat-based BI tool powered by large language models, designed to help users query, analyze, and visualize data through natural language conversations. It uses LangGraph an","declares_own_package:+1"
"237","1","weak","cognizant-ai-lab/neuro-san-studio","https://github.com/cognizant-ai-lab/neuro-san-studio","0","","","neuro_san_studio","0","","","567","31","1823","13","13","164","0","langchain_core, langchain, langchain_openai, langchain_community, langgraph, anthropic, openai, mem0, langchain_anthropic, crewai","","0","","A playground for neuro-san","declares_own_package:+1"
"238","1","weak","NuGuardAI/nuguard","https://github.com/NuGuardAI/nuguard","0","","","nuguard","0","","","10","12","6726","18","17","162","0","langchain_core, langchain_openai, vertexai, litellm, langgraph, agents, langchain_anthropic, crewai, openai, langchain, langchain_community, autogen","","0","","opensource repo for NuGuard","declares_own_package:+1"
"239","1","weak","SuperagenticAI/dspy-code","https://github.com/SuperagenticAI/dspy-code","0","","","dspy_code","0","","","76","3","1176","4","4","161","0","dspy, anthropic, openai","","0","","Claude Code for DSPy: Comprehensive CLI to Optimize Your DSPy Code. our AI-Powered DSPy Development Assistant","declares_own_package:+1"
"240","1","weak","future-agi/traceAI","https://github.com/future-agi/traceAI","0","","","","0","","framework","198","18","4861","211","177","153","114","openai, anthropic, vertexai, langchain_core, pydantic_ai, mistralai, langgraph, langchain_openai, haystack, autogen_agentchat, autogen_ext, agents, agno, groq, beeai_framework, langchain, dspy, langchain_community, cohere, litellm, ollama, smolagents, together, crewai, livekit, langchain_cohere, autogen, langchain_experimental","","0","","Open Source AI Tracing Framework built on Opentelemetry for AI Applications and Frameworks","desc:framework:+1"
"241","1","weak","qbtrix/soul-protocol","https://github.com/qbtrix/soul-protocol","0","","","soul_protocol","0","","","13","4","4108","14","14","148","0","openai, dspy, anthropic, mem0, litellm, ollama","","0","","Soul Protocol: An open standard for portable AI identity, memory, and emotion. Like HTTP, but for AI companions.","declares_own_package:+1"
"242","1","weak","boringdata/boring-semantic-layer","https://github.com/boringdata/boring-semantic-layer","0","","","boring_semantic_layer","0","","","460","21","2986","1","1","139","0","langchain_core, openai, langchain_anthropic, langchain","","0","","","declares_own_package:+1"
"243","1","weak","braintrustdata/braintrust-sdk-python","https://github.com/braintrustdata/braintrust-sdk-python","0","","","","0","","library","14","67","4694","176","153","135","135","openai, langchain_core, anthropic, litellm, pydantic_ai, agno, dspy, crewai, langchain_openai, agents, autogen_agentchat, cohere, langchain_anthropic, mistralai, autogen_ext, livekit, autogen_core, langgraph, langchain","","0","","Python Tracing & Evals library for Braintrust","desc:library:+1"
"244","1","weak","NVIDIA/NeMo-Agent-Toolkit","https://github.com/NVIDIA/NeMo-Agent-Toolkit","0","","","","0","","toolkit","2460","91","12437","120","100","134","33","langchain_core, langgraph, langchain_community, litellm, haystack, semantic_kernel, autogen_core, ragas, agno, openai, langchain_nvidia_ai_endpoints, crewai, langchain_openai, autogen_agentchat, autogen_ext, langchain_huggingface, mem0, phoenix, langchain_aws","","0","","The NVIDIA NeMo Agent toolkit is an open-source library for efficiently connecting and optimizing teams of AI agents.","desc:toolkit:+1"
"245","1","weak","PacificAI/langtest","https://github.com/PacificAI/langtest","0","","","langtest","0","","","562","17","1281","9","9","129","0","openai, langchain_core, ollama, langchain","","0","","Deliver safe & effective language models","declares_own_package:+1"
"246","1","weak","jataware/archytas","https://github.com/jataware/archytas","0","","","archytas","0","","","12","9","680","16","14","124","2","langchain_core, openai, langchain_openai, anthropic, langchain_anthropic, langchain_aws, langchain_google_genai, groq, langchain_groq, langchain_ollama","","0","","Giving LLM agents access to tools so they perform open ended tasks","declares_own_package:+1"
