"full_name","github_url","import_token","importer_count","importer_files","importers","token_shared_with","passes_fork_check","in_scope","framework_suspect","triage_band","triage_score","stars","nd_tests","llm_calls","invokers_direct","frameworks_imported","description"
"pydantic/pydantic-ai-harness","https://github.com/pydantic/pydantic-ai-harness","pydantic_ai_harness","3","5","apache/airflow; ggozad/oterm; vcoderun/acpkit","","1","","1","strong","6","613","2208","398","346","pydantic_ai","Batteries for your Pydantic AI agent."
"PrefectHQ/marvin","https://github.com/PrefectHQ/marvin","marvin","3","3","PyPilot-ai/PyPilot-ai; ababdotai/awesome-agent-quickstart; run-llama/llama_index","","1","","1","strong","5","6176","166","27","26","pydantic_ai, openai, langchain_openai","an ambient intelligence library"
"AdventurePilotDev/AdventurePilot","https://github.com/AdventurePilotDev/AdventurePilot","openpilot","2","1242","BluePilotDev/bluepilot; sunnypilot/sunnypilot","sunnypilot/sunnypilot; BluePilotDev/bluepilot","0","","0","likely","3","13","0","0","0","",""
"sunnypilot/sunnypilot","https://github.com/sunnypilot/sunnypilot","openpilot","2","1242","AdventurePilotDev/AdventurePilot; BluePilotDev/bluepilot","BluePilotDev/bluepilot; AdventurePilotDev/AdventurePilot","0","","0","likely","3","1997","0","0","0","","sunnypilot is an open source driver assistance system. sunnypilot offers the user a unique driving experience for over 350 supported car makes and models with modified behaviors of driving assist enga"
"BluePilotDev/bluepilot","https://github.com/BluePilotDev/bluepilot","openpilot","2","1132","AdventurePilotDev/AdventurePilot; sunnypilot/sunnypilot","sunnypilot/sunnypilot; AdventurePilotDev/AdventurePilot","0","","0","likely","3","124","0","0","0","",""
"forge-sdlc/forge","https://github.com/forge-sdlc/forge","forge","2","119","Privatris/AgentLeak; Significant-Gravitas/AutoGPT","","1","","1","likely","4","13","244","13","10","langgraph, langchain_core, langchain_anthropic, langchain_google_vertexai, langchain_google_genai","An intelligent orchestration system that automates the software development lifecycle from Feature ideation through code delivery using AI-powered planning and execution."
"mims-harvard/ToolUniverse","https://github.com/mims-harvard/ToolUniverse","tooluniverse","2","96","FreedomIntelligence/OpenClaw-Medical-Skills; gabrielmoreira/agent-skills-mirror","","1","uncovered","1","likely","4","1527","5","8","7","openai","Democratizing AI scientists with ToolUniverse"
"ulgens/drf-haystack","https://github.com/ulgens/drf-haystack","drf_haystack","2","13","bcgov/aries-vcr; macports/macports-webapp","","1","0","1","strong","5","265","0","0","0","haystack","Haystack for Django REST Framework"
"dynamiqs/dynamiqs","https://github.com/dynamiqs/dynamiqs","dynamiqs","2","11","dkweiss31/qontrol; qiboteam/qibolab","","1","","1","strong","6","299","0","0","0","","High-performance quantum systems simulation with JAX (GPU-accelerated & differentiable solvers)."
"modelscope/evalscope","https://github.com/modelscope/evalscope","evalscope","2","11","Osilly/Vision-DeepResearch; ai-bot-pro/achatbot","","1","","1","strong","5","2997","1067","12","11","openai, ragas, langchain_openai, anthropic, langchain_core, langchain_huggingface, langchain_community, litellm","A streamlined and customizable framework for efficient large model (LLM, VLM, AIGC) evaluation and performance benchmarking."
"generative-computing/mellea","https://github.com/generative-computing/mellea","mellea","2","8","AgentToolkit/altk-boost; docling-project/docling-mcp","","1","","1","strong","5","481","35","21","16","openai, ollama, litellm, langchain_core, smolagents, langchain_community","Mellea is a library for writing generative programs."
"vstorm-co/pydantic-ai-shields","https://github.com/vstorm-co/pydantic-ai-shields","pydantic_ai_shields","2","7","apache/airflow; vstorm-co/pydantic-deepagents","","1","","1","likely","4","74","50","64","56","pydantic_ai","Guardrail capabilities for Pydantic AI — cost tracking, prompt injection detection, PII filtering, secret redaction, tool permissions, and async guardrails. Built on pydantic-ai's native capabilities"
"ScrapeGraphAI/Scrapegraph-ai","https://github.com/ScrapeGraphAI/Scrapegraph-ai","scrapegraphai","2","4","MervinPraison/PraisonAI-Tools; Shubhamsaboo/awesome-llm-apps","","1","","1","likely","4","27885","132","35","29","langchain_core, langchain_openai, langchain_ollama, langchain_community, openai, langchain_mistralai, langchain_aws, langchain_google_genai, langchain_together, langchain, langchain_nvidia_ai_endpoints","Python scraper based on AI"
"eval-protocol/python-sdk","https://github.com/eval-protocol/python-sdk","eval_protocol","2","3","Osilly/Vision-DeepResearch; Purewhiter/mobilegym","","1","","1","strong","5","107","35","28","24","openai, litellm, pydantic_ai, langchain_core, fireworks, langgraph, langchain, deepeval, dspy","The official Python SDK for Eval Protocol"
"EvoAgentX/EvoAgentX","https://github.com/EvoAgentX/EvoAgentX","evoagentx","2","2","Shubhamsaboo/awesome-llm-apps; modbender/skill-library-mcp","","1","","1","likely","4","3108","0","6","6","openai, dspy, litellm, ollama","🚀 EvoAgentX: Building a Self-Evolving Ecosystem of AI Agents"
"lastmile-ai/mcp-agent","https://github.com/lastmile-ai/mcp-agent","mcp_agent","2","2","Shubhamsaboo/awesome-llm-apps; grupa-ai/agent-mcp","","1","","1","likely","4","8396","74","8","7","openai, anthropic, crewai, langchain_core, langchain_community, cohere","Build effective agents using Model Context Protocol and simple workflow patterns"
"lupantech/AgentFlow","https://github.com/lupantech/AgentFlow","agentflow","1","341","10xHub/Agentflow","","1","","0","weak","2","1940","0","26","11","openai, agentops, litellm, anthropic, dashscope, ollama, together, autogen_ext","AgentFlow: In-the-Flow Agentic System Optimization"
"StellarCN/py-stellar-base","https://github.com/StellarCN/py-stellar-base","stellar_sdk","1","86","KOSASIH/nexus-revoluter","","1","0","0","likely","3","369","0","0","0","","Stellar client library for the Python language"
"IBM/ibm-watsonx-orchestrate-adk","https://github.com/IBM/ibm-watsonx-orchestrate-adk","ibm_watsonx_orchestrate","1","73","IBM/oic-i-agentic-ai-tutorials","","1","","0","weak","2","162","1540","8","8","langgraph, langchain_core, langchain_openai, agentops","The command line client for watsonx Orchestrate's agent builder experience."
"gptme/gptme","https://github.com/gptme/gptme","gptme","1","54","gptme/gptme-contrib","","1","","0","weak","2","4344","7073","9","8","anthropic, openai, dspy","Your agent in your terminal, equipped with local tools: writes code, uses the terminal, browses the web. Make your own persistent autonomous agent on top!"
"IINemo/lm-polygraph","https://github.com/IINemo/lm-polygraph","lm_polygraph","1","43","s-nlp/AdaRAGUE","","1","uncovered","0","weak","2","483","1","4","3","openai",""
"deepset-ai/hayhooks","https://github.com/deepset-ai/hayhooks","hayhooks","1","28","wsargent/groundedllm","","1","","0","weak","2","148","154","35","27","haystack, openai","Easily deploy Haystack pipelines as REST APIs and MCP Tools."
"AI-NAtive-I/agent-ros-bridge","https://github.com/AI-NAtive-I/agent-ros-bridge","agent_ros_bridge","1","21","modbender/skill-library-mcp","","1","","0","weak","2","17","1435","8","7","langchain, openai, anthropic, langchain_core, langchain_openai","Universal ROS1/ROS2 bridge for AI agents to control robots and embodied intelligence systems."
"OuyangWenyu/hydrodataset","https://github.com/OuyangWenyu/hydrodataset","hydrodataset","1","18","OuyangWenyu/torchhydro","","1","","0","weak","2","41","0","0","0","","Datasets downloader and reader for Hydrologic Modeling"
"datarobot-oss/datarobot-genai","https://github.com/datarobot-oss/datarobot-genai","datarobot_genai","1","15","datarobot-community/datarobot-agent-templates","","1","","0","likely","3","14","158","38","38","langchain_core, openai, crewai, litellm, langgraph, langchain_openai, langchain, deepeval, mem0","Repository for datarobot-genai library"
"endomorphosis/ipfs_kit_py","https://github.com/endomorphosis/ipfs_kit_py","ipfs_kit_py","1","14","endomorphosis/ipfs_datasets_py","","1","","0","weak","2","19","0","5","3","langchain","A decentralized virtual filesystem with low latency caching."
"Kasma-Inc/hirag-prod","https://github.com/Kasma-Inc/hirag-prod","hirag_prod","1","12","Kasma-Inc/Sagi","","1","","0","weak","2","11","0","6","3","openai, langchain_core, langchain_community","This repo is the reimplementation of the paper ""Retrieval-Augmented Generation with Hierarchical Knowledge"""
"seanchatmangpt/dspygen","https://github.com/seanchatmangpt/dspygen","dspygen","1","8","seanchatmangpt/dslmodel","","1","","0","likely","3","133","249","221","213","dspy, openai, ollama, groq","A Ruby on Rails style framework for the DSPy (Demonstrate, Search, Predict) project for Language Models like GPT, BERT, and LLama."
"endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py","ipfs_datasets_py","1","7","endomorphosis/ipfs_kit_py","","1","","0","weak","2","22","0","1","1","openai, anthropic, haystack, semantic_kernel","a decentralized dataset generator and manipulator."
"vstorm-co/pydantic-ai-todo","https://github.com/vstorm-co/pydantic-ai-todo","pydantic_ai_todo","1","7","vstorm-co/pydantic-deepagents","","1","","0","weak","2","68","3","3","3","pydantic_ai","Task Planning and Tracking toolset for Pydantic AI agents, enabling hierarchical task management with subtasks, PostgreSQL storage for multi-tenancy, and an event system for webhooks and callbacks."
"mozilla-ai/mcpd-sdk-python","https://github.com/mozilla-ai/mcpd-sdk-python","mcpd","1","6","mozilla-ai/agent-factory","","1","","0","likely","3","23","0","0","0","pydantic_ai, any_agent","Python SDK for mcpd"
"areal-project/AReaL","https://github.com/areal-project/AReaL","areal","1","4","inclusionAI/AWorld","","1","","0","weak","2","5336","2076","16","16","openai, camel, litellm, agents, anthropic, langchain_openai, langchain","The RL Bridge for LLM-based Agent Applications. Made Simple & Flexible."
"getsentry/sentry","https://github.com/getsentry/sentry","sentry","1","4","temporalio/samples-python","","1","uncovered","0","weak","2","44190","0","0","0","honcho","Developer-first error tracking and performance monitoring"
"oceanbase/langchain-oceanbase","https://github.com/oceanbase/langchain-oceanbase","langchain_oceanbase","1","4","ob-labs/agentseek-api","","1","","0","weak","2","13","2","6","3","langchain_core, langgraph, openai, langchain_community, langchain_openai","This package contains the LangChain integration with OceanBase."
"googleapis/langchain-google-alloydb-pg-python","https://github.com/googleapis/langchain-google-alloydb-pg-python","langchain_google_alloydb_pg","1","3","sunholo-data/sunholo-py","","1","","0","weak","2","38","1","3","3","langchain_core, langchain_google_vertexai, vertexai, langgraph, langchain_community, langchain",""
"DeepXiv/deepxiv_sdk","https://github.com/DeepXiv/deepxiv_sdk","deepxiv_sdk","1","2","gabrielmoreira/agent-skills-mirror","","1","","0","likely","3","731","90","2","1","langgraph, openai, langchain_core","Talk to research papers like talking to authors - Python package with AI agent for arXiv papers"
"Leggin/dirigera","https://github.com/Leggin/dirigera","dirigera","1","2","modbender/skill-library-mcp","","1","","0","weak","2","210","0","0","0","","This repository provides an unofficial Python client for controlling the IKEA Dirigera Smart Home Hub."
"Trampoline-AI/predict-rlm","https://github.com/Trampoline-AI/predict-rlm","predict_rlm","1","2","mutx-dev/mutx-dev","","1","","0","weak","2","407","98","58","52","dspy, litellm, openai","Production focused Self-harnessed LM runtime (RLM) that allows the LM to call its sub-lm with DSPy signatures. Define your inputs, outputs, and tools — the model handles its own control flow. Get full"
"cmpnd-ai/dspy-cli","https://github.com/cmpnd-ai/dspy-cli","dspy_cli","1","2","SuperagenticAI/dspy-code","","1","","0","weak","2","129","0","2","1","dspy","dspy-cli is a tool for creating, developing, testing, and deploying DSPy programs as HTTP APIs."
"seanchatmangpt/dslmodel","https://github.com/seanchatmangpt/dslmodel","dslmodel","1","2","seanchatmangpt/dspygen","","1","","0","weak","2","27","135","38","32","dspy, openai, pydantic_ai, swarm","Structured outputs from DSPy and Jinja2"
"vipshop/cache-dit","https://github.com/vipshop/cache-dit","cache_dit","1","2","sands-lab/FOCUS","","1","","0","weak","2","1215","0","0","0","","A PyTorch-native inference engine with cache, parallelism, quantization and cpu offload for DiTs."
"vstorm-co/pydantic-deepagents","https://github.com/vstorm-co/pydantic-deepagents","pydantic_deep","1","2","potpie-ai/potpie","","1","","0","likely","3","907","1365","35","32","pydantic_ai","Open-source, self-hosted Claude Code - a terminal AI assistant and the Python framework behind it. Tool-calling, sandboxed execution, multi-agent teams, skills, checkpoints, unlimited context - on Pyd"
"xtekky/gpt4free","https://github.com/xtekky/gpt4free","g4f","1","2","Rimuwu/DinoGochi","","0","","0","weak","1","66460","0","0","0","openai, langchain_community, pydantic_ai","The official gpt4free repository | various collection of powerful language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3"
"JohnnyFiv3r/Core-Memory","https://github.com/JohnnyFiv3r/Core-Memory","core_memory","1","1","modbender/skill-library-mcp","","1","","0","weak","2","19","1502","5","4","pydantic_ai, langchain_core","Drop-in causal memory for AI agents. Append-only event store with associations and bounded memory injection."
"cuga-project/cuga-agent","https://github.com/cuga-project/cuga-agent","cuga","1","1","langflow-ai/langflow","","1","","0","weak","2","825","1954","191","140","langchain_core, langgraph, langchain_openai, langchain_groq, langchain_google_genai, litellm, openai, langchain, langchain_ollama, openlit","CUGA is an open-source generalist agent harness for the enterprise, supporting complex task execution on web and APIs, OpenAPI/MCP integrations, composable architecture, reasoning modes, and policy-aw"
"frostming/marko","https://github.com/frostming/marko","marko","1","1","cel-ai/celai","","1","","0","weak","2","460","0","0","0","","A markdown parser with high extensibility."
"nhadaututtheky/neural-memory","https://github.com/nhadaututtheky/neural-memory","neural_memory","1","1","strangeadvancedmarketing/Adam","","1","","0","weak","2","222","5025","10","8","openai, anthropic, mem0, litellm","NeuralMemory stores experiences as interconnected neurons and recalls them through spreading activation, mimicking how the human brain works. Instead of searching a database, memories are retrieved th"
"responsibleai/ASSERT","https://github.com/responsibleai/ASSERT","assert_ai","1","1","Azure/agentops","","1","","0","weak","2","174","0","39","29","litellm, langchain_core, langgraph, openai, langchain_openai, phoenix, anthropic, autogen_agentchat, autogen_ext, crewai, dspy, groq, haystack, mistralai, agents, pydantic_ai, smolagents","Requirement-driven evaluation harness for AI agents and LLM applications. Generate behavior-specific test cases, run them against any target (hosted models, callable wrappers, OTel-traced agents), and"
