"full_name","html_url","clone_url","default_branch","description","matched_frameworks","stars","forks","language","topics","open_issues","size_kb","created_at","updated_at","pushed_at","license","lifetime_days","contributors","total_commits","commits_per_month","real_ai_app","analyzed","reason"
"mlflow/mlflow","https://github.com/mlflow/mlflow","https://github.com/mlflow/mlflow.git","master","The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.","dspy, langchain_core, pydantic_ai, semantic_kernel, smolagents","26778","5927","Python","agentops,agents,ai,ai-governance,apache-spark,evaluation,langchain,llm-evaluation,llmops,machine-learning,ml,mlflow,mlops,model-management,observability,open-source,openai,prompt-engineering","2018","1485418","2018-06-05T16:05:58Z","2026-06-30T03:49:47Z","2026-06-30T03:51:00Z","Apache-2.0","2946","1082","12619","128.5","1","1","pyan produced no usable graph (cg_source=none, 197 direct invokers, 0 transitive)"
"imbue-ai/mngr","https://github.com/imbue-ai/mngr","https://github.com/imbue-ai/mngr.git","main","CLI for managing coding agents","patchwork","384","38","Python","","216","83053","2026-01-19T22:43:30Z","2026-06-29T23:53:19Z","2026-06-30T01:05:30Z","NOASSERTION","161","31","20788","3873.54","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"truera/trulens","https://github.com/truera/trulens","https://github.com/truera/trulens.git","main","Evaluation and Tracking for LLM Experiments and AI Agents","langchain, langchain_core","3408","308","Python","agent-evaluation,agentops,ai-agents,ai-monitoring,ai-observability,evals,explainable-ml,llm-eval,llm-evaluation,llmops,llms,machine-learning,neural-networks","103","401408","2020-11-02T21:56:45Z","2026-06-29T21:03:43Z","2026-06-21T22:58:02Z","MIT","2057","80","1752","25.55","1","1","pyan produced no usable graph (cg_source=none, 33 direct invokers, 0 transitive)"
"larksuite/oapi-sdk-python","https://github.com/larksuite/oapi-sdk-python","https://github.com/larksuite/oapi-sdk-python.git","v2_main","Larksuite development interface SDK","patchwork","528","93","Python","","63","12705","2021-03-29T08:57:58Z","2026-06-30T03:50:42Z","2026-06-30T03:34:25Z","MIT","1918","11","202","3.16","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"baserow/baserow","https://github.com/baserow/baserow","https://github.com/baserow/baserow.git","develop","Build databases, automations, apps & agents with AI — no code.  Open source platform available on cloud and self-hosted. GDPR, HIPAA, SOC 2 compliant. Best Airtable alternative.","pydantic_ai","5198","649","Python","airtable,airtable-alternative,airtable-replacement,application-builder,automations,dashboards,database,low-code,no-code,no-code-database,no-code-platform,online-database,postgresql,restful-api,self-hosted,spreadsheet","1176","258883","2020-07-20T09:32:04Z","2026-06-30T07:03:31Z","2026-06-30T07:47:55Z","NOASSERTION","2170","81","7124","98.49","1","1","pyan produced no usable graph (cg_source=none, 11 direct invokers, 0 transitive)"
"gip-inclusion/les-emplois","https://github.com/gip-inclusion/les-emplois","https://github.com/gip-inclusion/les-emplois.git","main","Plate-forme numérique de l'inclusion","sia","37","28","Python","","40","108601","2019-07-22T12:52:29Z","2026-06-29T10:05:29Z","2026-06-30T07:54:12Z","AGPL-3.0","2534","59","16908","200.17","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"endomorphosis/ipfs_kit_py","https://github.com/endomorphosis/ipfs_kit_py","https://github.com/endomorphosis/ipfs_kit_py.git","main","A decentralized virtual filesystem with low latency caching.","graphrag","19","5","Python","","295","456737","2024-04-20T22:54:43Z","2026-06-29T20:03:19Z","2026-06-30T06:05:01Z","AGPL-3.0","800","10","1904","71.4","1","1","pyan produced no usable graph (cg_source=none, 3 direct invokers, 0 transitive)"
"PUITAR/DeepSlide","https://github.com/PUITAR/DeepSlide","https://github.com/PUITAR/DeepSlide.git","main","Not just slides - delivery-ready talks","camel","68","2","Python","llm,multiagent,multiagent-systems,multimodal,open-source,presentation,presentation-materials,slides,vlm","0","164904","2025-12-15T17:31:52Z","2026-06-16T10:59:57Z","2026-05-20T05:19:51Z","MIT","155","2","24","4.65","1","1","pyan produced no usable graph (cg_source=none, 10 direct invokers, 0 transitive)"
"codemie-ai/codemie","https://github.com/codemie-ai/codemie","https://github.com/codemie-ai/codemie.git","main","","camel","18","12","Python","","0","21607","2026-03-11T16:01:16Z","2026-06-29T15:03:15Z","2026-06-29T15:02:40Z","Apache-2.0","109","46","512","140.92","1","1","pyan produced no usable graph (cg_source=none, 99 direct invokers, 0 transitive)"
"RBVI/ChimeraX","https://github.com/RBVI/ChimeraX","https://github.com/RBVI/ChimeraX.git","develop","Source code for molecular graphics program UCSF ChimeraX","camel","259","43","Python","","13","136344","2020-09-10T19:14:37Z","2026-06-30T04:46:23Z","2026-06-29T19:45:46Z","NOASSERTION","2118","42","32058","454.08","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py","https://github.com/endomorphosis/ipfs_datasets_py.git","main","a decentralized dataset generator and manipulator.","graphrag","22","6","Python","","210","461628","2024-04-07T04:18:48Z","2026-06-30T05:56:42Z","2026-06-30T05:56:38Z","AGPL-3.0","814","10","4629","170.6","1","1","pyan produced no usable graph (cg_source=none, 1 direct invokers, 0 transitive)"
"spurbey/agent-memory-orchestrator","https://github.com/spurbey/agent-memory-orchestrator","https://github.com/spurbey/agent-memory-orchestrator.git","main","Persistent Memory and Agent Orchestator","graphrag","16","1","Python","","4","2532","2026-04-30T12:58:10Z","2026-06-13T18:38:17Z","2026-06-19T05:43:48Z","MIT","49","2","711","435.31","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"canonical/maas","https://github.com/canonical/maas","https://github.com/canonical/maas.git","master","Official MAAS repository. Bugs are tracked on Launchpad: https://bugs.launchpad.net/maas","clai, notte","486","166","Python","bare-metal,baremetal,baremetal-provisioning,data-center,datacenter,django,go,golang,maas,private-cloud,python3,twisted","23","190228","2017-03-28T21:37:45Z","2026-06-29T20:47:25Z","2026-06-29T15:13:35Z","NOASSERTION","3379","218","18638","165.47","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"fathom-lab/styxx","https://github.com/fathom-lab/styxx","https://github.com/fathom-lab/styxx.git","main","The measurement layer for machine minds. Reads what a model means and whether it holds the truth, certifies that every claim re-runs. meaning_diff + OATH certify + mind profiles + a live grounding signal, plus the cognometric instruments. Pure-Python, MIT, open at the core.","clai","13","1","Python","ai-safety,cognometry,guardrails,hallucination-detection,interpretability,llm,llm-safety,mit-license,observability,python,rag,white-box","0","205850","2026-04-13T17:03:39Z","2026-06-30T10:25:45Z","2026-06-30T10:25:41Z","MIT","77","8","1199","467.14","0","0","pyan produced no usable graph (cg_source=none, 140 direct invokers, 0 transitive)"
"huaweicloud/huaweicloud-sdk-python-v3","https://github.com/huaweicloud/huaweicloud-sdk-python-v3","https://github.com/huaweicloud/huaweicloud-sdk-python-v3.git","master","","clai","158","59","Python","","8","180528","2020-05-08T02:28:43Z","2026-06-25T09:07:54Z","2026-06-25T09:07:48Z","NOASSERTION","2239","5","448","6.0","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"opencord/voltha","https://github.com/opencord/voltha","https://github.com/opencord/voltha.git","master","Virtual OLT Hardware Abstraction","notte","89","172","Python","","18","127577","2017-01-17T23:05:18Z","2026-06-01T03:32:46Z","2025-09-30T22:35:58Z","Apache-2.0","3177","85","1310","12.37","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"promptdriven/pdd","https://github.com/promptdriven/pdd","https://github.com/promptdriven/pdd.git","main"," Prompt Driven Development (PDD): The Last Programming Language™. Prompt files are source; code is generated output.","langchain, langchain_fireworks, langchain_openai","779","67","Python","ai,cli,code,developer-tools,development,methodology,prompt,prompt-engineering,prompt-toolkit,prompts,prompts-template","342","822481","2025-05-22T17:52:24Z","2026-06-30T02:24:15Z","2026-06-30T06:45:18Z","MIT","403","30","2863","213.13","1","1","pyan produced no usable graph (cg_source=none, 19 direct invokers, 0 transitive)"
"Edraak/edraak-platform","https://github.com/Edraak/edraak-platform","https://github.com/Edraak/edraak-platform.git","master","The Edraak (Hawthorn) Open edX platform code.","notte","14","9","Python","edx-platform,jenkins","17","724543","2017-01-26T15:01:54Z","2026-04-08T16:41:43Z","2026-04-07T02:16:13Z","AGPL-3.0","3357","774","47404","423.63","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai","https://github.com/pipeshub-ai/pipeshub-ai.git","main","PipesHub is a fully extensible and explainable workplace AI platform for enterprise search and workflow automation","langchain_core, langchain_fireworks, langchain_mistralai, langchain_openai, langchain_qdrant, langchain_xai","3006","470","Python","agent,agents,ai,drive,glean,gmail,knowledge-graph,langchain,langgraph,llamaparse,notion,ollama,perplexity,python,rag,slack","89","59621","2025-03-06T18:51:10Z","2026-06-30T14:48:33Z","2026-06-30T14:48:27Z","Apache-2.0","480","43","2392","149.5","1","1","pyan produced no usable graph (cg_source=none, 43 direct invokers, 0 transitive)"
"memory-graph/memory-graph","https://github.com/memory-graph/memory-graph","https://github.com/memory-graph/memory-graph.git","main","A graph DB-based MCP memory server for coding agents with intelligent relationship tracking","pyautogen","213","75","Python","","2","3161","2025-11-27T18:09:33Z","2026-06-30T14:59:34Z","2026-02-12T12:49:13Z","MIT","76","4","198","78.16","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"volcengine/volcengine-python-sdk","https://github.com/volcengine/volcengine-python-sdk","https://github.com/volcengine/volcengine-python-sdk.git","master","","graphrag, mem0","175","29","Python","","4","19767","2022-07-06T04:17:57Z","2026-06-25T12:33:24Z","2026-06-25T12:22:36Z","Apache-2.0","1450","52","3293","68.13","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"peteromallet/Arnold","https://github.com/peteromallet/Arnold","https://github.com/peteromallet/Arnold.git","main","General-purpose planning and execution harness for LLMs — structured phases, critique, gating, and review","honcho","94","8","Python","","2","79328","2026-03-20T01:51:24Z","2026-06-30T00:45:05Z","2026-06-30T15:32:43Z","NOASSERTION","102","145","4042","1188.82","1","0","pyan produced no usable graph (cg_source=none, 11 direct invokers, 0 transitive)"
"rocketride-org/rocketride-server","https://github.com/rocketride-org/rocketride-server","https://github.com/rocketride-org/rocketride-server.git","develop","High-performance AI pipeline engine with a C++ core and 50+ Python-extensible nodes. Build, debug, and scale LLM workflows with 13+ model providers, 8+ vector databases, and agent orchestration, all from your IDE. Includes VS Code extension, TypeScript/Python SDKs, and Docker deployment.","crewai, langchain_text_splitters, langchain_xai","4688","1531","Python","ai,cpp,data-pipeline,data-processing,machine-learning,mcp,python,sdk,typescript,vscode-extension","215","105754","2026-02-11T17:02:53Z","2026-06-30T16:30:22Z","2026-06-30T17:27:06Z","MIT","139","46","686","148.06","1","1","pyan produced no usable graph (cg_source=none, 20 direct invokers, 0 transitive)"
"Noveum/noveum-trace","https://github.com/Noveum/noveum-trace","https://github.com/Noveum/noveum-trace.git","main","A high-performance, OpenTelemetry-compliant tracing SDK designed specifically for Large Language Model (LLM) applications and AI workloads.","crewai","11","4","Python","","3","2147","2025-07-15T08:25:28Z","2026-06-27T05:50:53Z","2026-06-30T09:49:43Z","NOASSERTION","350","5","177","15.17","1","1","pyan produced no usable graph (cg_source=none, 92 direct invokers, 0 transitive)"
"3D-Tech-Solutions/code-scalpel","https://github.com/3D-Tech-Solutions/code-scalpel","https://github.com/3D-Tech-Solutions/code-scalpel.git","main","Code Scalpel is the bridge between **Generative AI** and **Reliable Software Engineering**. It is an **MCP (Model Context Protocol) server** designed to be the primary toolset for AI agents (like Claude, GitHub Copilot, and Cursor) to perceive, analyze, and modify codebases with surgical precision.","crewai","15","2","Python","","26","47267","2026-01-19T03:37:26Z","2026-06-06T06:57:14Z","2026-06-23T23:22:54Z","NOASSERTION","155","5","735","142.26","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"capocchi/DEVSimPy","https://github.com/capocchi/DEVSimPy","https://github.com/capocchi/DEVSimPy.git","master","DEVSimPy – Visualize, Model, and Simulate Discrete Event Systems with Python.","dynamiq","58","22","Python","devs,modeling,python,simulation,wxpython","4","302812","2010-03-30T13:18:08Z","2026-03-30T14:54:13Z","2026-04-16T19:48:28Z","GPL-3.0","5861","4","1416","7.25","1","0","pyan produced no usable graph (cg_source=none, 2 direct invokers, 0 transitive)"
"modaic-ai/modaic","https://github.com/modaic-ai/modaic","https://github.com/modaic-ai/modaic.git","main","Python SDK for Modaic","dspy","26","1","Python","","10","23082","2025-07-19T15:00:39Z","2026-06-25T08:17:25Z","2026-06-23T00:31:30Z","NOASSERTION","338","6","554","49.17","1","1","pyan produced no usable graph (cg_source=none, 1 direct invokers, 0 transitive)"
"kungfuai/CVlization","https://github.com/kungfuai/CVlization","https://github.com/kungfuai/CVlization.git","main","Practical workflows for training and inference on AI models","dspy, omnigent","12","3","Python","ai,decentralized,docker,finetune,generative-ai,inference,llm,nlp,rl,vision","5","130712","2021-10-07T03:21:03Z","2026-05-25T18:37:01Z","2026-05-27T23:41:24Z","MIT","1693","7","1730","30.66","1","1","pyan produced no usable graph (cg_source=none, 16 direct invokers, 0 transitive)"
"TracecatHQ/tracecat","https://github.com/TracecatHQ/tracecat","https://github.com/TracecatHQ/tracecat.git","main","Open-source security automation platform for teams and AI agents","pydantic_ai","3703","379","Python","agents,automation,event-driven,fastapi,llm,low-code,monitoring,nextjs,openapi,orchestration,pydantic,security,temporalio,workflow-engine","86","106748","2024-02-27T06:48:32Z","2026-06-30T21:18:54Z","2026-06-30T21:54:32Z","AGPL-3.0","854","41","5433","190.85","1","1","pyan produced no usable graph (cg_source=none, 2 direct invokers, 0 transitive)"
"Strong-AI-Lab/Von","https://github.com/Strong-AI-Lab/Von","https://github.com/Strong-AI-Lab/Von.git","main","Intelligent Agent System for Scientific Research Support","haystack","10","0","Python","","0","20589","2025-11-08T21:29:04Z","2026-06-29T15:33:58Z","2026-06-29T15:33:11Z","Apache-2.0","232","7","2145","277.37","1","1","pyan produced no usable graph (cg_source=none, 6 direct invokers, 0 transitive)"
"musicmonk42/The_Code_Factory_Working_V2","https://github.com/musicmonk42/The_Code_Factory_Working_V2","https://github.com/musicmonk42/The_Code_Factory_Working_V2.git","main","","langchain_xai","13","6","Python","","7","31651","2025-11-08T02:19:16Z","2026-06-24T03:43:59Z","2026-04-12T06:05:22Z","NOASSERTION","155","5","7502","1452.0","1","1","pyan produced no usable graph (cg_source=none, 32 direct invokers, 0 transitive)"
"deltacodes1/Hackotberfest2025","https://github.com/deltacodes1/Hackotberfest2025","https://github.com/deltacodes1/Hackotberfest2025.git","main","Make your first Pull Request on Hacktoberfest 2025. Don't forget to spread love and if you like give us a ⭐️","langchain_text_splitters","86","379","Python","2025,accepted,digitalocean,hacktoberfest,hacktoberfest-accepted,open-source","102","246868","2022-10-02T13:37:20Z","2026-05-07T17:40:50Z","2025-11-05T05:11:43Z","","1129","181","1002","26.63","0","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"MODSetter/SurfSense","https://github.com/MODSetter/SurfSense","https://github.com/MODSetter/SurfSense.git","main","An open source, privacy focused alternative to NotebookLM for teams with no data limits. Join our Discord: https://discord.gg/ejRNvftDp9","langchain_anthropic, langgraph","15158","1457","Python","agent,agents,ai,chrome-extension,extension,fastapi,langchain,langgraph,nextjs,notebooklm,ollama,perplexity,python,rag,typescript","106","410155","2024-07-30T23:00:09Z","2026-07-01T04:37:59Z","2026-07-01T04:41:51Z","Apache-2.0","700","89","7116","304.97","1","1","pyan produced no usable graph (cg_source=none, 58 direct invokers, 0 transitive)"
"xbrxr03/clawos","https://github.com/xbrxr03/clawos","https://github.com/xbrxr03/clawos.git","main","🤖 Local AI agent for your laptop. Voice activation, multi-step tool use, 7-layer memory, human-in-the-loop approvals. Zero cloud. Zero API keys. Zero telemetry.","headroom","53","5","Python","agent,ai,jarvis,linux,local-ai,ollama,privacy,python,self-hosted,voice-assistant","1","5148","2026-03-18T19:41:03Z","2026-06-30T19:01:00Z","2026-06-30T19:00:37Z","AGPL-3.0","103","6","372","108.35","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"sonic-net/sonic-mgmt","https://github.com/sonic-net/sonic-mgmt","https://github.com/sonic-net/sonic-mgmt.git","master","Configuration management examples for SONiC","headroom","263","1064","Python","hacktoberfest,sonic","2400","144659","2016-02-25T21:28:59Z","2026-07-01T09:35:07Z","2026-07-01T09:35:02Z","NOASSERTION","3778","661","13363","106.11","1","0","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"Jize-W/RouteMoA","https://github.com/Jize-W/RouteMoA","https://github.com/Jize-W/RouteMoA.git","main","[ACL 2026] RouteMoA: Dynamic Routing without Pre-Inference Boosts Efficient Mixture-of-Agents","lagent","11","1","Python","","0","4633","2026-04-08T06:53:57Z","2026-06-05T11:13:37Z","2026-05-24T07:53:29Z","Apache-2.0","46","4","12","7.83","1","0","pyan produced no usable graph (cg_source=none, 14 direct invokers, 0 transitive)"
"sands-lab/FOCUS","https://github.com/sands-lab/FOCUS","https://github.com/sands-lab/FOCUS.git","main","[ICML 2026] Official implementation of ""FOCUS: DLLMs Know How to Tame Their Compute Bound"".","lagent","16","1","Python","","0","15748","2026-01-29T13:33:52Z","2026-06-15T00:26:24Z","2026-05-05T21:44:23Z","Apache-2.0","96","131","1732","541.25","1","0","pyan produced no usable graph (cg_source=none, 234 direct invokers, 0 transitive)"
"haohervchb/GooseLLM","https://github.com/haohervchb/GooseLLM","https://github.com/haohervchb/GooseLLM.git","main","1CatV2 with TileLANG written FA-v100 and many goodies","lagent","14","3","Python","","6","96964","2026-03-31T02:43:28Z","2026-06-11T04:22:40Z","2026-06-23T19:43:43Z","Apache-2.0","84","6","189","67.5","1","0","pyan produced no usable graph (cg_source=none, 280 direct invokers, 0 transitive)"
"jianghuguoguo/LORE","https://github.com/jianghuguoguo/LORE","https://github.com/jianghuguoguo/LORE.git","main","","langchain","117","11","Python","","0","137212","2026-02-11T13:21:26Z","2026-06-20T08:39:54Z","2026-06-03T11:57:28Z","","111","3","18","4.86","1","1","pyan produced no usable graph (cg_source=none, 3 direct invokers, 0 transitive)"
"Lyra-stellAI/BYO-LLM-WIKI","https://github.com/Lyra-stellAI/BYO-LLM-WIKI","https://github.com/Lyra-stellAI/BYO-LLM-WIKI.git","Main","Build your own LLM-native WIKI (knowledge library). Search, extract, summarize, Q&A with contextual RAG, layered knowledge graph, and reinforced memory. Importantly use selected context to automatically generate skills, empowered by Claude subagents + CodeAct pipeline and gated by human review. Try Live Demo: https://byo-wiki-demo.onrender.com","langchain_anthropic","233","2","Python","agentic-ai,autonomous-agents,deep-agents,karpathy-llm-wiki,langchain,llm-wiki,mcp,rag","1","11744","2026-05-18T21:28:31Z","2026-07-01T04:33:50Z","2026-06-25T00:09:24Z","","37","5","112","90.81","1","1","pyan produced no usable graph (cg_source=none, 9 direct invokers, 0 transitive)"
"eneo-ai/eneo","https://github.com/eneo-ai/eneo","https://github.com/eneo-ai/eneo.git","develop","","langchain_core","50","27","Python","","19","39351","2025-06-09T08:17:32Z","2026-06-30T12:26:38Z","2026-07-01T17:48:04Z","AGPL-3.0","387","17","465","36.05","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"thiswillbeyourgithub/wdoc","https://github.com/thiswillbeyourgithub/wdoc","https://github.com/thiswillbeyourgithub/wdoc.git","main","Summarize and query from a lot of heterogeneous documents. Any LLM provider, any filetype, advanced RAG, advanced summaries, scriptable, etc","langchain_core, langchain_text_splitters","517","44","Python","langchain,llm,news,parser,pdf,python,question-answering,rag,summarizer","2","6541","2023-06-24T12:38:41Z","2026-06-30T15:46:21Z","2026-06-23T17:42:46Z","AGPL-3.0","1095","2","4911","134.55","1","1","pyan produced no usable graph (cg_source=none, 5 direct invokers, 0 transitive)"
"Capsize-Games/airunner","https://github.com/Capsize-Games/airunner","https://github.com/Capsize-Games/airunner.git","master","Offline inference engine for art, real-time voice conversations, LLM powered chatbots and automated workflows","langchain_core","1312","98","Python","ai,ai-art,art,asset-generator,chatbot,deep-learning,desktop-app,image-generation,mistral,multimodal,privacy,pygame,pyside6,python,self-hosted,speech-to-text,stable-diffusion,text-to-image,text-to-speech,text-to-speech-app","4","40603","2023-03-21T19:14:03Z","2026-06-30T16:43:10Z","2026-06-13T14:18:13Z","GPL-3.0","1179","11","8322","211.76","1","1","pyan produced no usable graph (cg_source=none, 17 direct invokers, 0 transitive)"
"jeremiedecock/snippets","https://github.com/jeremiedecock/snippets","https://github.com/jeremiedecock/snippets.git","master","My collection of code snippets.","langchain_mistralai","27","7","Python","","14","28180","2015-06-05T10:19:09Z","2026-06-30T16:06:19Z","2026-06-30T16:05:56Z","MIT","4043","5","2638","19.57","1","1","pyan produced no usable graph (cg_source=none, 0 direct invokers, 0 transitive)"
"FusionBrainLab/gigaevo-core","https://github.com/FusionBrainLab/gigaevo-core","https://github.com/FusionBrainLab/gigaevo-core.git","main","Evolutionary algorithm that uses Large Language Models (LLMs) to automatically improve programs through iterative mutation and selection","langgraph","125","23","Python","evolution,language-model,llm","20","19435","2025-11-17T11:05:28Z","2026-06-30T02:26:00Z","2026-05-26T09:37:57Z","MIT","189","18","1678","266.35","1","1","pyan produced no usable graph (cg_source=none, 63 direct invokers, 0 transitive)"
"eidolon-ai/eidolon","https://github.com/eidolon-ai/eidolon","https://github.com/eidolon-ai/eidolon.git","main","The first AI Agent Server, Eidolon is a pluggable Agent SDK and enterprise ready, deployment server for Agentic applications","mem0","493","50","Python","agents,generative-ai,langchain,llama,llm,openai,python,services","144","77406","2023-11-10T20:42:00Z","2026-06-30T11:52:54Z","2026-05-20T02:52:18Z","Apache-2.0","921","20","1446","47.1","1","1","pyan produced no usable graph (cg_source=none, 10 direct invokers, 0 transitive)"
"angr/angr","https://github.com/angr/angr","https://github.com/angr/angr.git","master","A powerful and user-friendly binary analysis platform!","pydantic_ai","8924","1178","Python","analysis,angr,binary,hacktoberfest","620","82606","2015-08-06T21:46:55Z","2026-07-02T14:33:18Z","2026-07-02T10:18:13Z","BSD-2-Clause","3982","309","14484","109.12","1","1","pyan produced no usable graph (cg_source=none, 2 direct invokers, 0 transitive)"
"swarm-ai-research/swarm","https://github.com/swarm-ai-research/swarm","https://github.com/swarm-ai-research/swarm.git","main","SWARM: System-Wide Assessment of Risk in Multi-agent systems","swarm","35","5","Python","agi-safety,ai,ai-agent,ai-agents,ai-safety,alignment,clawxiv,emergent-behavior,governance,llm-agents,multi-agent-systems,openclaw,simulation","10","210367","2026-02-03T01:57:11Z","2026-07-02T02:34:20Z","2026-07-02T05:34:38Z","MIT","149","8","1763","354.97","1","1","pyan produced no usable graph (cg_source=none, 275 direct invokers, 0 transitive)"
